aircraft_type,distance_km,passengers,fuel_kg,load_factor_pct,engine_type,co2_kg
B777,1859,418,12287,79,Trent1000,38636
A380,11857,74,46034,51,CFM56,146067
B737,9534,486,27182,65,CFM56,86266
A380,8897,423,67465,87,Trent1000,213907
B737,2004,287,52959,90,PW1100,166815
A380,2303,267,71828,71,PW1100,226860
B737,11755,51,40752,77,GE90,128673
A380,11517,218,45113,90,PW1100,142694
A320,3344,474,7775,73,PW1100,24420
A320,3639,296,44802,83,GE90,141573
B737,8553,69,60644,86,CFM56,191431
B787,9686,411,65605,59,CFM56,207714
A350,10363,89,27652,74,GE90,87385
A320,656,78,17233,58,CFM56,54559
B787,13616,175,66727,92,CFM56,211195
B737,2015,148,37878,93,Trent1000,119361
B737,1526,156,8668,53,CFM56,27609
A320,7057,128,72714,78,PW1100,230055
B787,9724,395,42914,57,CFM56,135324
A320,8632,314,55059,98,PW1100,173624
B787,7082,55,70990,51,PW1100,224406
A320,2795,357,64348,70,PW1100,203518
B737,2829,190,51321,58,GE90,162304
A350,5514,274,40172,77,PW1100,126532
B737,8198,269,65072,71,PW1100,205361
B787,7846,379,14973,88,Trent1000,46295
A350,4744,362,44944,71,Trent1000,141351
A380,7434,266,76847,69,PW1100,243635
A380,10175,56,45282,69,CFM56,142766
A350,1075,89,34781,71,PW1100,110125
A350,6712,365,64625,53,CFM56,204755
A380,3605,395,52310,68,PW1100,164362
B737,9502,459,22063,59,PW1100,69625
A380,9956,169,38049,85,PW1100,119707
A320,5655,95,8488,97,GE90,26141
A350,12326,211,47004,74,Trent1000,148306
B737,10734,212,48009,76,PW1100,150646
B737,8789,232,24970,74,GE90,78996
A380,9123,455,66145,79,GE90,208326
B737,4514,341,29926,98,CFM56,95041
B777,11092,497,72600,65,PW1100,228206
B737,8010,112,28072,99,PW1100,88869
B787,627,52,66276,60,GE90,208060
B787,9230,188,78302,96,CFM56,248037
B777,7450,83,8042,69,GE90,25779
B737,13342,85,48958,67,PW1100,154324
A380,6459,211,75514,81,GE90,238063
A350,2673,363,62972,58,GE90,199180
B777,13834,319,78833,65,Trent1000,248471
A320,3815,494,71777,60,GE90,226688
B777,10875,431,8733,86,GE90,27655
A350,5534,412,32635,75,Trent1000,103723
A380,5509,346,8386,59,GE90,26096
B777,4088,168,18547,81,CFM56,58409
A350,5594,174,17614,83,Trent1000,55206
B787,10012,390,40752,91,CFM56,128801
B777,8466,438,72326,86,PW1100,229097
B787,9066,244,75086,63,PW1100,238242
B787,8094,79,56947,88,Trent1000,181043
A320,8055,370,28934,60,GE90,91139
A350,7709,380,26071,75,PW1100,82195
B777,9827,262,49079,78,Trent1000,154379
B787,11301,322,20538,66,Trent1000,64394
A380,9520,481,71215,93,CFM56,224773
B777,12292,271,57881,52,CFM56,182743
A350,12597,353,45447,57,CFM56,143537
A320,511,129,70793,52,PW1100,224757
B777,8055,440,57144,95,GE90,179569
A380,6499,247,7810,51,CFM56,24884
A350,13561,336,11246,51,PW1100,36222
A350,10347,288,42840,78,GE90,134996
B737,4015,312,79480,68,GE90,251346
B737,6911,258,45623,76,GE90,144151
A350,6371,265,76740,62,CFM56,242723
A320,5383,401,59635,54,Trent1000,188049
B787,5490,248,5249,67,GE90,17253
B777,3897,186,20856,55,PW1100,66238
B787,10381,62,70607,58,PW1100,223399
B777,7742,417,30682,94,PW1100,96998
A380,5273,236,37519,82,PW1100,119074
A320,13122,180,36244,72,Trent1000,115197
B737,10390,378,78866,50,PW1100,249004
A380,12301,339,19009,50,Trent1000,59832
A350,10071,212,60797,64,GE90,191511
A350,4635,295,49723,61,Trent1000,156728
A350,1217,385,66624,64,PW1100,210704
A320,10377,440,46781,98,Trent1000,147912
B777,8369,221,6638,63,PW1100,20825
B777,8213,213,25404,52,CFM56,79318
A320,3738,215,60545,72,PW1100,190923
B737,5936,347,25282,68,PW1100,80077
A350,8449,303,65672,69,GE90,207537
A320,8741,75,46677,71,GE90,146867
B777,5199,391,20945,91,CFM56,66003
B777,13500,474,42805,75,CFM56,134669
B787,4053,102,27363,81,CFM56,87002
A380,9456,115,26728,80,GE90,84863
B787,8666,188,44879,71,Trent1000,142584
A380,5250,202,59489,88,GE90,188055
A320,5880,222,38960,75,GE90,123146
A350,2371,136,18638,55,PW1100,59011
A350,7149,310,51063,70,CFM56,161512
A320,2700,68,44381,85,GE90,141156
B777,11289,476,14328,68,GE90,45554
B787,7999,305,58909,56,CFM56,186913
B737,11398,230,53082,99,PW1100,166933
B777,13884,343,72626,77,CFM56,228753
B787,8065,455,74873,90,GE90,237415
B777,8598,124,30410,72,GE90,96286
B787,13519,53,56935,62,PW1100,180336
B777,11969,218,18700,50,CFM56,59790
A380,5847,247,50361,63,CFM56,160208
B777,6257,116,74694,85,GE90,236328
A320,13914,321,47980,95,Trent1000,151215
B737,8733,425,48303,89,Trent1000,152634
A320,12011,379,29848,67,GE90,94325
B787,10572,383,79759,84,PW1100,252535
B777,8256,428,16092,55,Trent1000,50498
A350,6601,405,51713,89,CFM56,163573
A320,13361,434,26773,55,Trent1000,84612
B787,4333,168,66868,60,PW1100,210982
A320,7466,387,56760,74,PW1100,178383
B787,8441,317,55684,63,Trent1000,176320
A320,12249,149,46864,54,GE90,148765
B787,6026,437,27626,90,PW1100,87313
A380,10596,239,65453,56,PW1100,205911
B787,3037,409,60431,67,GE90,191441
B787,9495,448,12579,64,PW1100,39095
A320,11440,80,67996,77,GE90,215243
A320,8669,486,11968,60,GE90,37758
A350,5487,148,54497,64,CFM56,173193
B737,6246,458,66865,55,PW1100,211804
B737,2489,410,6300,66,CFM56,20010
B737,13690,359,28608,77,PW1100,90659
B737,2844,200,26864,62,Trent1000,84664
A350,10633,463,75415,69,PW1100,237506
A380,2073,497,41245,69,GE90,129367
B787,12483,472,41477,86,PW1100,131011
B777,13162,139,49593,57,Trent1000,155869
B737,979,460,31365,59,GE90,99263
A380,1313,303,10002,75,GE90,31512
A320,7482,263,24768,99,GE90,77483
B777,2592,154,73633,88,GE90,232302
B777,10020,383,10719,90,PW1100,34388
B787,4629,93,40722,50,CFM56,129208
A380,7539,409,12532,67,Trent1000,39952
A350,6806,234,16368,54,Trent1000,51377
B737,656,310,43970,82,GE90,138617
A350,11037,210,9381,83,GE90,29567
A380,12864,280,20138,64,CFM56,62826
A380,8197,453,62008,74,CFM56,195265
B787,11622,432,58328,63,Trent1000,184618
A380,3937,473,19707,65,PW1100,63092
A380,5529,420,24941,67,Trent1000,78589
A380,11341,477,9780,63,GE90,30530
B777,13482,223,20359,98,PW1100,64825
B787,3251,70,20223,73,GE90,64152
B787,5416,465,21163,87,PW1100,66954
A380,10345,422,6360,66,Trent1000,20847
B777,7242,232,34549,57,CFM56,109146
A350,8991,481,59281,74,GE90,187195
B737,7063,420,11808,60,Trent1000,38002
B737,3279,306,32534,99,PW1100,102724
A380,13969,123,44706,52,CFM56,140107
A320,10718,438,43419,90,CFM56,136959
A380,7555,164,74913,57,CFM56,236877
B737,2162,77,7772,66,GE90,24943
A320,9794,227,40411,75,PW1100,128561
B787,5731,343,60652,54,PW1100,192151
A380,11165,214,78548,71,PW1100,248345
B777,10800,469,37365,98,CFM56,118468
A350,4977,417,35780,51,Trent1000,112599
B787,10985,261,31095,86,PW1100,98253
B777,13812,465,9574,73,GE90,30316
A350,10596,210,64414,81,CFM56,203598
B737,1072,215,28007,91,GE90,89043
A350,12365,494,41169,73,GE90,130055
B777,10710,268,58743,79,CFM56,185091
A320,1284,224,52228,54,Trent1000,164290
A350,13837,471,14927,64,CFM56,46276
A380,6132,307,34546,70,Trent1000,109249
B787,11791,328,16016,89,GE90,50635
A320,10893,459,13036,93,CFM56,40963
B777,11482,231,29684,86,PW1100,94156
B787,9807,50,35299,77,Trent1000,110505
A320,3707,311,19957,69,PW1100,63163
A380,911,449,24509,90,GE90,77273
A350,4100,305,29180,79,PW1100,92625
B737,2421,146,24147,69,GE90,76510
B787,3036,298,13491,54,CFM56,42528
A380,11141,378,7303,75,CFM56,24093
A350,8552,154,21750,93,GE90,68404
B777,566,94,42740,96,PW1100,134333
B777,11855,486,45273,81,GE90,142826
A380,783,310,6310,85,Trent1000,20727
A350,12762,270,12216,98,GE90,37764
A380,6703,144,55158,80,CFM56,174340
B737,3782,380,7495,70,Trent1000,23787
A320,6739,50,78456,72,CFM56,247755
B737,2787,216,36840,78,PW1100,116298
B777,8316,409,25027,71,Trent1000,79688
B777,7242,464,11784,79,PW1100,37069
B737,9902,458,71073,68,Trent1000,224388
A320,6229,64,14979,90,Trent1000,47500
A380,13692,352,33891,75,GE90,106725
A350,9975,169,69369,86,CFM56,218436
B777,3405,408,43236,71,PW1100,136618
A350,1819,166,25425,90,GE90,81039
A380,2984,63,41594,85,CFM56,131480
B787,7458,431,46261,57,Trent1000,146236
A320,13543,92,60179,50,GE90,190215
A320,4601,313,51199,69,PW1100,161089
B737,10817,380,44406,92,PW1100,140859
A380,5665,487,64757,57,Trent1000,205088
A380,10126,285,68389,57,PW1100,216103
A350,13428,339,47174,51,Trent1000,148622
B777,11418,474,50150,80,Trent1000,158468
B777,3553,135,28908,57,GE90,91190
B787,11854,233,79351,58,GE90,250542
A320,2023,286,65310,82,Trent1000,205224
B787,1153,453,63617,74,CFM56,201159
A320,4713,287,22734,87,PW1100,72126
A320,9696,252,67672,50,GE90,213940
B777,7183,231,78548,99,CFM56,248439
A380,1224,277,48971,99,CFM56,154868
B787,7910,407,58596,59,GE90,184939
A320,9619,219,10061,66,GE90,32072
A320,11972,449,55228,74,PW1100,174432
A380,13949,475,12042,96,Trent1000,37262
B777,9831,144,34611,70,PW1100,109297
B737,6811,162,74750,52,CFM56,235413
B737,10413,214,41331,55,PW1100,131182
A350,2450,362,57359,88,CFM56,181497
B777,9073,454,64077,96,Trent1000,202472
A350,3479,123,30908,57,Trent1000,98283
B777,10672,334,60300,99,GE90,190285
B737,8802,470,78040,66,CFM56,246102
A320,1503,285,34052,72,PW1100,106469
B777,2901,479,25181,69,GE90,79543
B787,1218,231,15718,90,CFM56,50549
B777,5746,195,31404,66,CFM56,98670
B787,3907,493,5634,89,GE90,17971
B737,10592,266,42346,84,PW1100,133221
A320,7890,279,12178,60,GE90,38670
B737,5338,93,49572,78,Trent1000,157324
A350,10020,343,21130,66,PW1100,67293
A380,4616,66,59396,73,CFM56,187385
A320,8492,180,70765,94,Trent1000,223230
A380,3865,160,20053,54,Trent1000,63719
B737,2773,247,49429,63,PW1100,156769
A380,7183,295,67055,53,Trent1000,212194
A350,4528,282,10176,54,GE90,32128
A320,6845,193,48359,89,PW1100,152674
A350,3229,381,56261,62,Trent1000,178139
A320,13964,131,79696,59,PW1100,252290
A350,3440,85,9034,69,PW1100,28707
A380,4576,166,73378,58,GE90,232035
B777,13663,79,63702,76,PW1100,200968
A350,5812,303,45210,85,CFM56,142354
A380,6497,391,27163,59,PW1100,86772
A320,5064,111,33903,52,GE90,107512
B777,1865,119,19726,84,PW1100,62283
B737,11231,314,75933,60,GE90,239270
A350,10969,371,23199,73,Trent1000,73249
A350,4552,228,27176,67,PW1100,85487
B737,556,334,15851,71,CFM56,50151
A350,10726,472,7729,96,PW1100,24347
A380,3987,309,52065,70,PW1100,163431
A380,3719,304,60689,70,CFM56,191755
B777,12418,130,67980,78,PW1100,215034
A350,3818,297,66106,74,PW1100,208517
B737,8030,474,37995,59,PW1100,119366
B737,9153,233,54676,79,PW1100,173063
A320,12916,275,12637,85,CFM56,40043
B787,6878,280,51893,94,PW1100,163850
A350,9378,211,63109,90,CFM56,199386
B737,9719,121,69932,76,CFM56,220683
A350,8936,320,63783,86,GE90,201528
A320,10372,107,13899,75,CFM56,44153
A380,13296,132,67930,71,CFM56,214289
B737,6033,462,21763,57,CFM56,68064
A350,2687,481,32982,88,PW1100,104069
B777,11540,91,28981,90,CFM56,91407
A380,7960,152,16833,71,Trent1000,53034
B777,4833,402,67350,92,PW1100,212525
B737,3615,202,65025,67,Trent1000,205624
B777,6088,249,6610,61,PW1100,21108
A350,11324,118,65863,87,GE90,207942
B737,12313,310,17131,86,Trent1000,53737
A350,12291,336,5213,87,GE90,16231
A320,2730,140,8953,78,Trent1000,28997
B777,4446,151,40164,57,CFM56,126549
B787,6971,400,48633,70,PW1100,153991
A350,7623,60,79236,91,CFM56,250299
B777,8547,245,26666,81,Trent1000,84564
B787,8559,158,13519,90,PW1100,42774
B737,1497,476,58290,76,CFM56,184029
A380,2796,151,37304,72,GE90,119267
A320,11160,435,38460,84,PW1100,121682
B777,7636,358,17016,92,GE90,53788
A350,1890,316,57658,64,CFM56,182391
B737,7351,206,65783,85,GE90,208134
B787,10837,192,46453,61,GE90,147486
A380,3733,252,5803,85,Trent1000,17933
A350,714,330,14838,92,Trent1000,46182
A380,10189,230,50126,87,GE90,158949
A380,5949,477,73295,70,GE90,230917
B777,4622,286,73759,56,PW1100,233000
A350,10046,318,46678,96,GE90,146800
A350,650,491,26087,91,Trent1000,82566
B777,10002,245,56769,96,Trent1000,179372
A350,12128,389,67252,54,PW1100,213358
A320,6639,78,17989,76,Trent1000,57236
B777,8969,224,41554,91,Trent1000,131321
B777,4591,430,8497,67,CFM56,27003
A380,13286,454,26858,92,Trent1000,84976
A350,13708,85,71230,85,CFM56,224857
B777,11703,262,69634,73,PW1100,221002
A380,10002,58,48415,98,GE90,152966
B777,3854,145,25382,97,GE90,79978
B787,8446,288,16942,79,GE90,54013
A350,9451,81,45449,63,PW1100,144263
A350,6070,220,79470,61,CFM56,251353
B737,10077,323,21307,87,PW1100,66307
A350,7318,313,29517,66,Trent1000,93125
A320,7564,424,79928,80,CFM56,251974
B737,2563,411,11839,75,CFM56,37140
B787,3880,328,60267,86,GE90,189701
B737,11177,417,63461,78,Trent1000,201116
A320,12816,192,44620,87,Trent1000,141384
B787,10551,478,40728,73,PW1100,129601
A380,570,409,56974,65,Trent1000,181093
B737,10413,181,77672,61,PW1100,244976
A380,8618,351,19097,52,PW1100,61304
B787,9725,146,39240,71,Trent1000,123716
A380,10440,87,13976,61,PW1100,43784
A320,5716,296,57242,53,PW1100,181325
A320,9379,380,40147,64,Trent1000,126429
B737,13991,247,58016,67,PW1100,182885
B737,3261,123,55400,89,GE90,175245
A380,5033,443,46212,92,CFM56,146291
B777,12475,436,78312,90,Trent1000,247839
B787,9820,412,60411,57,Trent1000,190352
B737,4672,324,41328,71,PW1100,130777
A380,13915,170,44750,73,GE90,141754
A350,6593,289,16933,61,CFM56,53411
B787,13575,498,58933,80,CFM56,185474
A350,4215,350,53966,52,Trent1000,171216
B787,1020,215,64680,65,Trent1000,204542
A380,2168,162,13999,62,PW1100,44830
B787,10909,428,33367,59,PW1100,105562
B737,9881,406,44448,69,Trent1000,140505
A320,9342,235,42581,86,PW1100,134565
A320,933,154,60772,97,GE90,192099
B787,7254,165,21686,90,PW1100,67836
A380,10553,498,15370,81,GE90,49130
A320,1795,312,79170,83,GE90,250115
A350,7223,116,22837,75,Trent1000,72279
B787,12180,311,32752,82,Trent1000,103188
B777,10177,180,49503,93,CFM56,156641
B737,8757,434,30876,75,Trent1000,97303
A380,7667,85,58166,96,GE90,184756
B737,10462,409,22045,95,CFM56,70046
B777,9295,129,32918,84,GE90,104664
A380,11455,136,64986,98,Trent1000,205721
B787,5010,476,75702,98,CFM56,237677
A320,1770,210,55380,69,CFM56,175227
A320,6915,52,72909,52,Trent1000,230706
B787,540,480,18873,97,Trent1000,60219
B777,4217,323,79196,54,CFM56,250420
A320,8723,311,41485,84,GE90,131557
A320,12659,380,60495,96,Trent1000,191241
B787,10871,317,27445,60,PW1100,88055
B777,3344,211,70996,92,GE90,224444
B737,9225,291,43048,99,PW1100,136119
B787,8955,269,13138,57,Trent1000,40946
A380,8563,125,18198,94,Trent1000,57716
A350,4214,458,40694,79,PW1100,129528
B777,10844,333,78515,79,Trent1000,248588
B787,8365,333,55823,71,Trent1000,175946
A350,11559,360,23223,61,PW1100,72493
A380,10696,133,75530,86,CFM56,238323
B787,6364,380,73647,66,Trent1000,232883
B737,1455,149,38290,55,GE90,121363
A350,10966,487,77929,61,CFM56,246555
A350,12532,272,52847,94,GE90,167003
B787,11874,403,24350,66,GE90,76792
A380,11116,394,47933,60,PW1100,151231
B737,9514,86,18975,75,CFM56,59402
A380,1908,354,71657,85,PW1100,226204
A320,13041,464,63950,93,GE90,202932
B737,6835,381,10176,78,PW1100,32931
A380,3138,424,76255,95,GE90,241374
A380,6679,264,29717,57,PW1100,93183
A320,5204,272,26824,89,GE90,84629
A320,7611,249,50532,67,CFM56,160154
A350,5443,355,65356,59,CFM56,206722
A380,5748,202,53734,80,PW1100,169365
A350,11203,65,40872,92,CFM56,129417
B787,2109,140,46838,84,GE90,148410
B777,12571,127,73314,59,CFM56,230841
A350,1718,210,28486,75,Trent1000,89585
B777,12478,254,69339,66,GE90,219732
A350,6010,309,19122,71,CFM56,59403
A320,12617,262,70651,95,GE90,222843
A380,7417,396,20336,87,PW1100,64770
A350,12612,419,12827,71,Trent1000,41024
A380,4630,165,68351,74,CFM56,215472
A320,6734,272,34806,61,CFM56,110425
B777,13102,261,8803,86,Trent1000,28552
A350,8131,162,43399,78,PW1100,136805
B737,1775,108,64244,54,Trent1000,203070
A320,13314,365,78420,98,PW1100,247314
A350,9372,401,42665,90,GE90,134270
B787,3737,182,64587,79,GE90,204237
A320,12314,216,57683,57,PW1100,182350
B787,13967,205,24481,87,Trent1000,78039
B737,9796,441,57250,79,PW1100,180869
A380,9318,370,32451,65,GE90,102695
B787,3910,428,51386,78,PW1100,161999
B777,13903,492,62636,79,CFM56,197718
B777,10219,97,39125,63,GE90,123656
B777,7278,332,11797,67,PW1100,36470
A350,3861,490,22074,76,PW1100,70436
B777,10844,63,32005,55,PW1100,101555
A320,6605,244,36166,52,PW1100,114436
A320,12222,282,13526,60,Trent1000,43152
A350,3622,295,22295,53,Trent1000,70462
A350,1362,364,18721,74,PW1100,58219
A320,7879,199,79253,90,GE90,250085
B737,10039,438,21066,79,PW1100,66291
A320,10750,87,63331,74,PW1100,200432
