aircraft_type,distance_km,passengers,cargo_kg,altitude_ft,wind_speed_kmh,temperature_c,engine_age_years,fuel_kg
B787,8199,294,4695,35180,30.2,14.5,8,43278
B787,3696,257,15446,26853,13.2,22.9,13,23774
B787,9133,147,17703,38212,77.2,22.0,13,47853
A350,4287,292,4305,40209,57.5,28.4,15,22163
A380,13278,454,12840,30196,27.3,40.8,5,67499
B777,3352,459,15653,41145,11.2,6.3,18,25477
A380,12574,376,7265,30868,68.5,16.6,9,61694
B737,2044,478,6162,29236,15.7,20.7,2,17740
B737,3497,171,12672,25189,28.5,17.3,3,22131
A350,10743,175,14805,35393,28.9,12.8,1,54475
A320,1972,50,5157,31577,60.0,12.8,12,11445
B777,13132,115,16198,32567,17.4,3.0,11,66010
B777,3212,276,15046,38673,0.8,31.3,9,23760
B737,4326,122,4505,27735,66.5,15.2,19,22100
B777,9817,131,17503,33948,63.4,8.6,15,50123
B777,12437,251,6434,34699,52.4,31.8,14,59737
A350,4963,169,4297,35907,0.9,-2.6,9,25189
B777,6756,265,3343,29930,49.3,27.5,18,31935
B787,1783,449,14152,30303,79.9,7.2,14,15660
B787,12928,184,1357,26140,44.0,31.2,6,60838
B737,3586,56,10326,25436,6.2,14.9,6,19774
A350,11540,91,9136,32757,64.3,35.9,13,54839
B787,1535,499,11853,35833,39.2,4.9,16,15463
B777,4689,225,331,27974,56.5,15.0,15,24838
A350,7163,438,7427,30942,15.2,22.8,4,40108
A350,3180,412,5712,39370,67.0,11.8,6,23607
A320,6305,83,1386,40313,19.3,24.5,19,29346
B777,6176,349,18722,34768,6.7,2.5,1,36726
A350,9504,59,4532,31565,14.8,24.8,18,44542
A320,6200,199,1958,40713,74.9,16.3,1,29486
B737,9983,417,11209,26267,69.8,12.9,12,51216
A380,705,312,15525,41509,21.7,6.7,3,11357
A350,12077,73,1566,39000,48.7,27.2,13,54386
B777,3006,287,7474,32319,30.3,44.1,2,18609
A320,13280,248,9625,38021,25.7,17.9,1,64872
B737,701,335,2823,35701,22.2,-9.3,12,6707
A350,6503,471,18267,26312,53.5,21.5,19,39651
A320,5732,272,12472,40661,8.8,27.7,19,31996
B737,5046,103,4038,34628,69.7,21.3,9,25683
B787,5119,322,14505,26670,0.6,35.6,19,30525
B777,10660,490,11771,31614,30.4,5.1,19,57202
B777,6193,459,19866,35622,42.9,21.9,5,38112
B777,4062,484,3549,31604,9.5,9.9,9,23170
B787,8190,467,18988,30315,49.7,13.2,19,47838
A380,7390,287,5141,30754,70.1,8.9,7,37513
A320,5147,415,17688,37983,85.8,1.3,5,32366
A380,13880,399,628,33427,51.4,-1.2,8,66069
A380,6340,272,5573,37377,91.0,9.7,10,32916
B787,11018,237,19143,30418,65.7,22.2,6,57362
A350,3834,491,16716,35301,61.1,10.8,14,26805
B777,7019,279,16706,32903,79.9,12.1,10,39004
A320,10993,375,15456,31393,70.8,9.6,14,58922
A320,4334,153,18468,26862,58.9,16.7,4,26861
A380,1325,356,3304,37847,76.0,1.1,11,9923
A350,13636,189,11918,35190,9.9,49.0,6,66021
B737,10343,374,6691,35789,63.0,19.0,13,52482
A350,9392,403,2453,33658,72.0,0.5,18,46099
A380,7653,224,3035,35642,3.6,-8.2,14,39408
B777,872,333,8046,25041,80.5,-5.1,5,7740
A350,1255,313,17611,34075,43.6,14.5,2,14344
A380,1285,192,6157,33904,91.6,44.4,13,9970
B777,9132,255,16006,30436,20.2,26.8,18,47643
B777,11034,97,18935,33502,57.8,19.5,6,55469
B737,7423,405,11918,33356,27.3,12.1,9,39228
A320,13184,489,428,25994,12.0,15.9,5,67355
B787,3449,157,7998,39167,64.4,37.8,13,18459
A320,10281,179,6410,40048,7.1,62.3,8,49364
B787,10551,207,18899,32784,86.8,16.9,16,55974
B737,7395,55,1240,30526,51.4,18.6,15,34955
B737,4565,377,10623,31803,56.7,13.9,2,25951
B787,1013,487,11534,29250,55.0,14.9,2,11392
B737,10393,102,5895,39627,79.6,17.5,7,49040
A380,2674,144,12735,38988,6.9,27.3,16,16724
B737,4166,160,19220,32045,91.3,3.4,3,26029
B787,6211,295,3980,36161,16.8,34.9,3,32143
B787,1704,262,13391,28949,6.1,23.8,13,13927
A380,562,51,672,34995,41.8,36.2,7,5445
B787,7683,254,13582,34160,67.1,10.0,3,40959
B777,929,301,17653,29481,31.1,59.7,15,14056
A320,3397,306,18826,34124,6.9,47.2,13,23062
B787,5231,489,554,33665,40.6,18.0,16,27986
A320,5898,114,19009,39308,22.9,12.0,8,33369
A320,3018,453,13973,35577,63.6,5.3,17,21936
A350,12315,157,12238,25063,10.2,17.3,2,62002
B777,6425,437,19127,35099,54.5,24.5,12,39529
A380,4885,80,7306,41610,34.8,7.4,6,25553
A350,11477,197,3445,37850,34.2,16.0,17,52428
A380,11636,414,4993,26116,59.6,18.8,8,57980
B787,4483,149,11646,32389,4.9,15.7,11,24599
B787,3312,469,17588,33781,30.3,10.5,6,24055
A320,9756,51,11106,38461,60.5,-7.7,6,46717
A320,9044,485,19019,27912,70.7,10.1,16,49953
A350,9720,270,10963,31960,47.2,44.5,17,50962
A350,5599,305,17089,40040,99.5,14.5,14,32710
A350,13666,489,4279,39892,70.4,33.3,7,68293
B777,5071,278,15170,29127,97.2,8.7,2,28698
A350,13775,430,14034,30266,69.6,32.1,9,67583
B787,6311,135,506,25213,77.6,-22.9,8,30088
A320,594,80,9099,37083,75.8,24.0,11,5000
A380,10894,57,14519,41876,56.4,15.6,10,53870
A350,11819,184,5951,31130,82.8,-5.6,19,55460
B737,11119,442,3981,28080,52.2,1.7,16,54898
B777,10994,166,10006,27497,9.3,52.1,15,55782
A380,10696,359,12960,35801,18.8,37.5,11,56230
A350,11150,458,10172,38092,19.9,3.5,6,56969
A380,2608,112,11142,39492,78.2,26.6,18,16788
A380,12728,485,1628,35152,35.9,18.8,18,62705
B787,5029,66,19000,33465,11.7,20.5,2,29185
A320,11005,353,5912,32629,7.3,54.2,13,53891
A320,8012,299,17054,32453,55.3,3.8,2,42908
A350,11165,83,1893,26600,87.7,15.9,6,51808
A380,3532,130,2340,27584,86.9,2.0,19,16927
B787,4221,490,2377,31852,27.8,-18.1,6,23907
A320,6352,77,1429,27699,51.0,21.3,3,28960
A320,3965,72,9643,25881,93.2,19.8,17,22177
A350,6965,172,14311,38300,11.6,-10.9,15,36808
B737,6708,271,11636,25264,62.1,-9.1,10,35477
B777,7190,405,10925,27881,36.1,13.2,17,41300
A320,8719,470,6280,28488,8.5,29.1,7,46275
B737,6993,361,12293,41055,30.5,26.5,16,38651
B777,10954,433,6774,25368,47.0,28.0,13,57882
B787,10819,385,6577,39698,84.5,-8.5,15,55362
A320,1233,245,14886,40865,40.0,9.9,1,12900
B777,5140,272,7278,27126,60.3,17.5,6,28557
A350,1186,241,18012,37448,65.6,34.1,13,12699
B737,3100,91,17073,39438,70.2,-3.9,2,20387
A380,7132,420,9458,36093,36.7,35.2,8,38820
B777,10039,157,1289,28566,78.3,11.7,10,47182
B737,4171,227,1066,30451,17.6,0.4,11,21304
B777,9316,489,4770,40022,83.9,16.0,2,47631
A380,12491,83,1851,28884,35.8,27.9,10,57001
B787,3794,452,5897,32782,70.4,46.1,8,23110
B787,11526,380,18669,39367,90.6,-0.0,12,62157
B777,12883,450,12467,39964,35.2,14.3,4,68653
B737,13584,287,15145,33472,75.7,30.5,8,68350
B777,13437,274,1327,41834,95.8,10.3,7,63388
A320,7430,171,18892,30102,4.6,13.6,16,40969
B777,9080,379,13396,31322,74.5,40.4,6,47685
A320,11562,236,16909,36763,79.9,7.3,12,58837
A350,13608,265,6663,40068,48.0,37.2,12,64630
B737,8773,452,5417,36985,56.1,-0.3,4,45288
A350,12194,178,18844,35291,3.6,13.8,10,62614
A380,11767,214,6672,37611,64.7,18.2,16,58173
B787,12667,69,7579,28712,14.9,35.7,1,59989
A350,3198,294,8826,28918,99.7,48.0,12,19428
B787,10733,333,5208,26460,52.6,30.6,14,53820
B777,12010,76,5982,31538,25.8,11.4,10,55199
A380,13559,249,9539,27228,48.1,14.4,8,66216
B787,5185,407,11963,29310,42.6,-16.2,2,31499
A320,1834,218,9848,30847,35.9,17.5,17,13574
B787,9046,275,18514,41602,32.1,43.5,5,47816
A350,11755,163,7464,26319,10.0,26.8,7,56662
A380,6729,402,340,41449,26.7,28.1,19,30028
A320,4009,81,2914,37341,5.8,46.8,15,19908
B787,7353,406,8721,25860,13.2,55.4,19,38334
B787,4359,59,15249,35661,49.2,33.0,12,23419
A380,10696,74,10400,27518,52.4,39.6,10,52073
B737,521,99,10310,26467,60.7,-9.3,13,7280
B787,9952,445,19468,33938,41.0,30.3,1,53715
B777,10569,91,7158,27142,9.2,22.8,7,49448
A380,6279,422,2669,31660,44.2,7.1,16,33542
A320,5523,395,7884,39319,27.6,36.4,12,31003
A350,12128,225,5265,31435,63.3,29.8,3,58146
A320,4007,317,963,41988,41.2,9.4,9,22343
A320,12036,499,18124,32349,76.7,10.4,1,63661
A320,9193,233,3898,31961,28.3,37.5,3,44305
A320,8253,245,13771,38388,39.4,34.1,3,42911
A380,1542,286,7795,27693,66.5,-6.1,8,11370
B777,9350,257,15835,29440,21.4,32.1,19,48331
A320,11911,182,5088,32516,7.4,6.0,1,57527
A320,2431,349,4384,33150,64.3,28.3,17,15591
A320,6332,404,8433,38156,49.2,-1.4,11,34676
B777,9345,377,19420,35747,4.7,20.5,4,52407
A350,7525,456,1542,31538,43.8,28.4,12,40052
B787,11953,117,15295,27183,24.6,17.3,6,60164
B737,2413,478,110,33285,19.3,40.5,3,15411
A320,9263,127,12102,37731,39.3,1.9,14,47688
B737,2880,370,8870,40118,54.5,18.7,17,18087
A320,11746,374,7430,41100,95.6,42.6,10,59452
A380,2635,157,1022,38189,31.4,16.2,5,13295
B777,9422,182,4783,28350,40.3,27.0,19,43677
A380,3956,69,13640,34343,11.9,11.6,18,22095
B787,12927,353,10359,41422,77.8,21.8,10,65577
B737,5756,311,18510,27375,57.9,-14.7,1,34704
B737,1044,492,12842,40122,20.9,27.1,9,14073
B777,1747,163,7311,36586,70.6,0.4,15,10517
B737,1298,476,17167,30161,22.6,27.6,13,15797
B737,12709,119,18179,27515,25.0,9.2,18,64188
B737,1309,404,16238,36747,30.2,10.3,16,14975
A380,4144,408,15843,27604,60.6,17.2,14,26107
B777,3142,131,18052,30267,13.5,24.7,10,19562
B737,1251,391,461,30817,83.1,23.7,11,10697
B777,11777,335,7024,33922,51.2,51.3,9,58662
B787,2352,365,828,40639,67.1,8.1,8,14435
A350,11632,476,10030,30748,35.6,19.4,19,60584
A320,6532,117,8241,34166,78.0,19.8,11,32179
B737,8234,496,18451,33392,69.9,-4.8,10,46208
B777,1077,436,16913,35738,76.4,61.1,4,14101
B777,2604,243,13779,26679,61.4,52.4,17,19304
B787,7841,331,13677,40486,52.0,22.6,18,43032
A350,2343,422,19744,26856,78.4,3.3,2,19399
B787,548,448,12811,38173,78.0,25.7,14,9869
A320,12235,369,17856,25838,54.9,2.1,13,64873
B787,9434,221,4115,37910,25.3,-10.5,3,45948
A320,11576,255,11610,26227,12.3,16.6,4,57588
A350,8367,220,18186,38252,3.7,22.0,6,47723
B787,7727,189,14697,31170,85.7,18.5,14,41359
A380,5050,169,18407,40532,33.7,6.4,16,28624
B777,11908,433,10119,26295,76.6,26.3,2,61496
B777,5682,262,13915,38022,16.3,13.6,3,32300
B737,5086,93,19212,33082,26.3,33.0,11,31572
B787,8813,347,12575,28332,23.5,27.5,6,46660
A320,6322,211,7404,33008,27.4,52.7,19,32074
A350,2350,178,1884,36418,56.9,16.7,12,14182
A380,13666,348,733,26512,21.6,19.4,12,66323
A350,1558,381,5829,32024,21.5,28.2,5,13214
B777,5036,417,18853,25773,16.8,28.8,14,34621
B737,9948,362,3995,31460,10.7,27.2,16,51317
A350,10949,463,5759,40217,22.2,21.9,18,55053
B787,941,473,891,39834,71.0,25.8,10,9598
A380,2054,119,18207,32648,86.4,3.0,11,15515
A380,10633,332,7195,35029,69.1,31.3,16,52424
A350,9838,272,17178,41221,65.0,41.7,12,52185
A380,11551,245,2951,38719,28.5,33.2,14,55889
A320,11127,463,14123,40423,55.1,40.0,6,59937
B737,5079,77,3846,36706,10.8,4.1,4,24399
B737,1871,127,1093,37571,31.8,23.0,15,9408
B737,8143,79,15354,26283,82.4,19.2,1,41882
B737,11308,105,13889,39649,7.9,6.7,13,54987
A320,3411,360,19327,37153,10.6,18.2,3,25052
A350,4278,370,11716,37826,36.2,25.2,2,26456
A320,7259,291,9135,31696,48.4,38.8,13,37379
B787,1649,238,11758,27849,52.0,33.6,16,13969
B777,4036,56,9099,30363,54.7,7.8,1,20818
B777,12010,322,3333,33095,98.4,30.9,19,58492
B787,3265,377,19781,28799,69.4,-19.6,8,24093
A320,3036,138,18571,34242,77.2,26.3,4,21594
A320,1063,433,3584,27435,11.3,32.9,4,10915
B777,3700,430,16271,39356,11.2,14.3,19,25449
B787,3465,403,5389,33851,89.2,26.8,7,20058
B777,9472,400,7895,35595,56.9,5.8,6,48842
B737,5262,99,13237,35664,46.5,16.7,17,27648
B787,7597,192,13241,35450,9.7,17.4,4,38952
B737,13710,155,14255,30272,69.0,15.4,1,67948
A350,11602,498,7721,27569,9.5,53.1,14,60108
A380,1099,137,8717,36632,20.7,37.8,4,9047
A380,7139,485,16320,25851,76.7,49.3,18,41487
B787,5157,159,17159,40759,51.9,29.5,12,28926
A380,5136,426,5726,37354,52.8,14.6,17,28890
B737,2863,454,3076,39896,64.6,25.2,1,17931
A320,7898,316,1228,37401,80.2,28.8,18,39636
A320,10950,167,12151,41608,1.4,24.1,17,56564
B777,7886,259,18318,31591,52.4,17.5,8,43050
A350,2609,497,7923,32023,86.3,17.6,19,19837
B737,10776,464,583,25862,62.8,28.7,9,52786
A350,10537,400,15944,26281,51.4,-12.1,9,55351
B787,8957,225,16598,27155,51.7,7.1,4,48418
B787,9063,143,588,38218,8.6,19.3,19,43222
B737,13655,450,14205,31275,54.6,44.9,16,68643
B777,1596,238,11926,31670,77.2,46.6,10,13541
A380,10810,174,18524,37173,13.3,25.3,8,56235
B787,2905,178,5552,37213,93.7,4.7,19,16938
B777,6509,142,1581,30198,44.0,37.9,13,31211
A380,6165,100,12555,27768,0.5,21.5,18,31429
B787,9446,181,18803,37970,28.8,30.4,4,49903
A350,6470,89,9479,30616,14.9,56.2,18,30997
B787,11036,445,7486,37188,51.0,70.0,6,56320
B737,13188,227,4896,27980,76.9,14.2,6,62966
B777,8405,482,6222,30105,24.6,15.4,18,43422
B777,4331,213,14914,27077,57.9,25.0,16,25568
B737,7676,117,9808,39189,82.2,35.0,3,37156
A350,3737,106,2840,28573,72.0,19.6,17,20028
A320,6926,242,2548,29422,54.1,29.4,8,35786
B777,13592,408,12318,28862,71.5,9.7,19,69436
B777,11912,427,2343,37527,70.0,26.7,12,59922
A350,1730,365,1648,38209,36.1,36.1,5,11934
B787,3081,382,13203,37410,43.4,23.6,5,22494
B777,5090,191,14653,34044,35.4,28.5,5,28305
B737,3961,206,7678,32061,83.0,-3.4,15,22926
A350,2159,457,1440,38865,53.3,16.0,2,14400
A350,3886,403,17246,32404,59.2,-2.5,4,26511
B737,6317,207,6506,25477,80.7,24.9,11,32776
A350,10867,336,7080,35492,96.4,34.6,2,54447
A350,10493,280,1421,29956,37.4,19.0,19,49834
A350,13854,279,14139,30946,91.3,28.9,19,69345
B787,7517,306,5865,36688,23.0,32.2,6,40556
A350,11768,354,9805,38828,0.6,12.5,13,60143
B777,12426,342,9896,41233,20.8,7.9,15,61893
