origin,destination,days_before_departure,season,seat_class,airline,distance_km,demand_score,competitor_price,is_holiday,price_usd
LAX,BOM,218,autumn,Business,EuroWings,12057,0.8,338,0,815
SYD,JFK,58,spring,Business,SkyMind,1916,0.1,1358,1,111
SYD,CDG,113,spring,Economy,AsiaJet,3608,0.64,418,0,701
BOM,NRT,188,winter,Business,AsiaJet,9208,0.72,661,0,3348
JFK,SIN,122,autumn,First,EuroWings,9541,0.72,1216,0,1797
LHR,FRA,85,winter,Business,SkyMind,8329,0.72,859,0,1661
DXB,CDG,106,winter,Business,AeroGulf,10593,0.17,429,0,3826
LHR,SIN,356,autumn,First,PacificAir,1407,0.32,1543,1,207
JFK,BOM,99,summer,First,AsiaJet,9007,0.84,1585,1,3406
NRT,LAX,9,winter,Economy,AsiaJet,11935,0.9,1465,1,4597
BOM,DXB,6,spring,First,AsiaJet,8073,0.28,341,1,1553
JFK,DXB,108,summer,Business,AsiaJet,10199,0.02,708,1,666
SYD,SIN,152,spring,First,EuroWings,12814,0.86,1599,0,4752
NRT,CDG,338,summer,First,EuroWings,10210,0.38,711,0,701
NRT,BOM,237,spring,Economy,SkyMind,12842,0.33,1122,1,822
BOM,DXB,27,winter,Business,AeroGulf,2434,0.35,1607,1,949
FRA,JFK,119,winter,Economy,SkyMind,6451,0.42,1045,0,476
NRT,SIN,211,winter,Economy,AeroGulf,4844,0.38,1548,1,857
FRA,FRA,100,autumn,Business,EuroWings,7926,0.57,965,1,1535
SYD,LHR,3,winter,First,AsiaJet,10493,0.08,1350,1,674
FRA,LAX,294,summer,Business,SkyMind,6834,0.97,254,1,1317
BOM,JFK,330,winter,Economy,AeroGulf,3122,0.94,641,0,1130
BOM,SIN,329,autumn,Economy,PacificAir,9548,0.93,259,1,3601
JFK,SIN,17,spring,Business,AeroGulf,6065,0.88,1334,1,606
SIN,DXB,106,autumn,Economy,SkyMind,10568,0.66,889,1,1958
BOM,NRT,230,summer,First,EuroWings,2025,0.22,1848,1,206
NRT,NRT,304,summer,First,AsiaJet,1916,0.05,1704,0,377
DXB,LHR,177,autumn,Business,PacificAir,12171,0.1,1784,0,4408
SYD,DXB,84,spring,Business,SkyMind,12563,0.32,588,0,2312
JFK,NRT,263,winter,First,EuroWings,2294,0.5,1379,0,474
LHR,NRT,196,summer,Business,AeroGulf,11757,0.99,155,1,923
FRA,SYD,249,winter,First,EuroWings,3220,0.44,951,0,1211
NRT,FRA,149,spring,First,EuroWings,7326,0.52,1865,1,1337
DXB,FRA,206,summer,First,AsiaJet,12896,0.7,1282,0,4561
LAX,LHR,81,spring,First,SkyMind,7295,0.18,968,0,1374
FRA,BOM,189,spring,Business,EuroWings,4176,0.93,1065,1,1588
NRT,NRT,206,autumn,First,AeroGulf,5576,0.53,1218,1,1067
CDG,NRT,308,spring,First,AeroGulf,6869,0.28,1362,0,2445
SYD,LAX,269,summer,Economy,AsiaJet,9044,0.94,782,0,1658
LAX,LHR,290,autumn,Economy,EuroWings,11923,0.63,315,1,4292
NRT,FRA,361,summer,Economy,AeroGulf,10119,0.48,1561,1,1789
SIN,LHR,300,autumn,Economy,AeroGulf,6326,0.58,1881,1,1208
JFK,NRT,255,autumn,Business,AsiaJet,2692,0.75,245,1,1065
NRT,DXB,8,spring,Economy,EuroWings,10469,0.15,1631,1,611
FRA,NRT,114,spring,Economy,AsiaJet,4036,0.86,1920,1,850
FRA,NRT,5,winter,Economy,EuroWings,7799,0.96,223,1,1706
JFK,BOM,342,summer,Business,AeroGulf,9808,0.57,1824,1,651
NRT,CDG,73,summer,First,SkyMind,2820,0.68,918,0,722
BOM,CDG,348,winter,Economy,AeroGulf,8371,0.86,431,1,2975
LHR,NRT,121,spring,First,SkyMind,1033,0.37,1391,1,185
SIN,NRT,302,summer,Economy,EuroWings,9909,0.99,704,0,1746
BOM,BOM,234,summer,Business,EuroWings,11680,0.68,288,1,4267
NRT,DXB,66,spring,Business,PacificAir,10920,0.42,1706,1,4058
BOM,LAX,230,autumn,Business,EuroWings,5851,0.68,243,1,322
CDG,CDG,31,spring,First,EuroWings,2479,0.52,1251,0,396
DXB,LAX,307,winter,Business,PacificAir,2576,0.11,1647,1,226
NRT,LHR,297,summer,First,SkyMind,9223,0.8,929,0,3397
FRA,JFK,51,autumn,Business,EuroWings,11768,0.56,824,1,2214
LHR,DXB,147,winter,Economy,AsiaJet,10636,0.8,1485,0,3968
SYD,NRT,95,spring,Economy,EuroWings,4735,0.15,1695,0,1777
FRA,LHR,329,autumn,Economy,EuroWings,11791,0.54,948,1,667
SIN,DXB,38,summer,Economy,AeroGulf,6741,0.77,1919,0,1411
LHR,LAX,198,autumn,First,EuroWings,13049,0.99,931,0,4879
DXB,LAX,241,summer,Business,EuroWings,12521,0.88,706,0,766
NRT,CDG,173,spring,First,AsiaJet,4614,0.86,171,0,429
FRA,BOM,256,autumn,First,PacificAir,3084,0.25,721,0,489
BOM,LAX,41,autumn,Economy,PacificAir,10240,0.84,1045,1,2019
BOM,NRT,129,autumn,Business,PacificAir,1988,0.17,1405,1,127
FRA,LHR,54,summer,First,AeroGulf,4159,0.2,1547,1,825
LHR,SIN,86,spring,First,EuroWings,6902,0.11,538,0,1232
CDG,JFK,212,spring,First,SkyMind,13819,0.86,1747,1,5089
SYD,FRA,269,summer,First,SkyMind,8547,0.11,258,0,1512
FRA,SYD,296,autumn,Business,AsiaJet,727,0.14,1846,0,80
DXB,FRA,21,summer,Economy,AeroGulf,4971,0.25,1374,0,1027
NRT,FRA,215,summer,Economy,AeroGulf,5742,0.57,1450,0,2079
CDG,FRA,189,winter,First,EuroWings,13901,0.88,724,0,2667
SYD,BOM,161,spring,Business,SkyMind,8123,0.42,1640,0,2994
LAX,NRT,201,summer,Business,AeroGulf,13523,0.55,1776,1,2479
JFK,LHR,29,autumn,First,AsiaJet,4852,0.17,1013,0,859
BOM,LAX,244,summer,Business,SkyMind,5428,0.27,437,1,295
FRA,DXB,183,summer,First,AeroGulf,7815,0.13,854,1,451
JFK,NRT,32,summer,Economy,EuroWings,13488,0.41,1754,0,2532
LAX,JFK,267,autumn,Economy,EuroWings,13698,0.59,1941,0,2543
BOM,BOM,36,winter,Economy,EuroWings,1198,0.28,1763,0,491
LAX,BOM,93,summer,First,EuroWings,937,0.85,1207,1,515
NRT,DXB,159,spring,First,SkyMind,6319,0.98,1879,0,540
LAX,SIN,180,summer,Economy,SkyMind,6680,0.12,1236,0,1244
JFK,FRA,306,winter,First,AeroGulf,10376,0.02,1082,1,1900
SYD,BOM,218,summer,Business,AsiaJet,2653,0.79,775,1,981
JFK,LAX,329,spring,Economy,PacificAir,13402,0.19,468,0,2403
CDG,LAX,353,winter,Business,PacificAir,6538,0.35,726,0,1241
BOM,LHR,343,spring,Business,EuroWings,6508,0.39,1227,1,1112
LHR,LAX,227,spring,First,AeroGulf,6875,0.92,1303,0,2583
BOM,BOM,212,spring,First,PacificAir,11606,0.66,1412,1,4252
DXB,LAX,353,winter,Economy,PacificAir,11909,0.04,1571,0,4259
SIN,LAX,163,winter,First,PacificAir,5636,0.01,1355,1,1095
SYD,JFK,158,spring,First,PacificAir,5778,0.2,1448,0,2115
DXB,NRT,110,spring,Business,PacificAir,1459,0.32,1475,1,230
CDG,JFK,55,autumn,First,AeroGulf,10531,0.48,1068,0,754
FRA,CDG,350,winter,Economy,PacificAir,8969,0.84,769,1,3262
CDG,FRA,214,summer,First,PacificAir,4720,0.31,1731,1,1708
SYD,NRT,15,winter,Economy,AeroGulf,4256,0.38,1354,0,847
LAX,LHR,153,autumn,Business,SkyMind,8087,0.33,423,1,2989
SYD,JFK,20,autumn,Business,SkyMind,10035,0.01,889,0,3636
JFK,SYD,52,spring,Business,SkyMind,5270,0.96,926,1,593
SIN,FRA,343,winter,Economy,PacificAir,9406,0.14,363,1,585
DXB,FRA,321,summer,Business,AeroGulf,10197,0.29,549,0,555
NRT,NRT,84,winter,Business,SkyMind,4421,0.13,648,1,254
SYD,JFK,326,autumn,First,EuroWings,3214,0.49,1734,0,1215
JFK,SIN,224,summer,Economy,EuroWings,1847,0.93,1864,0,120
CDG,CDG,129,summer,Business,AeroGulf,5508,0.1,1435,0,1025
JFK,BOM,350,spring,First,PacificAir,6585,0.44,1312,0,1185
SIN,SYD,16,winter,First,SkyMind,8669,0.02,1721,1,3169
NRT,JFK,274,winter,Business,PacificAir,11134,0.77,164,0,2082
CDG,LHR,77,winter,Economy,SkyMind,5368,0.64,1738,1,440
CDG,JFK,300,summer,Business,AsiaJet,4460,0.7,525,1,269
DXB,NRT,306,autumn,First,AsiaJet,13868,0.47,723,1,2492
BOM,SYD,92,autumn,Economy,PacificAir,10444,0.91,452,1,3993
JFK,BOM,270,spring,First,EuroWings,3005,0.41,1044,0,97
SIN,CDG,52,autumn,Business,PacificAir,5596,0.51,679,0,474
BOM,LHR,349,winter,Economy,SkyMind,7875,0.7,1107,0,1382
NRT,LHR,121,spring,Business,PacificAir,2237,0.52,1260,0,919
CDG,FRA,50,autumn,Business,PacificAir,12861,0.19,235,1,4696
DXB,NRT,273,autumn,Business,SkyMind,1608,0.32,1437,1,230
BOM,NRT,120,spring,First,EuroWings,3179,0.09,1110,0,197
NRT,DXB,95,summer,Economy,AsiaJet,1537,0.43,825,1,379
DXB,DXB,149,spring,Economy,SkyMind,6260,0.61,1620,0,1239
SYD,LAX,289,summer,First,PacificAir,9603,0.12,1997,1,1729
LHR,SYD,257,winter,Economy,AeroGulf,13581,0.63,852,0,809
CDG,BOM,184,summer,Economy,PacificAir,2596,0.89,409,1,234
JFK,NRT,260,spring,Business,PacificAir,11705,0.34,1720,0,2067
CDG,JFK,150,winter,Business,AeroGulf,858,0.22,1683,0,375
LAX,JFK,205,spring,First,PacificAir,6453,0.89,1561,1,1272
CDG,JFK,172,spring,Economy,AeroGulf,1576,0.69,1484,1,201
DXB,DXB,313,summer,First,PacificAir,7736,0.11,255,1,2704
CDG,JFK,222,summer,First,EuroWings,6171,0.41,1736,1,2268
JFK,LHR,168,summer,First,AsiaJet,6315,0.67,1061,1,519
SIN,BOM,244,winter,First,EuroWings,6264,0.57,465,0,340
SIN,FRA,218,summer,Business,SkyMind,10795,0.62,1204,1,1991
LAX,FRA,56,winter,First,SkyMind,5474,0.57,1763,0,394
BOM,CDG,63,spring,Economy,PacificAir,4027,0.8,1794,1,1627
SYD,NRT,103,spring,Business,SkyMind,2802,0.32,1360,0,528
NRT,DXB,167,summer,Business,SkyMind,12792,0.71,1520,1,2437
FRA,LHR,7,autumn,First,PacificAir,10296,0.99,1182,1,4006
SIN,LHR,142,spring,Business,PacificAir,1575,0.39,1360,0,230
JFK,SYD,125,autumn,Business,AsiaJet,4548,0.79,1633,1,971
DXB,SYD,90,autumn,Business,AeroGulf,828,0.25,437,1,371
LAX,CDG,311,autumn,Business,PacificAir,11924,0.28,571,0,4277
BOM,BOM,216,summer,Business,AsiaJet,3977,0.93,1538,0,1490
DXB,SIN,123,winter,Business,EuroWings,7624,0.03,388,0,505
LHR,LAX,186,spring,Economy,SkyMind,1502,0.22,473,0,184
DXB,BOM,153,autumn,Business,AeroGulf,13570,0.48,1432,0,933
DXB,JFK,249,winter,Business,EuroWings,9268,0.4,1730,0,600
LAX,JFK,114,summer,First,PacificAir,9018,0.63,1245,0,3327
NRT,LAX,96,spring,Business,EuroWings,6886,0.19,446,0,1338
JFK,LAX,198,winter,Business,AsiaJet,10219,0.07,732,1,3717
LHR,NRT,336,summer,First,PacificAir,3321,0.37,135,0,707
BOM,FRA,3,spring,Economy,PacificAir,10157,0.52,824,1,1925
BOM,DXB,149,spring,Economy,AeroGulf,11917,0.56,1576,1,2287
CDG,JFK,111,summer,Business,AsiaJet,10973,0.6,558,0,811
LHR,NRT,20,autumn,Economy,SkyMind,13439,0.55,1349,1,4976
DXB,SIN,203,spring,Economy,EuroWings,2880,0.25,990,1,619
CDG,SIN,182,spring,Economy,AeroGulf,9186,0.76,901,1,3441
DXB,DXB,331,autumn,Economy,AeroGulf,9830,0.09,1500,1,545
CDG,CDG,227,winter,Business,PacificAir,2916,0.2,1696,1,541
FRA,FRA,292,spring,Business,EuroWings,10048,0.74,1311,1,599
LHR,SIN,358,winter,First,AeroGulf,9845,0.28,1875,0,568
SYD,DXB,76,autumn,Business,PacificAir,3749,0.49,1126,1,1501
FRA,FRA,317,spring,Business,PacificAir,2642,0.33,105,1,538
LHR,CDG,316,autumn,Economy,AsiaJet,3888,0.51,1527,1,264
LHR,NRT,223,spring,Economy,PacificAir,9816,0.35,1895,0,3537
CDG,NRT,36,spring,Business,SkyMind,5815,0.99,712,1,1333
SIN,LHR,324,spring,Business,AsiaJet,9493,0.36,408,0,1757
CDG,DXB,300,autumn,Economy,AsiaJet,10734,0.63,458,0,579
BOM,SYD,333,spring,Business,SkyMind,707,0.89,1962,1,80
FRA,NRT,90,winter,Business,SkyMind,11346,0.64,1057,1,815
JFK,JFK,29,summer,Economy,AeroGulf,9164,0.57,607,0,754
NRT,CDG,176,summer,Economy,AeroGulf,2138,0.57,564,0,492
NRT,JFK,220,summer,First,SkyMind,5627,0.5,1801,1,421
FRA,CDG,136,winter,Business,AeroGulf,8827,0.81,775,0,657
LAX,CDG,352,spring,Economy,SkyMind,4856,0.05,901,0,291
SYD,LAX,175,autumn,Economy,SkyMind,9862,0.89,617,0,1961
LAX,BOM,126,autumn,Business,PacificAir,9149,0.59,1098,1,3406
BOM,DXB,171,spring,Business,AeroGulf,6524,0.85,483,1,2492
JFK,SYD,266,winter,Economy,AsiaJet,8105,0.01,1061,1,1382
LHR,LAX,134,summer,Business,AsiaJet,1936,0.87,589,1,858
JFK,LHR,272,winter,First,AeroGulf,12263,0.12,638,1,2115
CDG,LAX,26,winter,Economy,AeroGulf,6875,0.72,650,0,587
FRA,CDG,277,autumn,Economy,AeroGulf,10840,0.42,1612,1,3935
SIN,JFK,100,spring,Business,AeroGulf,12934,0.68,1430,0,2514
DXB,BOM,362,autumn,Economy,PacificAir,13504,0.63,1398,1,2382
FRA,SYD,30,summer,Business,SkyMind,9198,0.16,707,0,614
FRA,BOM,133,summer,First,AeroGulf,11297,0.51,1979,0,2204
LAX,BOM,351,autumn,First,AeroGulf,6747,0.28,261,1,2400
CDG,SYD,139,spring,First,SkyMind,11075,0.56,700,1,691
DXB,DXB,191,spring,Economy,SkyMind,9137,0.74,1370,0,1764
JFK,FRA,187,winter,First,SkyMind,3281,0.08,1659,1,148
DXB,FRA,140,winter,Business,EuroWings,943,0.52,764,0,224
LAX,FRA,320,autumn,Business,AsiaJet,617,0.62,943,0,291
SIN,BOM,237,summer,First,AeroGulf,10232,0.3,961,0,3808
LHR,NRT,297,spring,First,PacificAir,13716,0.95,342,1,826
SIN,LHR,200,autumn,Business,PacificAir,11462,0.52,1833,0,2096
LHR,LHR,284,autumn,First,SkyMind,1066,0.18,129,0,80
CDG,LHR,80,summer,First,PacificAir,4102,0.11,580,1,244
CDG,LAX,259,winter,First,AsiaJet,2436,0.54,1842,0,1020
SYD,NRT,101,summer,Business,AeroGulf,4683,0.38,320,0,336
LAX,JFK,32,winter,Business,PacificAir,8426,0.19,1689,0,1549
LAX,CDG,277,winter,First,AsiaJet,10344,0.03,470,1,3806
SIN,LAX,121,spring,Business,AsiaJet,5071,0.57,1201,1,1055
LAX,LAX,55,spring,First,EuroWings,6301,0.6,219,1,580
BOM,LAX,18,winter,First,EuroWings,4890,0.14,1916,0,1755
DXB,FRA,309,winter,First,PacificAir,5315,0.6,1872,1,957
SYD,SIN,121,spring,Economy,AsiaJet,6000,0.95,609,1,1218
SYD,NRT,110,winter,Economy,SkyMind,13782,0.98,1896,1,1072
FRA,DXB,331,winter,First,EuroWings,5902,0.89,613,1,1148
SIN,FRA,61,winter,Economy,AsiaJet,7487,0.81,1490,0,621
SYD,CDG,264,summer,First,EuroWings,5281,0.21,1203,1,316
FRA,LHR,268,autumn,Economy,AeroGulf,3186,0.16,1482,0,187
FRA,SYD,297,winter,First,AsiaJet,1703,0.44,290,0,80
NRT,SIN,127,spring,Economy,AsiaJet,5556,0.62,1759,1,2087
NRT,SIN,137,winter,Business,AeroGulf,13722,0.85,1817,1,2667
NRT,LAX,78,winter,Business,EuroWings,11629,0.23,1759,1,2103
CDG,DXB,207,spring,Economy,AeroGulf,7557,0.48,1140,0,2787
SYD,CDG,184,spring,First,PacificAir,9097,0.65,130,0,577
NRT,LHR,89,winter,Economy,SkyMind,12599,0.45,996,0,850
LAX,CDG,320,autumn,Economy,EuroWings,6213,0.45,1257,1,361
LAX,SYD,229,spring,Business,AsiaJet,5683,0.23,1346,1,305
SYD,JFK,64,spring,Business,PacificAir,4714,0.99,1193,0,1981
FRA,SIN,326,summer,Business,EuroWings,4579,0.48,1927,0,881
JFK,LHR,55,winter,Economy,SkyMind,812,0.53,491,1,135
SIN,SYD,293,summer,Business,AsiaJet,8854,0.22,1216,1,533
SIN,LAX,281,summer,Business,AeroGulf,2028,0.51,1196,0,159
SYD,NRT,279,autumn,Business,SkyMind,13080,0.26,1261,0,2282
LHR,NRT,188,winter,First,EuroWings,13477,0.2,123,0,2385
NRT,LAX,191,winter,First,AsiaJet,5996,0.28,546,1,2262
SIN,BOM,273,summer,Economy,EuroWings,10257,0.0,267,1,1793
FRA,DXB,95,spring,Business,SkyMind,5268,0.57,869,0,1137
LAX,LHR,90,spring,Economy,AsiaJet,8067,0.39,1399,1,504
DXB,SYD,247,winter,Economy,SkyMind,898,0.9,388,0,281
FRA,JFK,75,autumn,Business,EuroWings,7130,0.04,1137,0,421
JFK,CDG,62,autumn,Economy,AsiaJet,12278,0.04,1603,0,4421
CDG,DXB,222,winter,Business,AsiaJet,1547,0.89,537,0,290
SIN,BOM,267,spring,Business,AsiaJet,2442,0.13,154,0,826
JFK,LHR,121,autumn,First,EuroWings,11822,0.0,1416,0,2157
CDG,DXB,312,winter,Economy,PacificAir,11488,0.18,827,0,4171
JFK,LHR,309,winter,Economy,EuroWings,739,0.82,1484,1,249
SYD,BOM,341,spring,Business,AeroGulf,11050,0.8,183,0,1950
DXB,FRA,28,summer,First,PacificAir,6964,0.34,468,1,1316
LAX,NRT,342,spring,First,EuroWings,1171,0.67,1284,0,123
FRA,LAX,302,autumn,Economy,AeroGulf,3119,0.51,995,0,577
LHR,JFK,274,summer,First,SkyMind,8419,0.9,405,0,549
SIN,BOM,23,spring,Economy,AeroGulf,2961,0.06,1599,0,1130
CDG,SIN,99,autumn,Economy,AsiaJet,12085,0.81,1582,0,4514
CDG,SYD,285,autumn,First,PacificAir,9093,0.17,1863,0,1603
BOM,FRA,308,summer,Business,EuroWings,2606,0.39,1719,1,210
BOM,FRA,110,spring,Economy,EuroWings,4648,0.19,809,0,337
SIN,BOM,203,spring,Economy,AsiaJet,1587,0.7,299,0,648
CDG,JFK,106,autumn,Economy,PacificAir,7276,0.68,434,1,563
LAX,JFK,46,winter,Economy,PacificAir,9834,0.55,1465,1,1868
SYD,DXB,257,winter,First,AsiaJet,4881,0.7,278,1,976
BOM,BOM,144,summer,First,PacificAir,10757,0.64,549,0,3970
BOM,LHR,25,spring,First,AsiaJet,5624,0.78,1824,0,516
LHR,SYD,62,winter,First,AeroGulf,12600,0.24,1279,1,2263
SYD,SYD,230,summer,Economy,AsiaJet,8059,0.43,839,1,1517
JFK,SYD,82,autumn,Business,EuroWings,12947,0.15,967,0,2339
SYD,SIN,336,winter,Business,SkyMind,12651,0.43,1295,1,668
LHR,SYD,211,spring,First,AeroGulf,641,0.7,1077,0,259
DXB,FRA,197,autumn,Economy,EuroWings,896,0.69,1519,1,406
LAX,BOM,347,spring,First,AeroGulf,5637,0.71,1334,0,1014
FRA,LAX,198,autumn,Business,EuroWings,11319,0.31,1692,0,4105
FRA,SYD,162,spring,First,PacificAir,7781,0.66,765,1,1491
DXB,CDG,208,summer,Economy,AsiaJet,13321,0.37,124,0,2371
DXB,NRT,309,spring,Economy,EuroWings,2055,0.94,575,1,122
JFK,FRA,44,spring,Economy,EuroWings,7554,0.34,882,0,1508
DXB,FRA,288,autumn,First,PacificAir,6394,0.6,301,1,1240
