origin,destination,distance_km,avg_passengers,avg_revenue_usd,avg_delay_min,fuel_cost_usd,competition_score,demand_score,profitability_score
FRA,CDG,11123,299,43687,109,71064,0.48,0.31,0.0
BOM,FRA,746,264,208325,65,60204,0.8,0.7,0.2312
FRA,DXB,1919,352,12865,49,91375,0.98,0.13,0.0
JFK,LAX,9218,333,350238,81,21701,0.7,0.52,0.5761
NRT,SIN,1412,428,489390,6,25248,0.69,0.86,0.9223
DXB,DXB,7868,105,204642,119,77402,0.07,0.5,0.1355
SYD,FRA,7725,340,76725,28,28973,0.15,0.95,0.0675
LHR,CDG,7826,119,487497,108,88244,0.02,0.37,0.6905
SIN,SYD,1441,215,388625,48,36341,0.52,0.96,0.6566
LAX,JFK,13130,106,499245,33,95111,0.51,0.04,0.7753
LHR,NRT,3160,89,479681,71,21286,0.47,0.83,0.8458
LAX,SIN,3106,69,239452,33,54208,0.34,0.67,0.3375
DXB,LAX,12157,142,24328,16,61716,0.35,0.18,0.0
FRA,LHR,2606,236,215200,18,24797,0.99,0.08,0.3628
JFK,FRA,5447,50,125691,50,34722,0.09,0.07,0.1319
DXB,LAX,2114,427,137625,29,82742,0.71,0.68,0.0808
LHR,JFK,11337,151,184335,76,11314,0.95,0.38,0.27
LAX,LAX,3119,216,289053,115,59445,0.62,0.93,0.3442
BOM,JFK,6045,258,468483,113,26779,0.81,0.33,0.7704
SYD,NRT,8274,383,332960,82,94285,0.17,0.91,0.3954
LHR,LHR,12613,135,15915,26,10127,0.33,0.95,0.0
NRT,CDG,10107,344,354822,66,69615,0.26,0.55,0.5044
JFK,CDG,7240,163,88719,114,59718,0.74,0.43,0.0
LAX,BOM,7763,238,234397,95,66716,0.8,0.41,0.2404
DXB,DXB,6301,54,221784,64,94708,0.99,0.26,0.1902
SYD,DXB,10795,461,200016,34,50259,0.58,0.22,0.2655
JFK,LHR,8562,57,83063,27,62384,0.61,0.14,0.0144
JFK,LHR,2168,449,332607,12,7707,0.73,0.58,0.6378
LAX,BOM,4505,270,453354,68,44971,0.93,0.92,0.7488
DXB,LAX,8990,412,85604,104,59892,0.82,0.22,0.0
LAX,LHR,586,391,325201,98,51786,0.46,0.38,0.4488
CDG,SYD,12940,270,12216,66,86630,0.85,0.75,0.0
SYD,DXB,2386,244,13222,49,86502,0.36,0.13,0.0
BOM,NRT,11048,255,233334,74,26418,0.31,0.68,0.3398
SYD,SYD,2131,105,337776,15,50094,0.71,0.37,0.5604
LHR,SYD,3948,319,351662,57,69491,0.74,0.53,0.5073
SYD,SIN,8297,78,349132,2,98198,0.64,0.26,0.4999
FRA,CDG,2721,229,394563,10,69177,0.72,0.88,0.6408
DXB,BOM,9856,482,464387,89,87022,0.79,0.42,0.6657
SYD,LHR,4257,151,444980,20,29881,0.57,0.92,0.8102
BOM,LHR,6808,236,18417,11,40433,0.1,0.23,0.0
CDG,LHR,12902,302,394711,79,99795,0.69,0.68,0.5108
NRT,SIN,3822,487,18119,52,94431,0.78,0.11,0.0
SYD,JFK,8138,146,250439,99,70388,0.5,0.15,0.2611
DXB,LHR,12980,209,126424,14,31180,0.13,0.47,0.1765
LHR,CDG,2753,221,252233,80,97194,0.08,0.21,0.2301
SIN,NRT,5944,421,455254,20,6326,0.06,0.82,0.8779
SIN,LAX,8180,338,487593,91,91074,0.4,0.96,0.702
LAX,CDG,10959,203,151486,103,19072,0.3,0.38,0.1618
LAX,SIN,2334,355,25663,72,70982,0.73,0.77,0.0
LAX,LAX,1332,468,51375,85,8460,0.79,0.99,0.0008
BOM,SIN,3033,335,65892,15,46105,0.98,0.2,0.0246
JFK,BOM,5637,91,426991,75,34745,0.9,0.37,0.7095
CDG,DXB,10541,140,316483,56,45302,0.12,0.49,0.4864
LAX,JFK,877,165,89914,9,14367,0.72,0.7,0.1421
NRT,LAX,2171,382,101602,78,83014,0.63,0.88,0.0
BOM,DXB,12254,154,251208,69,51018,0.45,0.42,0.3314
JFK,LAX,2887,311,382658,59,43215,0.24,0.66,0.6199
LHR,SIN,7215,370,255723,105,83666,0.84,0.76,0.2391
BOM,LAX,9111,397,287369,43,80925,0.78,0.35,0.3699
JFK,CDG,3173,230,261927,99,61065,0.02,0.92,0.3027
NRT,JFK,4108,168,339571,4,51079,0.27,0.48,0.573
SIN,BOM,1265,319,40622,35,28716,0.69,0.38,0.0
LHR,CDG,3248,52,33383,102,51710,0.89,0.42,0.0
DXB,BOM,9925,277,249579,62,27253,0.11,0.43,0.3827
FRA,SIN,8443,100,143861,5,15359,0.32,0.3,0.252
LAX,SYD,9256,121,236382,86,14602,0.45,0.65,0.3576
SYD,LAX,11469,465,273671,118,28116,0.92,0.93,0.3731
LAX,NRT,13915,184,322239,72,34859,0.03,0.47,0.5028
DXB,JFK,12608,78,317870,16,69848,0.46,0.6,0.48
LAX,DXB,12962,283,226184,19,60332,0.65,0.5,0.3127
LAX,LHR,7475,376,130090,35,65993,0.55,0.84,0.0932
LHR,SIN,12730,489,232229,25,55857,0.15,0.23,0.3277
FRA,BOM,9211,491,367364,36,48470,0.84,0.48,0.6018
NRT,SIN,6804,451,321890,4,82585,0.65,0.55,0.4746
BOM,LAX,853,241,425569,12,99496,0.59,0.57,0.6401
NRT,JFK,7554,358,152897,72,97395,0.98,0.89,0.039
SYD,JFK,2564,415,308355,48,99756,0.59,0.93,0.3692
LAX,JFK,4399,393,94115,43,86772,0.05,0.64,0.0
LAX,SIN,13420,186,498907,2,58221,0.39,0.78,0.8794
FRA,CDG,7669,115,323875,86,90265,0.79,0.55,0.3812
CDG,NRT,4101,218,102161,95,55688,0.35,0.37,0.0
JFK,SYD,10005,76,406097,10,64318,0.08,0.94,0.6736
BOM,FRA,4526,113,284211,105,16850,0.09,0.48,0.4297
SIN,SYD,12287,299,119941,102,43395,0.48,0.88,0.0511
SYD,NRT,2127,203,340553,33,19397,0.08,0.13,0.6093
SIN,BOM,4435,139,365864,66,40990,0.46,0.66,0.5837
FRA,NRT,7092,417,98417,81,26056,0.61,0.7,0.0637
LAX,FRA,12911,286,14383,76,33877,0.04,0.77,0.0
BOM,BOM,8989,280,232014,56,52158,0.33,0.86,0.3037
NRT,LHR,12023,244,221553,5,60077,0.14,0.1,0.318
CDG,DXB,10680,86,43304,28,56520,0.23,0.41,0.0
LHR,JFK,7589,460,428322,72,95638,0.26,0.31,0.5934
SIN,FRA,9275,74,32193,6,84633,0.83,0.49,0.0
DXB,LAX,6122,461,31253,29,20591,0.49,0.46,0.0
DXB,NRT,11623,173,79701,2,63105,0.32,0.14,0.0312
CDG,LAX,13120,300,33707,114,51588,0.15,0.05,0.0
FRA,NRT,11877,157,25715,89,62704,0.54,0.06,0.0
NRT,BOM,2811,364,414396,20,88023,0.47,0.47,0.6327
JFK,SYD,11074,394,112442,98,26472,0.43,0.46,0.0739
FRA,SYD,1611,83,247292,103,84340,0.31,0.85,0.2229
CDG,LHR,4873,102,161985,118,93011,0.77,0.03,0.0199
SIN,JFK,7340,453,15411,12,47161,0.62,0.45,0.0
BOM,LAX,2859,68,78514,24,28485,0.91,0.19,0.0761
SIN,LHR,696,116,242554,42,42151,0.33,0.39,0.3588
SIN,SIN,1595,314,324063,52,90510,0.54,0.94,0.4151
CDG,BOM,12430,490,163081,59,84199,0.13,0.08,0.0988
FRA,LAX,8509,436,170510,87,8979,0.82,0.07,0.2361
LAX,DXB,1020,408,190811,68,8570,0.44,0.63,0.2965
CDG,SYD,2927,268,150938,38,26211,0.9,0.22,0.2115
LAX,FRA,2924,461,206314,23,13349,0.8,0.44,0.3629
CDG,NRT,5936,368,75043,91,86265,0.93,0.59,0.0
BOM,SIN,11317,178,363532,103,85682,0.62,0.53,0.4527
LAX,FRA,6141,489,304416,67,68380,0.63,0.17,0.4051
DXB,LHR,3164,330,404035,72,87708,0.1,0.49,0.5607
DXB,SIN,6373,292,348814,110,69727,0.02,0.62,0.4482
JFK,DXB,12927,482,224340,8,82257,0.23,0.98,0.2762
FRA,LAX,6326,394,440531,50,88403,0.06,0.79,0.6543
LAX,JFK,6967,487,120687,87,78149,0.91,0.26,0.0
LHR,SIN,3492,334,477431,114,50083,0.37,0.64,0.7407
SIN,SYD,9220,273,423744,108,59609,0.18,0.72,0.6203
SYD,LHR,4515,226,324504,87,25434,0.41,0.02,0.5111
SIN,DXB,10318,129,230557,28,34358,0.46,0.73,0.3644
SYD,JFK,12587,106,177004,18,57472,0.24,0.68,0.2211
CDG,NRT,9489,78,47702,110,96536,0.79,0.28,0.0
DXB,DXB,9439,328,430529,36,96233,0.11,0.41,0.6326
LAX,LHR,8860,213,60560,78,69406,0.82,0.44,0.0
DXB,SYD,7629,465,460529,4,99044,0.91,0.71,0.719
JFK,SYD,4532,176,450667,103,14290,0.14,0.09,0.7698
LHR,CDG,13668,292,108203,68,63923,0.01,0.92,0.0206
LHR,LHR,3317,148,147253,41,46477,0.61,0.01,0.1606
LAX,LHR,12527,162,402417,68,31113,0.54,0.41,0.6746
LHR,LAX,2468,296,140005,78,45737,0.43,0.06,0.1105
SIN,LAX,5976,95,106027,77,79393,0.39,0.28,0.0
LHR,DXB,2971,187,108408,54,96445,0.43,0.06,0.0
BOM,BOM,884,303,443374,83,7898,0.2,0.53,0.788
NRT,LHR,1818,138,55649,60,92482,0.41,0.9,0.0
LHR,SYD,3852,383,312608,28,16061,0.91,0.29,0.5651
JFK,FRA,5831,443,233206,82,24831,0.26,0.97,0.3348
SYD,JFK,11260,238,294693,53,84859,0.84,0.44,0.3667
LAX,SIN,5518,241,88354,62,11858,0.14,0.85,0.091
LAX,NRT,9737,161,390502,70,6412,0.52,0.66,0.6982
LHR,DXB,3443,174,468295,89,31603,0.78,0.2,0.7844
SIN,SYD,11119,208,11332,67,6509,0.21,0.58,0.0
DXB,LHR,3398,116,327110,85,86964,0.5,0.8,0.3953
LAX,LHR,4863,339,157154,105,47629,0.74,0.23,0.114
LHR,LAX,1314,244,478231,111,12934,0.18,0.56,0.8196
NRT,SYD,5578,236,120661,97,18508,0.65,0.73,0.1073
LAX,SIN,1071,397,39543,33,46242,0.53,0.16,0.0
NRT,LAX,12829,274,336358,53,20184,0.25,0.59,0.5793
DXB,JFK,9516,210,184193,55,92085,0.21,0.63,0.1292
FRA,FRA,1871,224,181740,8,37126,1.0,0.13,0.2812
BOM,LHR,13392,139,393787,84,41844,0.47,0.55,0.6199
LAX,CDG,9344,263,178196,44,64444,0.77,0.46,0.1835
JFK,FRA,13417,182,476047,69,38919,0.69,0.57,0.8053
SIN,FRA,8195,147,392562,32,96054,0.55,0.7,0.561
DXB,CDG,1616,92,39337,99,79905,0.97,0.65,0.0
JFK,CDG,9180,385,123513,14,68468,0.14,0.54,0.0961
CDG,NRT,6966,342,295197,18,26734,0.94,0.53,0.5189
LHR,DXB,1375,252,469589,71,30511,0.57,0.79,0.8072
BOM,CDG,3398,92,93407,81,76209,0.99,0.86,0.0
DXB,JFK,1076,359,346012,46,78193,0.36,0.6,0.4896
NRT,SIN,9672,116,64226,7,39339,0.12,0.31,0.0428
CDG,CDG,8285,212,121880,5,87519,0.22,0.0,0.0637
SYD,JFK,2667,75,304828,102,39774,0.38,0.59,0.4281
SIN,FRA,934,66,225257,62,81903,0.77,0.91,0.2247
FRA,SIN,5191,128,297290,111,75523,0.23,0.44,0.3325
JFK,FRA,11514,462,112694,78,34785,0.94,0.59,0.0778
SYD,LAX,10425,68,441239,46,23974,0.38,0.88,0.7885
BOM,CDG,12412,403,494344,32,64540,0.59,0.57,0.8276
JFK,LAX,11187,230,264530,43,27563,0.07,0.45,0.4309
LHR,DXB,7228,366,261527,61,91186,0.53,0.3,0.2797
LAX,JFK,9135,366,61406,5,6145,0.77,0.09,0.1055
JFK,LHR,9815,176,213284,80,20642,0.65,0.36,0.3053
LAX,LHR,1224,218,28659,38,63380,0.66,0.87,0.0
SIN,FRA,7372,273,434987,9,47070,0.59,0.08,0.7668
JFK,CDG,12328,311,192801,72,77214,1.0,0.15,0.1592
LHR,LAX,4781,170,338097,97,53783,0.4,0.04,0.4716
LAX,LHR,6553,145,331289,66,92212,0.49,0.49,0.4122
SYD,DXB,2952,109,479067,22,70227,0.46,0.66,0.7957
BOM,BOM,761,337,196629,91,41905,0.26,0.93,0.2184
CDG,SYD,3033,280,137090,20,73968,0.38,0.93,0.1062
SIN,SYD,7985,312,11098,64,39266,0.53,0.98,0.0
LHR,DXB,12007,287,223501,4,18898,0.64,0.97,0.4052
CDG,DXB,11467,351,231202,94,56097,0.36,0.7,0.2562
JFK,DXB,9663,309,330235,50,82876,0.43,0.56,0.4447
BOM,JFK,1078,218,182591,23,29325,0.55,0.65,0.2835
JFK,JFK,6959,50,96209,101,54759,0.95,0.04,0.0
FRA,FRA,13298,432,482391,47,68444,0.58,0.39,0.7809
NRT,SYD,11301,325,427742,56,41030,0.46,0.4,0.7174
BOM,LAX,4006,295,225296,97,15779,0.4,0.54,0.322
JFK,LAX,11629,332,84786,73,36586,1.0,0.34,0.0234
DXB,BOM,7322,368,80357,13,84096,1.0,0.32,0.0
JFK,SYD,5334,341,421125,104,19643,0.91,0.95,0.699
NRT,LAX,3120,454,112831,81,96557,0.11,0.26,0.0
LHR,SIN,5048,262,466134,99,34248,0.3,0.43,0.7648
CDG,BOM,8184,121,19878,34,44687,0.58,0.3,0.0
BOM,SYD,13621,142,267331,70,69485,0.73,0.41,0.3257
BOM,NRT,674,486,291243,25,43522,0.86,0.3,0.4704
CDG,CDG,1280,220,225073,40,18585,0.46,0.75,0.373
LHR,FRA,7410,55,352376,56,76507,0.91,0.64,0.4957
SIN,DXB,9175,415,437021,91,92100,0.91,0.8,0.5988
DXB,DXB,9043,267,92666,19,60509,0.09,0.46,0.0453
DXB,JFK,12938,160,470157,69,6517,0.98,0.93,0.8583
CDG,JFK,3580,378,219976,72,50526,0.94,0.18,0.2669
CDG,LHR,6794,135,421297,87,49614,0.49,0.72,0.6564
DXB,BOM,7880,74,304128,47,19468,0.24,0.48,0.5223
JFK,NRT,8268,249,178749,78,66535,0.32,0.12,0.1464
LAX,LAX,7701,191,242768,110,27079,0.2,0.56,0.3214
LHR,CDG,13254,372,173895,57,22260,0.92,0.99,0.2463
LAX,BOM,3086,125,69332,32,77634,0.64,0.74,0.0
DXB,NRT,9689,203,200347,8,6873,0.36,0.04,0.3789
LHR,SIN,8057,456,125834,43,78619,0.25,0.78,0.0514
BOM,LHR,1254,268,392777,114,35976,0.05,0.05,0.5996
DXB,DXB,4984,110,40327,59,52242,0.47,0.5,0.0
SYD,FRA,3257,384,383503,62,99826,0.23,0.07,0.5054
CDG,NRT,2168,398,281282,79,48951,0.01,0.36,0.3857
LAX,SIN,9817,396,335194,83,84735,0.28,0.8,0.4179
BOM,BOM,12009,309,280799,23,12941,0.27,0.75,0.5127
LHR,DXB,783,334,364286,76,60854,0.6,0.35,0.5309
NRT,LHR,12330,254,84956,118,23130,0.36,0.3,0.0057
SYD,LHR,10827,459,133127,46,36674,0.01,0.58,0.1469
LAX,JFK,11969,334,182787,53,22865,0.72,0.85,0.2668
JFK,LAX,6461,64,79943,81,39118,0.61,0.3,0.0006
LAX,DXB,4375,368,364253,15,6509,0.03,0.16,0.7005
BOM,LHR,12508,318,350972,82,30969,0.9,0.9,0.558
BOM,CDG,4216,206,492831,52,23325,0.55,0.38,0.887
LHR,LHR,10130,115,132819,113,87293,0.9,0.67,0.0
NRT,SYD,9412,285,299406,29,41415,0.43,0.25,0.487
LHR,LHR,12499,104,460168,42,63704,0.11,0.19,0.7509
FRA,NRT,13973,134,102956,32,37799,0.24,0.66,0.0983
JFK,FRA,4304,476,327189,40,32904,0.75,0.37,0.5486
LHR,SIN,11975,473,19525,6,83138,0.98,0.16,0.0
JFK,FRA,9364,219,72581,40,20085,0.23,0.11,0.065
LHR,SYD,11623,210,434511,25,54833,0.34,0.24,0.7344
DXB,CDG,2620,462,423502,69,66760,0.12,0.3,0.6445
LAX,JFK,6891,112,10425,84,14257,0.1,0.47,0.0
BOM,SIN,11529,82,198828,45,47782,0.64,0.85,0.2571
DXB,DXB,8354,443,410831,21,27875,0.45,0.62,0.7449
DXB,FRA,7191,288,472255,90,71916,0.64,0.1,0.7107
CDG,BOM,7453,186,76882,16,18206,0.54,0.79,0.1014
NRT,FRA,2643,484,405554,43,24965,0.46,0.01,0.7182
JFK,SYD,4505,83,432135,41,12714,0.87,0.3,0.7978
LAX,FRA,5927,247,336055,104,94792,0.22,0.53,0.3785
LAX,SYD,3381,442,232027,115,79405,0.86,0.73,0.1902
DXB,LAX,1711,118,383087,67,98656,0.91,0.11,0.5019
NRT,LHR,5323,181,496131,33,32156,0.02,0.12,0.895
NRT,LAX,2507,110,344846,94,9157,0.56,0.95,0.5774
BOM,CDG,8467,409,425652,51,23855,0.62,0.82,0.7526
DXB,DXB,11856,274,74560,72,93008,0.87,0.11,0.0
DXB,SYD,6857,335,247359,49,66620,0.69,0.63,0.3125
BOM,FRA,7899,173,390697,99,70995,0.93,0.95,0.5404
LAX,SIN,4428,132,34782,51,19156,0.24,0.76,0.0
NRT,LAX,10102,95,106597,1,86212,0.6,0.19,0.0398
SYD,LHR,6438,201,54592,67,75266,0.85,0.95,0.0
CDG,NRT,4678,435,40084,62,38591,0.54,0.98,0.0
SYD,LAX,4078,430,282131,72,51967,0.21,0.64,0.3883
FRA,DXB,10840,220,46508,56,69682,0.82,0.74,0.0
BOM,JFK,9069,295,450138,4,33921,0.6,0.29,0.8284
JFK,SYD,2152,73,258770,2,11536,0.59,0.74,0.4925
BOM,LHR,2212,293,167394,108,79287,0.79,0.31,0.0682
SIN,JFK,11554,118,271678,117,92154,0.18,0.05,0.242
LAX,DXB,10571,425,182225,47,17674,0.97,0.71,0.2821
NRT,CDG,6800,217,479962,25,77046,0.77,0.45,0.7808
CDG,BOM,13289,168,58844,20,93382,0.54,0.05,0.0
JFK,LHR,9942,274,483287,46,12396,0.63,0.11,0.8958
SYD,LAX,3320,488,117887,73,36077,0.23,0.24,0.0906
SYD,NRT,12588,476,302769,36,54496,0.01,0.18,0.4605
DXB,DXB,12751,367,147831,50,19328,0.68,0.84,0.207
JFK,DXB,12804,220,266161,38,57784,0.92,0.37,0.3788
SYD,SIN,3099,89,134532,6,50352,0.66,0.08,0.1624
SYD,BOM,7108,465,222964,109,59587,0.37,0.49,0.2178
DXB,CDG,3233,272,137358,65,55030,0.82,0.17,0.0997
CDG,CDG,9580,334,145631,40,79158,0.1,0.14,0.0929
SYD,DXB,5441,243,348240,69,15170,0.98,0.52,0.5971
LHR,NRT,7510,156,97959,10,46552,0.44,0.22,0.0928
JFK,DXB,7513,269,192561,29,92144,0.81,0.23,0.1718
SIN,NRT,10543,249,214164,61,86024,0.9,0.54,0.1953
LHR,CDG,5308,298,356189,109,94794,0.4,0.99,0.4138
BOM,LHR,10205,243,266391,47,64448,0.83,0.99,0.3569
JFK,DXB,12013,180,384405,28,92951,0.38,1.0,0.5549
NRT,CDG,7095,395,141123,52,6324,0.24,0.06,0.2176
LHR,CDG,11297,236,480897,80,82050,0.82,0.88,0.7177
NRT,LHR,4309,143,489670,27,86007,0.21,0.56,0.7803
FRA,FRA,2549,77,118623,115,11332,0.32,0.9,0.0996
DXB,CDG,12744,261,52841,13,23550,0.46,0.88,0.0456
LHR,DXB,12216,431,185270,5,99029,0.4,0.66,0.1675
LAX,SIN,9429,282,243895,2,29453,0.3,0.11,0.4269
FRA,DXB,3288,182,132423,94,27397,0.12,0.95,0.1161
SYD,FRA,11846,67,440520,106,61754,0.28,0.74,0.6515
DXB,LHR,879,190,491559,64,16708,0.51,0.6,0.8857
DXB,DXB,2114,461,183349,54,98201,0.04,0.59,0.1163
JFK,LAX,5626,53,368806,43,32302,0.24,0.73,0.63
BOM,DXB,2415,305,221373,76,66838,0.56,0.6,0.2331
SYD,NRT,7845,353,234081,74,39524,0.54,0.31,0.3151
DXB,SYD,9563,373,287978,80,15427,0.89,0.62,0.4651
DXB,NRT,11018,77,245078,70,22349,0.31,0.99,0.3755
NRT,SIN,3784,296,478948,14,28943,0.29,0.58,0.886
LHR,LHR,3405,221,47389,105,8118,0.38,0.24,0.0
CDG,CDG,805,87,327890,32,75349,0.72,0.62,0.4731
JFK,BOM,7696,379,143731,46,19293,0.18,0.97,0.2029
CDG,FRA,11588,181,317422,73,41737,0.13,0.85,0.4784
SYD,DXB,1575,269,168901,99,78166,0.27,0.22,0.0825
CDG,BOM,5182,209,52689,81,74785,0.58,0.54,0.0
SIN,BOM,10044,52,138588,88,29741,0.03,0.24,0.1297
JFK,CDG,4446,475,436451,1,66444,0.82,0.63,0.739
LAX,JFK,9372,81,86122,31,64958,0.33,0.38,0.0113
JFK,JFK,11587,372,498588,95,71521,0.19,0.3,0.7591
CDG,SYD,12664,78,220949,109,52753,0.83,0.27,0.2274
NRT,LAX,8235,233,186707,53,40646,0.95,0.32,0.2391
NRT,JFK,913,132,53485,67,98394,0.02,0.82,0.0
SIN,LAX,11953,286,488216,12,94119,0.68,0.84,0.7762
CDG,FRA,2484,448,256819,45,83903,0.36,0.88,0.3008
SIN,SYD,5445,248,465593,26,75037,0.58,0.09,0.7551
CDG,LHR,12866,424,368919,81,69379,0.58,0.15,0.5181
FRA,NRT,12581,167,254023,13,17687,0.95,0.17,0.4597
BOM,BOM,7333,349,324013,89,75433,0.75,0.52,0.4082
LHR,SYD,12591,298,310377,118,62920,0.46,0.25,0.3769
LAX,SYD,4419,434,35995,11,16756,0.76,0.76,0.0275
DXB,DXB,4523,297,235425,29,31159,0.4,0.91,0.3795
SIN,DXB,10940,89,174236,113,10889,0.03,0.81,0.2137
CDG,SYD,13667,210,146997,119,16110,0.19,0.41,0.1428
DXB,SIN,1239,421,173031,15,17133,0.33,0.46,0.2968
SYD,SYD,12627,70,407806,74,29138,0.44,0.04,0.6833
CDG,FRA,12882,68,28380,39,40609,0.25,0.1,0.0
JFK,JFK,1664,255,63778,32,75917,0.7,0.64,0.0
CDG,SIN,9247,369,300191,15,37732,0.01,0.13,0.5099
LHR,SYD,2749,137,189728,88,66670,0.76,0.65,0.1581
NRT,SYD,6872,195,270862,68,65445,0.66,0.29,0.3428
NRT,BOM,10349,52,71123,114,67935,0.49,0.91,0.0
DXB,SIN,796,52,376798,19,21434,0.89,0.52,0.6917
DXB,BOM,8786,385,257793,117,16852,0.03,0.45,0.3649
BOM,SYD,3810,292,372074,82,77283,0.05,0.2,0.5076
JFK,JFK,6833,400,88858,46,24055,0.25,0.94,0.0836
JFK,BOM,2079,211,201227,105,19319,0.41,0.84,0.2588
NRT,FRA,2837,59,467029,35,10246,0.74,0.37,0.8786
JFK,FRA,10027,303,228021,28,79254,0.97,0.57,0.2695
BOM,DXB,13834,123,130645,87,37005,0.11,0.5,0.1003
SYD,JFK,11859,495,198351,42,17485,0.8,0.94,0.3197
NRT,FRA,13465,167,74758,118,77001,0.06,0.91,0.0
CDG,LHR,8455,172,232914,15,30393,0.8,0.13,0.39
LHR,SYD,9845,114,431127,98,87203,0.33,0.92,0.5898
SYD,CDG,9879,487,488074,26,62793,0.93,0.2,0.8246
JFK,DXB,9656,75,141264,29,55340,0.52,0.92,0.1428
FRA,LAX,13675,298,413932,18,52234,0.63,0.91,0.7054
CDG,LAX,7555,295,485889,6,38732,0.78,0.17,0.8883
SIN,LHR,6605,421,376925,26,84077,0.78,0.67,0.5597
LAX,CDG,8930,198,69247,78,52435,0.34,0.29,0.0
NRT,LAX,13059,149,428071,15,97319,0.34,0.17,0.6465
CDG,LHR,4374,301,317643,66,89706,0.88,0.68,0.3899
BOM,JFK,2120,285,275109,26,62028,0.53,0.69,0.4002
CDG,JFK,3478,456,77561,3,16255,0.0,0.33,0.1196
LHR,SIN,829,339,235342,23,45008,0.51,0.61,0.3577
DXB,BOM,10926,96,95762,28,94771,0.6,0.27,0.0
SYD,BOM,12249,481,431254,83,98222,0.15,0.69,0.5831
CDG,NRT,9218,406,419178,25,79012,0.81,0.76,0.6553
LHR,NRT,8306,132,143701,71,54892,0.16,0.39,0.1066
LAX,BOM,7983,383,440024,85,32214,0.33,0.28,0.7306
NRT,BOM,1480,145,125735,108,65285,0.07,0.15,0.0129
LAX,LHR,3450,195,416311,64,85914,0.86,0.98,0.5968
JFK,SIN,13977,435,421918,2,51443,0.71,0.69,0.739
SIN,BOM,6271,384,463128,62,86729,0.67,0.29,0.6908
JFK,SYD,4517,142,41808,28,17925,0.67,0.22,0.0198
DXB,SIN,5983,399,323500,11,73589,0.78,0.77,0.4888
LHR,JFK,11935,154,365003,12,52995,0.97,0.71,0.612
BOM,NRT,2765,402,429625,41,33114,0.68,0.34,0.752
NRT,CDG,6590,248,104738,113,33672,0.62,0.77,0.0291
BOM,SYD,2700,136,66728,12,23145,0.58,0.55,0.0752
LHR,SIN,13833,274,173737,112,9205,0.06,0.67,0.2171
CDG,SYD,2541,395,53472,70,6886,0.83,0.0,0.0232
CDG,DXB,11105,123,236074,20,90381,0.81,0.1,0.2714
BOM,DXB,13703,419,128489,51,35784,0.98,0.89,0.1344
