origin,season,budget_usd,trip_type,duration_days,past_destinations,recommended_dest
LAX,spring,2638,business,14,1,CDG
NRT,winter,1968,family,5,13,SIN
CDG,winter,6670,business,15,3,NRT
SIN,spring,515,leisure,13,14,BOM
LHR,summer,1923,business,29,9,SIN
SYD,summer,5718,leisure,13,13,NRT
CDG,summer,6881,leisure,2,18,NRT
NRT,autumn,4145,family,7,3,LHR
SIN,spring,3457,leisure,1,8,LHR
FRA,winter,5978,leisure,21,12,NRT
CDG,autumn,3708,business,10,9,LHR
SIN,winter,6339,leisure,20,11,NRT
BOM,winter,7476,business,20,3,NRT
NRT,spring,922,leisure,2,18,BOM
BOM,winter,6765,leisure,2,14,NRT
CDG,winter,5373,family,6,11,NRT
CDG,summer,319,family,12,2,DXB
JFK,winter,4910,business,28,16,LHR
LAX,summer,2521,leisure,21,17,CDG
NRT,summer,5832,leisure,6,15,NRT
SYD,winter,2189,leisure,7,8,CDG
BOM,summer,4017,family,23,16,LHR
SYD,autumn,859,leisure,17,15,BOM
SIN,winter,1984,leisure,9,13,SIN
LAX,autumn,2406,leisure,8,2,CDG
JFK,autumn,5940,business,27,6,NRT
JFK,winter,6105,family,8,15,NRT
FRA,spring,1341,leisure,20,19,SIN
CDG,autumn,344,leisure,17,12,BOM
SYD,spring,2535,leisure,22,10,CDG
SYD,autumn,4998,family,23,12,LHR
LAX,spring,1473,business,25,15,SIN
CDG,autumn,2047,leisure,13,18,CDG
FRA,spring,1976,leisure,29,5,SIN
DXB,summer,4128,business,18,15,LHR
LHR,summer,6001,leisure,14,9,NRT
SIN,summer,4373,business,21,4,LHR
SYD,summer,1548,family,4,17,SIN
LAX,autumn,4102,business,16,11,LHR
LAX,autumn,3214,leisure,5,10,LHR
JFK,winter,4695,business,10,7,LHR
JFK,autumn,4430,family,21,10,LHR
DXB,summer,4864,business,20,8,LHR
CDG,winter,2523,family,15,3,CDG
FRA,autumn,1281,family,15,4,SIN
FRA,autumn,2752,leisure,21,17,CDG
SYD,summer,3007,leisure,29,2,LHR
FRA,autumn,4047,family,19,10,LHR
LAX,autumn,3906,business,29,14,LHR
CDG,summer,3608,leisure,6,6,LHR
JFK,winter,2630,family,23,8,CDG
FRA,spring,7103,business,27,18,NRT
CDG,winter,6928,family,12,17,NRT
BOM,winter,3064,business,10,3,LHR
BOM,autumn,7354,business,26,13,NRT
DXB,spring,3958,family,25,19,LHR
FRA,autumn,2360,leisure,27,2,CDG
LAX,spring,1666,leisure,14,3,SIN
SIN,summer,3889,family,23,6,LHR
BOM,spring,3397,leisure,24,17,LHR
LAX,spring,598,leisure,17,15,BOM
JFK,autumn,5842,family,22,15,NRT
DXB,summer,6548,leisure,27,6,NRT
SIN,summer,4011,business,7,8,LHR
CDG,spring,3295,leisure,15,13,LHR
BOM,summer,3212,business,28,3,LHR
JFK,autumn,4451,family,21,2,LHR
JFK,summer,7742,business,11,1,NRT
LHR,winter,2270,business,11,16,CDG
LHR,summer,5961,family,3,5,NRT
CDG,spring,2216,family,1,12,CDG
DXB,autumn,1172,leisure,26,10,SIN
NRT,winter,853,leisure,18,13,BOM
DXB,summer,670,business,10,6,DXB
LAX,spring,4959,leisure,12,16,LHR
FRA,summer,7503,family,15,4,NRT
LHR,summer,836,family,15,15,DXB
LAX,summer,6838,leisure,27,12,NRT
LHR,autumn,6268,family,10,6,NRT
LHR,autumn,2818,business,27,13,CDG
LAX,winter,4296,leisure,13,4,LHR
CDG,spring,5259,leisure,18,13,NRT
DXB,summer,7774,leisure,16,1,NRT
SIN,summer,789,leisure,2,2,DXB
CDG,summer,7329,leisure,7,19,NRT
FRA,spring,7987,leisure,10,11,NRT
SIN,spring,219,leisure,6,16,BOM
FRA,summer,5848,leisure,27,2,NRT
SIN,winter,4773,family,13,2,LHR
BOM,winter,3094,family,12,8,LHR
SYD,winter,5092,leisure,12,10,NRT
CDG,autumn,5754,leisure,14,14,NRT
DXB,summer,4410,business,11,3,LHR
FRA,spring,2317,family,1,9,CDG
SIN,summer,6786,family,10,3,NRT
FRA,summer,5167,family,14,17,NRT
JFK,winter,444,family,18,17,BOM
DXB,spring,3417,business,21,15,LHR
SYD,summer,7814,family,11,2,NRT
CDG,winter,5635,leisure,18,14,NRT
LHR,winter,5494,family,10,13,NRT
LAX,spring,7847,business,19,18,NRT
SIN,spring,2971,family,17,14,CDG
NRT,summer,1984,business,29,15,SIN
LHR,winter,7240,family,27,15,NRT
NRT,spring,4531,family,2,8,LHR
JFK,summer,2980,business,2,15,CDG
BOM,spring,4748,leisure,1,16,LHR
JFK,winter,1209,leisure,25,12,SIN
LHR,spring,1707,business,24,7,SIN
JFK,autumn,1227,business,6,16,SIN
LAX,summer,6901,leisure,23,14,NRT
BOM,spring,4076,family,13,12,LHR
LHR,autumn,1702,business,9,14,SIN
JFK,summer,685,family,11,19,DXB
NRT,spring,6941,leisure,1,15,NRT
SYD,summer,4543,business,6,16,LHR
DXB,summer,1926,family,21,18,SIN
SIN,autumn,5354,leisure,4,4,NRT
FRA,spring,1754,business,28,2,SIN
NRT,winter,1856,business,17,14,SIN
FRA,autumn,7698,leisure,22,5,NRT
LAX,winter,6624,leisure,27,1,NRT
JFK,spring,1393,business,8,3,SIN
CDG,summer,2673,leisure,14,12,CDG
LAX,autumn,2184,business,25,18,CDG
JFK,summer,935,leisure,8,17,DXB
FRA,autumn,5198,leisure,18,17,NRT
JFK,summer,915,business,14,6,DXB
SYD,spring,7402,family,1,16,NRT
BOM,spring,5819,business,14,13,NRT
SIN,autumn,521,leisure,22,10,BOM
LHR,autumn,4408,leisure,23,12,LHR
SYD,summer,4649,business,29,8,LHR
CDG,winter,3993,family,16,2,LHR
DXB,winter,1007,business,15,14,SIN
LHR,winter,3894,family,8,15,LHR
SYD,autumn,1744,business,10,10,SIN
LAX,winter,1482,business,5,16,SIN
CDG,spring,3066,leisure,5,18,LHR
BOM,autumn,2850,leisure,18,4,CDG
NRT,summer,4821,family,5,8,LHR
SYD,autumn,6543,business,25,2,NRT
CDG,autumn,1264,business,6,14,SIN
LHR,winter,6311,leisure,20,13,NRT
FRA,autumn,1151,business,25,6,SIN
CDG,spring,2055,family,17,13,CDG
FRA,spring,863,business,12,5,BOM
SYD,spring,4193,business,13,1,LHR
SIN,spring,4306,family,17,1,LHR
JFK,autumn,3532,business,23,8,LHR
FRA,summer,4201,family,11,10,LHR
LAX,autumn,5887,family,14,9,NRT
CDG,autumn,2500,business,22,17,CDG
FRA,autumn,3310,leisure,8,6,LHR
LHR,summer,335,business,20,12,DXB
LAX,summer,5748,family,13,10,NRT
JFK,spring,4694,family,20,6,LHR
FRA,winter,6970,family,29,15,NRT
SIN,summer,5692,family,28,1,NRT
NRT,winter,662,family,26,19,BOM
DXB,winter,3773,family,7,8,LHR
SIN,autumn,2400,leisure,28,19,CDG
BOM,spring,2359,family,20,12,CDG
NRT,spring,7110,family,11,2,NRT
JFK,summer,4871,family,4,12,LHR
SYD,spring,368,leisure,1,2,BOM
DXB,autumn,4204,leisure,14,14,LHR
JFK,spring,6385,business,6,8,NRT
NRT,winter,641,leisure,5,15,BOM
LAX,winter,4508,leisure,19,2,LHR
NRT,summer,781,family,26,17,DXB
SIN,spring,3240,leisure,27,13,LHR
BOM,winter,5465,family,22,10,NRT
SIN,winter,3581,family,9,10,LHR
NRT,autumn,3854,business,15,17,LHR
NRT,autumn,5282,leisure,29,11,NRT
JFK,spring,4767,family,3,13,LHR
LAX,spring,1067,family,5,5,SIN
DXB,autumn,1391,family,20,9,SIN
SYD,autumn,5575,leisure,18,6,NRT
BOM,summer,2905,business,2,9,CDG
LAX,summer,5833,leisure,19,6,NRT
NRT,autumn,1614,family,11,1,SIN
FRA,summer,3308,business,17,13,LHR
NRT,winter,4507,leisure,25,1,LHR
DXB,spring,6381,business,18,9,NRT
BOM,autumn,849,family,13,19,BOM
CDG,spring,6152,business,19,1,NRT
DXB,summer,4277,business,3,3,LHR
BOM,summer,5904,leisure,23,6,NRT
NRT,summer,2821,family,28,8,CDG
NRT,summer,6378,leisure,15,3,NRT
CDG,summer,7344,business,21,8,NRT
NRT,winter,5297,family,3,15,NRT
LAX,autumn,4551,business,3,19,LHR
SYD,spring,6920,family,6,11,NRT
LAX,winter,2216,leisure,16,13,CDG
JFK,summer,3307,business,13,7,LHR
FRA,winter,6640,family,15,11,NRT
LAX,autumn,2921,family,11,16,CDG
FRA,summer,3759,business,5,1,LHR
SYD,autumn,6542,family,9,11,NRT
DXB,spring,5854,leisure,29,15,NRT
LAX,summer,6745,family,20,12,NRT
BOM,spring,2952,family,10,6,CDG
NRT,summer,5842,family,29,15,NRT
DXB,winter,2235,family,12,16,CDG
SYD,spring,4379,family,28,5,LHR
JFK,autumn,953,family,7,10,BOM
NRT,summer,4571,family,6,12,LHR
DXB,autumn,3559,family,3,5,LHR
NRT,autumn,5251,family,12,18,NRT
DXB,winter,2343,leisure,8,18,CDG
DXB,winter,6266,leisure,28,10,NRT
LHR,summer,411,business,1,9,DXB
NRT,winter,3810,leisure,10,13,LHR
SIN,summer,2224,family,15,19,CDG
JFK,summer,3339,family,7,2,LHR
LAX,winter,4024,family,9,1,LHR
DXB,spring,6428,family,7,3,NRT
NRT,autumn,2823,leisure,26,15,CDG
DXB,summer,990,business,17,1,DXB
BOM,autumn,4010,leisure,10,6,LHR
JFK,spring,5306,family,14,19,NRT
JFK,autumn,1602,family,1,19,SIN
JFK,autumn,1030,family,29,13,SIN
CDG,spring,5196,business,10,17,NRT
JFK,spring,1037,family,6,12,SIN
SYD,winter,2407,business,13,10,CDG
LAX,autumn,2178,family,23,5,CDG
BOM,spring,7053,leisure,27,18,NRT
LHR,autumn,3313,business,6,18,LHR
LAX,summer,801,business,12,5,DXB
JFK,autumn,2562,leisure,7,1,CDG
FRA,summer,4688,family,15,3,LHR
JFK,autumn,4743,business,11,5,LHR
SIN,spring,1800,leisure,8,4,SIN
BOM,summer,2780,family,29,4,CDG
LAX,summer,7389,business,28,15,NRT
JFK,spring,2719,family,6,16,CDG
CDG,winter,3884,leisure,10,14,LHR
SIN,spring,1820,business,19,11,SIN
CDG,autumn,4502,family,19,9,LHR
CDG,summer,7377,leisure,13,15,NRT
NRT,autumn,1185,family,13,3,SIN
LAX,spring,7487,business,16,2,NRT
JFK,winter,6161,family,5,9,NRT
NRT,spring,7585,business,20,5,NRT
NRT,winter,4046,leisure,7,13,LHR
SIN,winter,5328,family,12,5,NRT
NRT,spring,1044,family,12,7,SIN
JFK,autumn,7463,family,7,17,NRT
CDG,summer,571,family,7,7,DXB
SIN,winter,4267,family,16,7,LHR
FRA,autumn,6751,family,9,19,NRT
NRT,winter,5784,leisure,2,12,NRT
SIN,autumn,814,family,22,17,BOM
JFK,winter,5001,family,20,4,NRT
LHR,autumn,2151,leisure,16,13,CDG
LHR,summer,1095,family,11,7,SIN
SIN,spring,3449,business,16,16,LHR
SYD,winter,1421,business,26,9,SIN
CDG,winter,3958,business,22,8,LHR
LAX,winter,5043,business,19,19,NRT
LAX,winter,1600,business,2,18,SIN
LAX,spring,1121,family,14,14,SIN
SIN,summer,3249,business,4,7,LHR
CDG,autumn,2585,business,7,2,CDG
DXB,spring,2967,leisure,22,12,CDG
FRA,winter,3916,leisure,14,5,LHR
FRA,autumn,3708,family,4,12,LHR
CDG,spring,4458,leisure,1,7,LHR
BOM,spring,6211,business,29,19,NRT
SIN,winter,4584,leisure,4,10,LHR
BOM,spring,2459,business,27,15,CDG
LAX,winter,2226,leisure,19,1,CDG
LAX,spring,1675,leisure,29,4,SIN
DXB,autumn,5756,family,13,19,NRT
LHR,spring,4551,business,3,11,LHR
CDG,autumn,6185,business,4,7,NRT
DXB,summer,3113,business,21,6,LHR
SYD,autumn,3201,business,12,19,LHR
SIN,spring,3150,leisure,25,14,LHR
SIN,winter,2362,business,11,10,CDG
CDG,autumn,2473,family,16,13,CDG
DXB,summer,4071,family,11,7,LHR
LHR,autumn,5601,business,27,12,NRT
FRA,summer,4196,family,9,19,LHR
FRA,winter,3545,leisure,8,19,LHR
DXB,winter,4973,business,27,19,LHR
SYD,summer,3616,business,1,2,LHR
DXB,winter,5554,business,3,12,NRT
NRT,autumn,6499,leisure,25,10,NRT
NRT,spring,6664,business,9,14,NRT
DXB,winter,3979,leisure,22,1,LHR
FRA,summer,7639,family,11,3,NRT
SYD,autumn,1614,leisure,8,16,SIN
LHR,spring,5013,family,6,2,NRT
DXB,autumn,579,leisure,25,15,BOM
FRA,summer,1915,business,6,4,SIN
SYD,summer,1865,family,26,9,SIN
LAX,autumn,7770,family,14,14,NRT
FRA,winter,2260,leisure,7,9,CDG
DXB,summer,2741,business,25,1,CDG
SYD,spring,6468,family,1,9,NRT
SIN,winter,1298,business,20,3,SIN
BOM,spring,3720,family,10,6,LHR
BOM,summer,7018,business,28,14,NRT
LAX,summer,2331,business,13,8,CDG
NRT,spring,5092,family,22,15,NRT
NRT,winter,7023,family,18,11,NRT
SYD,winter,7335,business,24,17,NRT
JFK,spring,4137,business,28,17,LHR
BOM,autumn,532,business,13,7,BOM
LAX,autumn,2237,business,17,10,CDG
FRA,winter,4014,family,28,12,LHR
DXB,spring,662,leisure,16,11,BOM
BOM,summer,7300,business,18,4,NRT
FRA,summer,371,leisure,19,2,DXB
LHR,summer,5411,family,12,18,NRT
LHR,spring,5972,leisure,24,15,NRT
JFK,winter,6924,leisure,27,11,NRT
DXB,autumn,7584,family,5,7,NRT
JFK,winter,4411,family,23,9,LHR
CDG,winter,7621,business,10,2,NRT
CDG,winter,5872,business,15,4,NRT
SIN,summer,2814,leisure,9,11,CDG
JFK,spring,6657,leisure,23,18,NRT
CDG,winter,5803,leisure,6,9,NRT
SYD,spring,4453,family,9,16,LHR
LAX,summer,6646,leisure,29,8,NRT
LHR,autumn,7852,business,15,7,NRT
JFK,summer,6608,business,6,9,NRT
SIN,winter,4990,family,4,11,LHR
BOM,summer,1225,family,8,18,SIN
FRA,autumn,4879,leisure,12,2,LHR
LHR,summer,1954,business,22,10,SIN
SIN,summer,4109,family,19,15,LHR
LHR,autumn,7220,leisure,19,2,NRT
NRT,autumn,5134,leisure,3,4,NRT
LAX,summer,5295,leisure,7,13,NRT
CDG,autumn,1190,leisure,23,19,SIN
NRT,spring,2636,family,19,11,CDG
CDG,winter,1545,business,17,15,SIN
JFK,summer,4587,business,22,17,LHR
NRT,summer,495,family,6,14,DXB
CDG,autumn,3326,leisure,2,9,LHR
LHR,summer,5425,leisure,15,10,NRT
LAX,summer,477,business,2,1,DXB
BOM,summer,3297,family,25,17,LHR
BOM,summer,7078,family,11,2,NRT
DXB,autumn,2733,family,10,6,CDG
LAX,winter,5931,family,4,10,NRT
JFK,spring,5727,business,1,17,NRT
JFK,spring,2556,leisure,28,11,CDG
SYD,spring,4067,leisure,18,19,LHR
NRT,winter,4818,business,13,9,LHR
LAX,autumn,4485,business,6,4,LHR
FRA,autumn,6375,family,12,14,NRT
FRA,spring,3736,family,8,19,LHR
FRA,spring,1054,business,2,6,SIN
JFK,autumn,2238,business,4,5,CDG
LHR,winter,4635,business,10,9,LHR
LAX,spring,1466,family,25,4,SIN
SIN,spring,1305,leisure,6,13,SIN
LAX,autumn,762,business,25,19,BOM
SIN,winter,1400,business,19,10,SIN
SIN,winter,6980,business,19,8,NRT
SYD,winter,4985,leisure,22,14,LHR
SYD,summer,770,family,26,17,DXB
SIN,winter,980,family,16,15,BOM
JFK,winter,6572,leisure,20,12,NRT
FRA,summer,1026,leisure,3,14,SIN
JFK,summer,1298,business,19,10,SIN
LHR,autumn,4977,leisure,1,3,LHR
LAX,winter,5905,leisure,14,3,NRT
JFK,spring,3878,leisure,25,2,LHR
LAX,autumn,2237,business,21,15,CDG
SIN,summer,2199,family,15,18,CDG
DXB,winter,1969,business,17,5,SIN
NRT,summer,4442,business,29,9,LHR
SIN,winter,409,business,15,5,BOM
LHR,winter,7026,leisure,11,16,NRT
LAX,spring,7479,business,28,19,NRT
NRT,summer,7600,family,22,11,NRT
LAX,winter,7486,family,25,16,NRT
SYD,autumn,2946,family,23,2,CDG
SIN,winter,5095,business,23,5,NRT
CDG,autumn,7586,family,3,12,NRT
LAX,summer,7274,leisure,1,4,NRT
JFK,summer,4302,business,16,15,LHR
SIN,winter,5853,business,19,13,NRT
SYD,summer,5916,family,23,17,NRT
DXB,spring,1441,business,7,3,SIN
NRT,spring,4935,family,29,18,LHR
SYD,summer,4790,business,2,15,LHR
NRT,spring,5494,business,18,17,NRT
CDG,winter,710,leisure,5,11,BOM
SYD,summer,7730,business,16,18,NRT
NRT,winter,3899,business,10,19,LHR
LAX,summer,4653,business,24,17,LHR
FRA,summer,2193,leisure,23,7,CDG
JFK,summer,6625,family,12,16,NRT
LHR,summer,7577,business,22,2,NRT
SIN,winter,3329,business,8,13,LHR
JFK,summer,7311,family,12,15,NRT
LHR,spring,1013,leisure,13,10,SIN
SYD,summer,1975,leisure,12,4,SIN
NRT,autumn,3007,family,5,11,LHR
BOM,summer,4907,business,29,9,LHR
LHR,spring,1207,family,2,5,SIN
BOM,winter,2413,leisure,3,4,CDG
BOM,winter,1326,family,22,13,SIN
SYD,autumn,6243,business,4,12,NRT
DXB,summer,2882,leisure,4,12,CDG
LHR,winter,3950,family,15,10,LHR
FRA,winter,2891,leisure,3,12,CDG
BOM,winter,7621,leisure,5,5,NRT
SIN,winter,5891,family,13,15,NRT
DXB,winter,3837,business,6,3,LHR
LHR,summer,7116,business,26,15,NRT
FRA,autumn,6734,family,18,16,NRT
FRA,spring,7743,family,3,10,NRT
CDG,summer,2846,family,2,17,CDG
FRA,summer,3063,leisure,13,18,LHR
SYD,spring,5488,family,17,17,NRT
FRA,summer,6174,leisure,19,6,NRT
SIN,summer,6875,business,17,4,NRT
SIN,spring,7283,business,4,6,NRT
BOM,autumn,7714,leisure,1,3,NRT
LHR,spring,4079,leisure,24,4,LHR
LAX,summer,2440,family,12,16,CDG
FRA,winter,5140,business,22,19,NRT
DXB,winter,6994,family,6,17,NRT
SIN,spring,2248,leisure,7,19,CDG
JFK,autumn,6676,leisure,23,17,NRT
SIN,spring,253,family,19,18,BOM
LHR,spring,1095,family,22,4,SIN
SIN,autumn,7545,leisure,19,16,NRT
LAX,winter,4403,family,17,17,LHR
NRT,spring,2235,leisure,8,9,CDG
SYD,autumn,3343,leisure,26,10,LHR
JFK,summer,1412,family,1,5,SIN
LHR,summer,4649,leisure,13,1,LHR
NRT,autumn,5638,business,13,8,NRT
CDG,autumn,746,business,22,19,BOM
JFK,summer,4298,family,22,10,LHR
FRA,summer,3439,family,19,1,LHR
LAX,spring,5841,family,2,16,NRT
LHR,spring,7402,business,2,1,NRT
DXB,winter,7545,leisure,4,16,NRT
DXB,spring,880,leisure,21,14,BOM
CDG,autumn,1212,leisure,22,6,SIN
LAX,winter,4203,family,20,13,LHR
SIN,winter,691,business,13,19,BOM
JFK,autumn,5236,family,17,1,NRT
SYD,summer,2801,business,15,5,CDG
DXB,summer,1493,family,15,10,SIN
JFK,summer,7595,leisure,11,3,NRT
LAX,summer,2783,business,15,1,CDG
JFK,spring,6192,family,24,6,NRT
LHR,winter,1966,leisure,4,19,SIN
JFK,autumn,2879,leisure,26,13,CDG
NRT,winter,3536,family,19,18,LHR
FRA,winter,7284,family,24,4,NRT
LAX,summer,6030,business,8,1,NRT
BOM,summer,5639,family,8,11,NRT
LAX,summer,6769,family,3,1,NRT
BOM,spring,2862,family,7,19,CDG
SYD,autumn,7612,family,24,8,NRT
FRA,winter,4272,family,20,10,LHR
LAX,winter,3178,business,20,16,LHR
NRT,spring,2964,business,11,16,CDG
LHR,winter,7087,leisure,18,13,NRT
LAX,summer,1073,business,27,7,SIN
SIN,spring,6269,business,17,18,NRT
LAX,spring,2167,leisure,1,16,CDG
BOM,spring,5281,business,17,9,NRT
SIN,spring,7545,family,7,14,NRT
CDG,winter,3148,leisure,28,10,LHR
SIN,summer,7865,business,16,18,NRT
LAX,spring,3096,business,3,18,LHR
SYD,spring,3655,leisure,16,8,LHR
LAX,spring,5620,family,16,17,NRT
FRA,spring,1222,leisure,1,5,SIN
LHR,summer,2770,business,5,3,CDG
FRA,autumn,2373,business,6,16,CDG
NRT,summer,7773,family,17,17,NRT
JFK,winter,4467,leisure,13,3,LHR
LAX,autumn,6899,leisure,28,4,NRT
NRT,summer,3832,business,18,16,LHR
LAX,autumn,1150,family,19,14,SIN
SYD,spring,6908,family,3,1,NRT
CDG,summer,3976,leisure,16,6,LHR
DXB,summer,3751,leisure,17,9,LHR
LAX,spring,6838,family,17,5,NRT
SIN,winter,4310,leisure,4,12,LHR
SYD,winter,343,leisure,27,15,BOM
JFK,winter,3517,leisure,9,18,LHR
LHR,summer,3011,leisure,3,8,LHR
LHR,winter,5588,family,28,1,NRT
CDG,winter,1439,business,17,1,SIN
CDG,autumn,2282,business,3,4,CDG
DXB,winter,7557,leisure,12,9,NRT
NRT,autumn,2768,family,7,15,CDG
SIN,winter,7829,family,7,14,NRT
SIN,autumn,6667,business,15,16,NRT
BOM,summer,6959,business,14,12,NRT
CDG,autumn,361,leisure,9,1,BOM
SIN,spring,2936,leisure,24,8,CDG
NRT,winter,3709,family,12,19,LHR
CDG,autumn,969,family,29,11,BOM
FRA,autumn,5884,family,18,1,NRT
JFK,spring,2911,leisure,17,15,CDG
LHR,autumn,6020,leisure,5,18,NRT
NRT,summer,1429,family,28,18,SIN
LAX,winter,1759,business,17,15,SIN
LAX,winter,7816,family,15,8,NRT
FRA,summer,1724,business,13,12,SIN
LAX,summer,6536,family,1,9,NRT
BOM,autumn,6499,family,24,7,NRT
NRT,spring,4939,business,15,19,LHR
DXB,winter,1717,family,11,12,SIN
SYD,spring,4959,leisure,25,6,LHR
SIN,summer,5078,family,18,1,NRT
DXB,spring,3039,leisure,17,13,LHR
NRT,autumn,507,family,18,8,BOM
CDG,spring,2696,business,12,13,CDG
CDG,autumn,3842,business,17,2,LHR
BOM,winter,7854,leisure,5,11,NRT
NRT,winter,4070,business,14,1,LHR
BOM,summer,4622,business,27,2,LHR
NRT,summer,2898,family,4,1,CDG
FRA,summer,7756,leisure,9,9,NRT
SYD,summer,357,leisure,10,18,DXB
FRA,summer,1271,leisure,14,18,SIN
DXB,summer,7731,family,12,8,NRT
CDG,summer,3711,business,15,19,LHR
JFK,winter,4977,family,8,4,LHR
LHR,spring,6956,family,8,18,NRT
SIN,autumn,6738,family,12,2,NRT
JFK,winter,2752,leisure,28,10,CDG
SIN,winter,3959,leisure,6,13,LHR
FRA,autumn,5735,family,5,4,NRT
LAX,winter,6366,leisure,27,17,NRT
CDG,autumn,1521,family,19,1,SIN
CDG,autumn,3588,business,1,7,LHR
LHR,spring,7369,leisure,28,1,NRT
FRA,summer,3444,leisure,21,18,LHR
LHR,winter,6777,leisure,26,19,NRT
SIN,summer,3152,family,16,2,LHR
LAX,winter,1387,family,27,16,SIN
FRA,summer,5465,business,1,3,NRT
SIN,winter,5048,business,13,1,NRT
BOM,summer,2963,business,22,2,CDG
DXB,winter,647,family,13,7,BOM
CDG,winter,1800,business,24,4,SIN
JFK,winter,2025,leisure,17,7,CDG
CDG,winter,6539,business,14,9,NRT
JFK,spring,2701,family,19,11,CDG
LAX,autumn,7519,leisure,19,11,NRT
SIN,spring,6710,family,3,4,NRT
NRT,winter,4396,family,3,3,LHR
LAX,spring,6627,family,23,17,NRT
SIN,summer,913,leisure,22,14,DXB
NRT,winter,7044,business,24,13,NRT
SIN,winter,1685,leisure,15,2,SIN
LAX,summer,6852,family,9,3,NRT
NRT,autumn,1758,family,2,9,SIN
SYD,summer,5998,business,18,12,NRT
SIN,autumn,5933,family,24,3,NRT
SYD,autumn,4131,family,25,18,LHR
CDG,winter,496,business,3,7,BOM
LAX,summer,3760,leisure,29,2,LHR
BOM,summer,6838,leisure,20,5,NRT
SYD,summer,4020,leisure,1,16,LHR
SIN,autumn,7496,family,8,10,NRT
SIN,autumn,1899,family,24,6,SIN
LHR,autumn,2851,business,24,4,CDG
BOM,summer,854,family,16,8,DXB
LHR,winter,7607,leisure,28,9,NRT
SIN,autumn,1316,business,27,12,SIN
DXB,autumn,3822,leisure,18,13,LHR
JFK,spring,2606,family,24,2,CDG
SIN,autumn,1116,leisure,25,10,SIN
JFK,summer,7528,leisure,14,16,NRT
SIN,winter,280,family,4,18,BOM
DXB,winter,3505,leisure,5,9,LHR
LHR,autumn,2626,family,12,12,CDG
FRA,spring,5858,family,12,12,NRT
CDG,spring,4320,leisure,7,13,LHR
JFK,autumn,5111,business,4,16,NRT
LHR,winter,4340,family,8,8,LHR
LAX,winter,7911,leisure,11,2,NRT
SYD,winter,4401,business,21,16,LHR
JFK,autumn,4992,family,15,13,LHR
DXB,spring,4118,leisure,17,2,LHR
LHR,autumn,7990,business,9,11,NRT
BOM,summer,3657,family,24,4,LHR
CDG,spring,2130,business,20,16,CDG
LAX,autumn,5898,business,4,2,NRT
LAX,winter,3864,leisure,11,13,LHR
FRA,spring,3936,leisure,19,17,LHR
CDG,winter,5745,family,23,13,NRT
SIN,autumn,2784,family,6,1,CDG
