airport,hour_of_day,day_of_week,month,flights_per_hour,gate_utilization_pct,runway_utilization_pct,avg_taxi_time_min,weather_score,congestion_level
BOM,6,6,7,66,56,57,18,0.75,high
LAX,2,3,8,67,34,56,42,0.15,medium
SYD,8,1,1,40,64,48,55,0.05,medium
SYD,8,0,3,76,75,63,38,0.87,high
DXB,18,1,11,51,83,80,57,0.19,high
JFK,7,4,11,15,24,63,50,0.35,low
SIN,1,6,1,28,22,82,23,0.73,medium
FRA,22,2,4,10,38,81,56,0.38,medium
BOM,18,6,5,23,50,67,16,0.18,medium
JFK,2,5,2,38,80,90,31,0.77,high
BOM,6,6,6,30,52,46,13,0.28,medium
CDG,8,5,3,31,67,30,42,0.88,medium
BOM,6,1,11,10,46,46,11,0.4,low
LAX,7,1,9,62,28,37,20,0.92,medium
NRT,14,6,3,51,61,21,5,0.31,medium
SYD,10,5,10,21,39,77,7,0.22,medium
LAX,5,2,5,61,74,54,29,0.73,high
BOM,20,0,11,72,20,30,47,0.82,medium
NRT,18,2,4,45,97,21,28,1.0,medium
LHR,11,1,11,20,48,54,56,0.04,medium
DXB,12,0,4,32,31,95,6,0.65,medium
JFK,22,1,7,35,52,58,20,0.81,medium
CDG,21,3,4,69,53,32,55,0.88,medium
DXB,22,4,6,55,39,80,34,0.48,medium
BOM,18,6,4,16,40,78,39,0.95,medium
CDG,9,0,12,74,79,29,5,0.08,high
SIN,7,3,11,40,63,86,39,0.78,medium
LAX,10,0,8,49,93,66,59,0.8,high
DXB,13,5,6,11,84,44,49,0.39,medium
SYD,16,5,12,59,66,64,17,0.38,high
BOM,3,4,9,69,86,98,20,0.12,high
JFK,5,6,4,79,59,57,52,0.86,high
SIN,1,3,11,79,59,63,12,0.3,high
JFK,3,4,4,50,54,38,27,0.82,medium
CDG,21,5,3,22,25,23,55,0.09,low
LAX,15,0,10,62,63,58,47,0.06,high
JFK,2,5,5,16,53,37,49,0.92,low
NRT,11,1,12,14,64,37,55,0.64,low
SIN,8,5,6,60,25,32,43,0.51,medium
SYD,3,5,1,79,76,63,57,0.77,high
CDG,20,1,3,33,89,89,31,0.43,high
NRT,4,0,6,49,51,89,18,0.86,high
DXB,14,6,6,18,29,91,11,0.81,medium
BOM,20,2,7,46,48,99,15,0.64,high
DXB,19,4,8,37,66,27,17,0.36,medium
CDG,0,3,9,27,38,22,19,0.47,low
CDG,13,2,12,21,40,51,9,0.94,low
BOM,8,5,12,11,98,41,49,0.88,medium
SIN,21,0,3,5,65,25,16,0.23,low
JFK,20,4,1,64,70,38,11,0.74,medium
JFK,6,6,10,28,78,74,19,0.03,medium
CDG,23,5,5,47,92,80,9,1.0,high
SIN,19,1,9,42,93,98,57,0.46,high
DXB,18,1,4,8,93,99,13,0.42,medium
SYD,11,1,12,54,40,43,52,0.32,medium
DXB,22,1,2,62,39,24,28,0.16,medium
BOM,5,5,11,60,58,29,44,0.45,medium
DXB,9,3,7,45,63,31,12,0.93,medium
NRT,21,4,11,11,93,73,18,0.42,medium
NRT,12,0,6,7,31,36,13,0.33,low
NRT,14,0,2,59,96,47,42,0.8,high
FRA,18,6,6,9,98,69,43,0.86,medium
LAX,21,2,5,6,27,52,5,0.71,low
NRT,13,5,7,27,81,67,52,0.29,medium
SIN,4,0,4,46,58,97,46,0.12,high
SYD,9,2,1,35,61,49,57,0.25,medium
NRT,19,5,9,33,71,56,16,0.84,medium
LHR,18,3,3,59,81,35,35,0.58,medium
CDG,0,2,11,6,60,90,24,0.42,medium
LHR,16,5,4,47,43,35,34,0.6,medium
DXB,18,1,8,50,89,32,45,0.32,medium
BOM,3,3,3,65,27,31,33,0.04,medium
FRA,18,0,12,24,39,80,52,0.6,medium
LHR,22,1,9,46,90,23,29,0.75,medium
FRA,4,0,11,63,93,73,14,0.98,high
BOM,21,3,10,41,69,33,39,0.75,medium
CDG,2,1,9,37,27,65,34,0.9,medium
LAX,12,5,6,32,67,80,19,0.0,medium
BOM,17,4,6,74,55,85,44,0.76,high
SIN,11,3,2,23,83,75,21,0.65,medium
FRA,1,2,10,52,52,42,45,0.99,medium
DXB,2,0,5,79,54,59,15,0.6,high
CDG,10,0,1,28,47,82,47,0.51,medium
BOM,14,5,5,68,97,50,21,0.55,high
SYD,13,4,8,22,65,32,8,0.65,medium
LAX,17,4,12,26,23,63,21,0.07,low
JFK,11,0,6,48,82,73,12,0.16,high
DXB,6,6,2,73,93,64,32,0.53,high
BOM,23,2,7,55,34,79,10,0.54,medium
LAX,5,4,6,79,89,73,29,0.66,high
DXB,5,5,1,33,47,61,5,0.68,medium
LAX,18,6,10,31,67,36,20,0.14,medium
LAX,15,4,2,59,94,57,42,0.41,high
JFK,16,6,7,41,39,95,20,0.35,medium
NRT,12,1,9,62,63,83,33,0.49,high
SIN,10,1,8,73,93,22,25,0.07,high
BOM,10,2,12,60,76,82,7,0.07,high
FRA,12,2,12,11,46,24,29,0.36,low
FRA,6,1,2,19,95,95,24,0.12,high
SYD,8,4,9,60,82,32,13,0.03,medium
CDG,23,1,5,46,58,24,25,0.47,medium
JFK,8,3,11,32,86,68,54,0.67,medium
NRT,14,3,6,66,50,37,43,0.29,medium
CDG,11,5,10,70,20,64,17,0.81,medium
BOM,13,0,4,69,33,95,33,0.03,high
SIN,1,2,6,65,95,80,26,0.8,high
LHR,11,1,9,48,82,89,57,0.47,high
DXB,15,6,5,52,96,64,10,0.59,high
JFK,22,0,8,17,92,25,11,0.98,medium
CDG,2,1,6,9,48,79,6,0.36,medium
JFK,13,5,6,60,99,51,51,0.5,high
SIN,1,4,4,23,20,56,45,0.59,low
JFK,16,6,11,64,60,45,38,0.17,medium
FRA,6,6,10,10,34,20,12,0.64,low
SYD,4,6,8,66,85,40,26,0.1,high
JFK,0,2,11,11,99,59,12,0.16,medium
SIN,13,4,8,35,59,48,21,0.74,medium
FRA,12,1,2,8,93,94,34,0.07,medium
CDG,21,6,10,31,86,92,45,0.11,high
NRT,9,0,4,73,54,60,59,0.8,high
CDG,19,3,4,34,94,78,24,0.67,high
CDG,1,1,9,14,66,27,54,0.34,low
FRA,22,1,5,79,98,79,19,0.77,high
NRT,22,5,1,73,27,50,16,0.36,medium
CDG,6,6,4,12,83,46,57,0.68,medium
JFK,11,2,1,27,79,62,45,0.51,medium
SIN,10,4,4,24,98,74,36,0.2,medium
SYD,23,5,2,24,70,95,25,0.53,medium
JFK,11,2,11,66,42,42,45,0.26,medium
DXB,13,3,5,11,88,99,12,0.64,medium
BOM,5,5,10,17,60,90,51,0.1,medium
BOM,6,5,6,29,70,69,14,0.13,medium
NRT,17,0,11,24,48,88,56,0.22,medium
FRA,17,0,7,17,45,83,52,0.64,medium
BOM,10,6,6,63,92,47,8,0.21,high
CDG,6,2,6,55,59,55,40,0.84,medium
NRT,5,6,9,41,59,67,37,0.4,medium
LHR,10,4,3,47,29,26,43,0.03,low
LAX,6,2,9,29,33,20,49,0.97,low
DXB,19,5,3,55,46,85,37,1.0,high
CDG,0,1,10,51,81,41,48,0.15,medium
NRT,0,1,9,29,70,96,32,0.75,medium
SIN,11,1,10,14,91,44,33,0.88,medium
DXB,23,4,7,74,21,85,28,0.14,high
BOM,19,1,11,17,80,83,24,0.68,medium
SYD,18,4,2,18,33,42,50,0.91,low
SIN,1,4,5,33,39,96,56,0.01,medium
FRA,8,2,12,78,80,95,48,0.77,high
LHR,7,0,3,5,29,23,20,0.33,low
LAX,0,6,6,66,67,96,14,0.45,high
SIN,0,4,4,18,50,75,25,0.96,medium
SYD,6,1,7,6,90,30,37,0.68,low
LHR,6,0,7,8,40,94,51,0.76,medium
FRA,17,1,3,77,20,27,13,0.97,medium
LHR,19,0,4,44,30,86,29,0.6,medium
DXB,17,4,9,6,50,85,18,0.74,medium
SYD,6,0,11,52,43,82,58,0.94,medium
CDG,2,4,7,60,38,90,7,0.88,high
SIN,6,4,4,35,57,80,41,0.23,medium
CDG,7,5,8,17,93,33,44,0.97,medium
BOM,20,2,7,30,26,76,14,0.09,medium
LHR,20,3,9,79,24,23,38,0.68,medium
CDG,3,1,11,35,40,51,59,0.38,medium
CDG,1,3,11,64,97,70,5,0.63,high
SYD,16,3,7,6,63,52,54,0.52,low
CDG,11,1,8,42,81,78,20,0.24,high
LAX,1,4,6,69,41,66,20,0.05,high
BOM,19,5,12,34,33,75,21,0.98,medium
NRT,10,3,12,39,62,74,41,0.13,medium
LAX,23,0,5,43,97,75,27,0.29,high
DXB,14,2,3,41,36,54,11,0.28,medium
LHR,1,6,4,7,25,52,24,0.33,low
LAX,17,4,8,70,87,62,29,0.49,high
SIN,2,3,11,12,67,27,45,0.77,low
FRA,4,4,8,66,88,26,38,0.06,high
DXB,15,6,9,64,28,82,58,0.69,medium
FRA,22,1,6,73,33,80,57,0.88,high
LHR,5,4,1,48,93,53,8,0.2,high
DXB,16,2,8,76,29,79,38,0.78,high
CDG,18,0,1,26,38,97,11,0.39,medium
LHR,22,4,5,73,96,57,25,0.02,high
NRT,4,6,7,40,59,49,15,0.65,medium
FRA,6,2,4,70,72,50,32,0.71,high
NRT,22,1,8,76,62,48,33,0.97,high
LHR,16,4,10,17,37,38,15,0.99,low
SIN,4,5,3,48,71,56,54,0.51,medium
DXB,9,5,6,55,57,84,11,0.96,high
DXB,7,0,9,30,98,48,32,0.97,medium
BOM,19,1,11,70,25,88,12,0.88,high
BOM,9,3,1,56,94,85,19,0.12,high
CDG,6,2,10,36,52,58,55,0.85,medium
NRT,5,1,11,26,85,71,13,0.09,medium
BOM,9,1,3,57,72,55,23,0.99,high
CDG,9,4,9,72,68,26,18,0.71,medium
LHR,11,6,1,51,75,71,53,0.31,high
LAX,10,0,8,5,58,43,45,0.5,low
BOM,16,0,5,61,28,80,41,0.16,medium
BOM,15,1,3,71,64,83,12,0.95,high
LHR,14,3,3,38,62,55,33,0.74,medium
BOM,21,2,5,15,96,28,29,0.52,medium
JFK,19,5,2,10,78,24,59,0.23,low
BOM,11,6,7,21,94,62,34,0.08,medium
FRA,0,4,7,10,73,29,53,0.32,low
DXB,7,2,11,14,57,74,42,0.77,medium
CDG,13,1,3,78,58,98,37,0.29,high
JFK,1,5,5,60,92,34,48,0.11,high
DXB,4,3,7,14,62,48,12,0.09,low
JFK,16,5,5,37,49,51,49,0.44,medium
SIN,21,2,4,51,97,59,45,0.32,high
BOM,17,5,11,6,50,45,43,0.43,low
JFK,1,6,1,23,49,98,11,0.46,medium
NRT,3,4,4,65,81,24,15,0.12,medium
SYD,22,5,7,31,87,86,13,0.19,high
LAX,14,3,11,59,55,44,6,0.2,medium
LHR,15,5,12,41,51,85,35,0.41,medium
BOM,17,5,10,62,79,43,40,0.89,high
JFK,22,2,8,12,40,63,58,0.67,low
SYD,14,2,12,74,84,60,37,0.57,high
FRA,13,0,6,65,74,43,19,0.77,high
JFK,9,4,6,19,32,27,30,0.23,low
FRA,16,4,3,75,27,78,39,0.85,high
DXB,15,1,7,27,61,97,42,0.06,medium
CDG,23,2,2,33,62,92,44,0.14,medium
DXB,7,1,5,35,99,41,35,0.98,medium
SYD,14,5,2,18,63,49,31,0.88,medium
LHR,21,3,8,18,66,81,59,0.74,medium
DXB,5,1,12,32,55,97,30,0.88,medium
SYD,1,4,1,71,74,48,34,0.13,high
LAX,0,6,9,14,57,82,43,0.33,medium
LHR,12,3,7,77,46,67,37,0.89,high
SIN,20,4,3,6,43,99,44,0.48,medium
LAX,13,5,3,23,40,55,44,0.95,low
LHR,10,5,9,19,39,88,23,0.28,medium
JFK,17,2,6,48,43,95,46,0.97,high
DXB,18,5,10,14,40,67,9,0.5,low
FRA,22,0,7,37,87,23,51,0.21,medium
JFK,13,0,8,32,21,71,26,0.79,medium
DXB,7,3,8,79,76,37,24,0.13,high
JFK,19,6,5,22,34,72,37,0.75,medium
LAX,7,0,10,22,76,84,58,0.46,medium
SYD,23,1,2,67,44,87,10,0.11,high
CDG,9,1,12,18,40,30,31,0.58,low
LAX,9,4,2,13,60,37,45,0.38,low
DXB,8,3,10,28,79,86,34,0.3,medium
FRA,19,6,8,50,91,34,17,0.13,medium
NRT,3,2,5,17,55,22,56,0.25,low
BOM,3,0,2,20,49,59,20,0.13,medium
LHR,0,6,2,72,92,39,14,0.01,high
BOM,6,6,4,65,36,70,28,0.67,medium
LHR,11,5,2,61,84,76,53,0.34,high
NRT,9,2,6,75,66,27,45,0.19,high
CDG,8,6,9,35,80,82,39,0.45,high
JFK,0,0,3,46,34,79,14,0.73,medium
BOM,14,0,12,25,81,74,31,0.18,medium
LHR,13,3,8,64,28,42,25,0.4,medium
DXB,15,2,7,32,27,53,58,0.42,low
NRT,14,4,6,14,51,82,53,0.03,medium
JFK,3,6,8,14,54,59,41,0.05,medium
DXB,19,3,9,67,47,62,16,0.21,high
FRA,3,4,5,13,96,82,16,0.58,medium
FRA,6,1,3,32,70,33,45,0.49,medium
CDG,7,4,9,16,25,65,46,0.3,low
JFK,8,0,11,71,51,57,27,0.28,high
CDG,11,6,6,43,33,97,44,0.1,medium
LHR,22,2,7,5,25,86,51,0.84,low
JFK,0,1,6,5,38,76,21,0.62,low
DXB,18,2,7,34,48,65,45,0.01,medium
BOM,6,0,11,64,23,55,38,0.89,medium
JFK,3,6,7,16,70,85,55,0.75,medium
FRA,15,1,12,59,52,72,14,0.84,high
LHR,3,2,10,25,26,26,52,0.03,low
NRT,19,6,10,27,41,62,32,0.35,medium
SIN,19,6,7,66,75,82,33,0.41,high
JFK,22,2,2,34,93,80,9,0.2,high
DXB,22,4,2,66,78,53,32,0.85,high
NRT,8,0,5,34,39,87,57,0.83,medium
LAX,20,5,7,59,31,83,41,0.2,medium
NRT,8,5,10,9,48,29,40,0.68,low
DXB,2,1,3,12,70,97,32,0.91,medium
LAX,15,0,7,37,22,42,19,0.58,low
DXB,0,3,2,74,63,49,46,0.09,high
JFK,20,3,5,9,67,93,23,0.66,medium
LHR,8,3,3,22,50,26,50,0.29,low
LAX,11,3,3,78,20,67,31,0.69,high
DXB,16,5,9,59,71,35,22,0.53,medium
SYD,20,2,2,79,36,85,59,0.77,high
DXB,1,1,5,23,71,36,38,0.01,medium
CDG,1,1,2,40,36,62,50,0.05,medium
BOM,7,2,2,32,23,40,39,0.27,low
SIN,0,6,11,74,44,41,10,0.17,medium
FRA,22,0,4,47,26,41,53,0.64,medium
NRT,17,3,10,39,58,66,12,0.19,medium
NRT,20,3,12,32,80,42,50,0.92,medium
SIN,16,4,7,50,89,92,9,0.69,high
NRT,14,5,11,5,53,80,34,0.6,medium
NRT,3,5,2,41,24,84,50,0.98,medium
NRT,9,3,10,46,40,91,37,0.5,medium
JFK,15,3,12,72,97,20,15,0.82,high
SIN,23,5,4,32,55,65,42,0.35,medium
LHR,12,2,3,7,64,89,40,0.64,medium
FRA,2,3,10,78,78,60,31,0.5,high
BOM,0,0,3,61,95,26,26,0.72,high
CDG,16,5,12,46,20,73,8,0.56,medium
CDG,22,3,6,68,64,25,11,0.19,medium
LAX,9,0,1,7,83,76,22,0.79,medium
SYD,20,4,5,28,43,99,14,0.46,medium
CDG,16,1,12,66,39,77,31,0.03,high
BOM,10,1,3,50,66,69,10,0.86,high
JFK,23,4,8,30,53,91,9,0.54,medium
NRT,2,1,12,41,40,74,36,0.19,medium
CDG,10,3,9,45,73,66,22,0.05,medium
NRT,10,2,12,50,36,20,59,0.25,medium
CDG,11,1,10,53,45,82,38,0.74,medium
NRT,22,5,10,57,95,41,15,0.59,high
NRT,20,4,8,39,28,89,39,0.63,medium
NRT,15,6,7,14,67,91,19,0.8,medium
DXB,12,0,10,73,36,98,54,0.38,high
BOM,7,3,2,6,72,78,55,0.15,medium
LHR,19,2,9,30,90,67,27,0.93,medium
FRA,6,6,5,21,55,26,16,0.94,low
LAX,2,2,3,30,43,62,39,0.17,medium
NRT,6,1,4,68,78,84,25,0.15,high
DXB,22,1,4,66,35,39,50,0.52,medium
BOM,20,5,8,35,84,88,41,0.98,high
SIN,21,4,1,66,88,95,38,0.1,high
SYD,21,3,1,50,22,88,27,0.33,medium
LAX,2,4,11,44,67,81,41,0.62,high
CDG,11,2,7,49,24,48,5,0.27,medium
SIN,13,4,9,64,58,26,35,0.28,medium
SYD,9,1,5,40,83,79,18,0.47,high
LHR,3,2,5,50,27,47,47,0.96,medium
SYD,9,5,1,43,49,84,51,0.89,medium
BOM,19,2,8,27,68,53,37,0.33,medium
LAX,8,3,5,42,85,48,56,0.89,medium
DXB,1,4,11,54,84,62,37,0.05,high
SIN,13,3,9,25,90,71,51,0.39,medium
DXB,1,6,5,67,81,52,19,0.33,high
DXB,1,2,7,23,74,74,19,0.05,medium
JFK,12,4,4,79,62,48,8,0.69,high
NRT,5,6,1,19,87,71,14,0.19,medium
NRT,19,5,3,12,39,64,14,0.85,low
CDG,23,0,8,51,82,77,57,0.34,high
SIN,14,6,1,79,71,62,33,0.43,high
SYD,0,3,12,53,55,81,54,0.46,high
FRA,7,4,9,30,56,94,54,0.06,medium
BOM,14,5,2,10,44,34,13,0.35,low
LHR,12,2,12,75,80,24,13,0.16,high
SIN,13,5,3,64,72,22,55,0.05,medium
JFK,5,3,3,8,99,98,51,0.85,medium
SIN,6,6,10,68,29,25,55,0.23,medium
SIN,5,6,6,32,40,58,10,0.2,medium
CDG,20,3,2,42,45,55,41,0.31,medium
FRA,11,0,10,69,40,26,55,0.45,medium
JFK,2,1,8,71,97,86,20,0.32,high
NRT,20,0,7,58,32,44,32,0.57,medium
FRA,20,6,7,7,59,26,12,0.05,low
LAX,7,0,10,79,61,73,16,0.6,high
JFK,8,1,5,34,27,62,46,0.05,medium
CDG,8,0,8,11,95,75,52,0.6,medium
CDG,21,1,11,66,57,63,15,0.27,high
JFK,23,4,1,40,94,48,18,0.07,medium
SIN,21,2,10,10,21,50,59,0.04,low
SYD,17,3,11,44,49,29,7,0.31,medium
DXB,17,0,2,69,66,96,39,0.77,high
JFK,23,2,6,53,97,66,10,0.73,high
LHR,13,2,7,42,82,65,6,0.25,high
SYD,12,3,4,72,59,32,33,0.65,medium
DXB,8,2,8,63,68,68,37,0.75,high
NRT,9,1,7,19,75,26,8,0.59,low
SYD,16,3,4,27,22,24,24,0.44,low
SIN,5,0,7,14,97,81,33,0.92,medium
NRT,19,6,1,10,23,36,24,0.09,low
DXB,12,2,2,24,42,57,50,0.58,medium
JFK,14,4,1,28,63,52,41,0.73,medium
FRA,11,2,6,74,83,86,17,0.7,high
LAX,10,2,3,17,61,40,42,0.47,low
SIN,10,5,7,32,57,77,17,0.1,medium
SIN,21,0,1,51,74,91,36,0.12,high
FRA,18,5,3,68,84,77,33,0.9,high
CDG,21,5,2,71,28,58,12,0.25,medium
NRT,18,4,8,24,32,31,27,0.4,low
JFK,19,2,9,62,25,81,40,0.81,medium
LHR,18,1,1,8,63,48,53,0.58,low
JFK,20,5,3,42,92,31,52,0.2,medium
NRT,9,3,9,53,36,56,36,0.67,medium
CDG,5,0,8,42,56,28,20,0.31,medium
FRA,10,6,7,49,27,51,59,0.65,medium
CDG,12,3,7,65,24,35,10,0.58,medium
CDG,22,1,5,8,62,94,17,0.18,medium
JFK,10,5,1,62,83,98,17,0.46,high
BOM,18,1,10,76,41,51,26,0.18,high
CDG,0,0,8,13,73,71,12,0.1,medium
JFK,5,2,11,65,97,23,58,0.66,high
NRT,21,0,5,16,71,73,50,0.86,medium
LAX,12,4,5,24,87,84,17,0.98,medium
SYD,6,0,1,49,51,27,23,0.02,medium
DXB,3,2,5,77,36,86,10,0.1,high
DXB,8,0,6,71,74,78,55,0.57,high
CDG,13,2,5,67,64,79,6,0.64,high
NRT,15,6,12,24,81,28,7,0.18,medium
DXB,19,0,3,63,24,70,26,0.85,medium
JFK,22,6,11,77,62,76,44,0.24,high
SIN,17,4,5,67,40,26,17,0.17,medium
CDG,13,2,2,68,70,73,8,0.55,high
SYD,19,6,3,18,62,29,53,0.0,low
SYD,4,6,8,42,60,53,38,0.06,medium
JFK,14,1,9,64,80,96,51,0.68,high
SIN,8,6,6,55,33,69,23,0.64,medium
LHR,11,4,8,5,78,34,15,0.42,low
BOM,19,0,10,15,71,82,16,0.47,medium
BOM,2,1,2,75,20,91,21,0.37,high
CDG,16,2,8,20,73,37,24,0.45,medium
DXB,1,6,6,64,54,34,40,0.05,medium
FRA,18,3,12,70,66,36,50,0.06,high
SYD,14,6,6,51,22,29,38,0.75,medium
JFK,14,2,5,17,47,88,27,0.08,medium
NRT,20,2,8,79,78,97,34,0.68,high
BOM,0,6,12,29,52,56,53,0.42,medium
SYD,21,2,5,59,76,24,55,0.9,medium
JFK,0,1,7,25,26,54,46,0.82,low
BOM,10,6,7,71,56,74,24,0.96,high
LAX,12,2,10,17,68,89,48,0.66,medium
JFK,5,6,9,9,55,46,12,0.04,low
BOM,12,5,1,48,85,88,21,0.08,high
JFK,16,6,10,54,36,57,16,0.6,medium
CDG,14,0,5,36,21,55,32,0.94,medium
SIN,8,5,2,37,40,76,57,0.75,medium
JFK,6,0,10,11,70,99,28,0.57,medium
DXB,22,3,2,45,39,47,9,0.04,medium
FRA,1,6,11,5,62,76,23,0.8,medium
BOM,16,6,12,58,79,48,5,0.37,high
BOM,7,5,8,73,80,88,20,0.85,high
NRT,3,2,12,56,40,44,18,0.31,medium
NRT,13,3,12,20,93,99,22,0.93,high
FRA,1,6,2,35,64,41,11,0.74,medium
CDG,6,6,11,27,84,53,28,0.62,medium
SYD,10,4,5,73,30,89,24,0.78,high
BOM,14,4,8,71,30,76,46,0.55,high
JFK,1,4,2,29,63,66,53,0.37,medium
NRT,7,3,8,53,28,93,51,0.05,medium
DXB,4,5,4,27,51,91,9,0.59,medium
FRA,7,3,1,70,32,41,57,0.41,medium
CDG,14,4,7,54,67,28,30,0.28,medium
