weather_score,aircraft_age_years,crew_availability,atc_restrictions,season,route_distance_km,airline,prev_cancellations,is_international,cancelled
0.43,9,0.64,0,spring,10753,EuroWings,2,1,0
0.5,4,0.88,0,autumn,8653,PacificAir,8,0,0
0.25,5,0.83,0,spring,856,AsiaJet,7,0,1
0.51,13,1.0,1,spring,812,EuroWings,3,0,0
0.11,20,0.66,0,spring,5136,EuroWings,7,1,0
0.39,16,0.92,1,summer,4470,EuroWings,4,0,0
0.45,6,0.65,1,spring,11211,AsiaJet,9,1,1
0.7,1,0.5,1,winter,7554,AeroGulf,7,0,1
0.4,4,0.58,0,winter,12120,AeroGulf,1,1,1
0.67,10,0.75,0,summer,9857,PacificAir,7,0,1
0.17,3,0.91,0,summer,7515,AsiaJet,6,1,0
0.03,3,0.53,0,spring,978,AsiaJet,5,1,0
0.51,12,0.92,0,spring,8446,SkyMind,7,1,0
0.47,8,0.86,0,winter,6000,EuroWings,6,1,1
0.67,24,0.52,0,spring,6925,PacificAir,4,1,0
0.31,23,0.55,1,winter,9908,AsiaJet,4,1,0
0.03,5,0.54,1,spring,6705,SkyMind,9,0,0
0.72,2,0.84,1,spring,9352,SkyMind,6,0,1
0.94,21,0.78,1,winter,5926,AsiaJet,7,0,1
0.39,20,0.68,0,spring,10837,PacificAir,3,0,0
0.61,14,0.54,0,winter,11318,PacificAir,2,0,1
0.54,24,0.7,0,spring,4964,AeroGulf,1,0,0
0.57,6,0.84,1,summer,8105,AeroGulf,5,1,0
0.87,1,0.55,1,autumn,13050,PacificAir,6,1,0
0.74,21,0.93,1,autumn,12242,SkyMind,1,0,1
0.77,24,0.53,1,autumn,11715,AeroGulf,1,1,1
0.09,17,0.8,1,autumn,12005,SkyMind,2,0,1
0.15,1,0.59,1,summer,6791,AeroGulf,3,0,0
0.66,12,0.55,1,winter,7597,SkyMind,4,1,1
0.54,12,0.68,0,autumn,11069,EuroWings,3,0,0
0.77,15,0.83,0,spring,2335,AsiaJet,3,0,1
0.09,3,0.56,1,summer,2667,PacificAir,2,1,1
0.57,14,0.74,1,autumn,9900,EuroWings,6,1,0
0.49,1,0.7,1,autumn,9313,PacificAir,6,1,0
0.85,14,0.71,1,autumn,3081,SkyMind,3,0,1
0.19,14,0.97,1,autumn,10491,AeroGulf,0,0,0
0.35,6,0.67,0,autumn,10842,AeroGulf,1,0,0
0.15,13,1.0,0,autumn,12800,AeroGulf,3,0,0
0.45,5,0.77,1,summer,4928,AsiaJet,3,0,0
0.88,12,0.92,1,spring,6522,AsiaJet,7,0,1
0.67,21,0.67,1,autumn,12048,PacificAir,1,1,1
0.74,3,0.54,0,winter,1440,AeroGulf,0,0,0
0.09,2,0.54,1,autumn,13807,EuroWings,8,1,0
0.45,1,0.79,0,autumn,13332,PacificAir,5,0,0
0.84,18,0.96,0,summer,784,AsiaJet,0,0,0
0.84,15,0.54,0,autumn,6470,AsiaJet,5,1,1
0.99,16,0.84,1,summer,9491,AeroGulf,8,1,1
0.53,5,0.78,0,summer,10632,AsiaJet,8,0,0
0.0,16,0.83,1,spring,4268,SkyMind,4,1,0
0.9,12,0.61,1,summer,8964,AsiaJet,0,1,1
0.96,16,0.54,1,spring,4181,AeroGulf,4,0,0
0.93,11,0.54,1,winter,8134,PacificAir,9,1,0
0.77,8,0.62,1,autumn,8496,AsiaJet,4,0,1
0.21,3,0.61,1,autumn,4414,EuroWings,1,0,0
0.14,21,0.56,1,winter,5679,EuroWings,2,1,0
0.7,16,0.63,0,autumn,13463,SkyMind,3,0,0
0.14,7,0.77,1,autumn,1897,PacificAir,2,0,1
0.95,2,0.97,1,summer,10378,SkyMind,2,0,0
0.45,19,0.96,1,spring,6386,SkyMind,2,0,0
0.03,3,0.64,1,summer,12117,AeroGulf,1,1,0
0.15,11,0.53,1,autumn,10710,AeroGulf,5,0,1
0.29,9,1.0,1,summer,12164,AeroGulf,8,0,0
0.7,11,0.74,0,winter,12499,EuroWings,0,0,1
0.74,1,0.99,0,autumn,5881,AsiaJet,1,0,0
0.21,1,0.77,1,winter,10471,PacificAir,9,0,1
0.65,12,0.94,1,spring,9117,AeroGulf,5,1,0
0.03,10,0.72,1,summer,4067,PacificAir,0,0,0
0.1,23,0.81,1,spring,5260,SkyMind,9,0,1
0.54,12,0.77,1,summer,3494,AsiaJet,6,0,1
0.7,14,0.61,1,spring,3638,EuroWings,2,0,1
0.91,11,0.88,0,winter,1067,PacificAir,5,0,0
0.44,4,0.53,0,winter,5218,AsiaJet,2,0,0
0.12,10,0.68,0,summer,8370,PacificAir,5,0,0
0.93,24,0.93,0,summer,1538,SkyMind,3,0,0
0.44,17,0.75,0,autumn,6643,AeroGulf,8,0,0
0.5,1,0.54,0,summer,9138,SkyMind,2,0,0
0.85,6,0.6,1,winter,12065,PacificAir,4,1,1
0.59,5,0.55,0,spring,4336,EuroWings,5,0,0
0.3,21,0.64,1,spring,11261,PacificAir,9,0,1
0.54,18,0.58,1,winter,1144,EuroWings,0,1,0
0.62,18,0.86,0,spring,5017,EuroWings,6,1,0
0.89,4,0.83,1,autumn,5064,PacificAir,8,0,0
0.23,18,0.57,0,spring,12959,PacificAir,5,1,0
0.56,20,0.72,0,autumn,5748,EuroWings,9,1,1
0.92,21,0.65,0,spring,10280,PacificAir,3,0,0
0.05,20,0.67,1,autumn,2335,AsiaJet,6,1,0
0.19,16,0.79,1,spring,1292,EuroWings,3,0,0
0.35,22,0.95,1,autumn,6174,EuroWings,8,1,1
0.68,15,0.95,0,summer,4752,PacificAir,7,1,0
0.84,13,0.71,0,spring,9117,SkyMind,0,1,0
0.2,3,0.7,0,autumn,3541,AsiaJet,2,0,0
0.25,18,0.76,1,autumn,4194,PacificAir,0,1,1
0.82,1,0.74,1,autumn,9134,AeroGulf,0,1,0
0.15,5,0.53,0,winter,11945,AsiaJet,6,0,0
0.26,4,0.79,1,autumn,4646,AeroGulf,6,0,0
0.73,9,0.79,0,spring,12550,AsiaJet,8,0,0
0.17,1,0.73,1,autumn,2007,EuroWings,0,1,1
0.83,24,0.71,0,spring,10480,AsiaJet,1,0,0
0.49,10,0.97,0,summer,6832,PacificAir,8,1,0
0.45,12,0.8,0,summer,8191,AeroGulf,8,1,0
0.14,12,0.91,0,summer,3347,SkyMind,9,1,0
0.68,15,0.98,0,winter,11465,AeroGulf,1,1,1
0.88,20,0.91,1,spring,2164,EuroWings,3,0,0
0.69,2,0.97,1,summer,756,EuroWings,6,1,0
0.32,15,0.88,1,spring,9432,SkyMind,0,0,1
0.7,3,0.59,1,summer,13067,AsiaJet,1,1,1
0.51,10,0.61,0,summer,4416,AsiaJet,4,0,1
0.85,2,0.6,1,spring,10468,EuroWings,9,0,0
0.46,8,0.66,1,winter,3151,SkyMind,1,0,0
0.24,1,0.68,1,winter,980,EuroWings,5,1,0
0.1,15,0.91,0,summer,6221,AeroGulf,0,1,0
0.28,4,0.68,1,spring,1796,AsiaJet,5,1,0
0.56,3,0.86,0,winter,7948,AeroGulf,4,0,0
0.17,13,0.95,0,spring,1586,AeroGulf,8,1,0
0.04,10,0.56,0,summer,8595,PacificAir,7,1,0
0.45,2,0.5,1,spring,4597,AsiaJet,7,1,0
0.35,19,0.94,0,autumn,6121,EuroWings,9,1,0
0.42,19,0.62,0,winter,5982,EuroWings,8,1,1
0.45,14,0.58,1,autumn,2321,AeroGulf,4,1,1
0.77,9,0.65,1,winter,11877,SkyMind,9,1,1
0.96,19,0.59,0,summer,5825,PacificAir,9,1,1
0.26,20,0.9,0,autumn,5352,PacificAir,6,1,1
0.94,17,0.82,1,summer,574,AeroGulf,2,0,1
0.23,24,0.58,1,spring,9262,PacificAir,5,1,1
0.75,5,0.79,0,spring,2620,PacificAir,7,0,0
0.68,2,0.6,1,autumn,11991,AeroGulf,3,1,1
0.05,7,0.6,0,autumn,3593,EuroWings,9,0,0
0.72,22,0.8,0,autumn,4407,AeroGulf,0,1,0
0.9,2,0.83,0,spring,4766,AeroGulf,2,1,0
0.93,22,0.67,1,autumn,1254,AsiaJet,6,1,0
0.69,12,0.88,0,winter,11111,EuroWings,9,0,0
0.79,14,0.92,1,winter,12252,AeroGulf,5,1,0
0.07,7,0.96,1,summer,6278,AsiaJet,0,1,0
0.16,14,0.81,0,spring,11315,PacificAir,5,1,0
0.26,12,0.61,0,winter,12991,SkyMind,5,0,1
0.53,16,0.87,1,autumn,6302,EuroWings,1,1,1
0.39,14,0.55,0,spring,11925,AsiaJet,5,1,0
0.66,21,0.59,0,spring,958,EuroWings,8,0,1
0.45,21,0.92,0,winter,10456,AsiaJet,7,1,0
0.78,4,0.96,1,summer,7986,PacificAir,2,1,0
0.71,14,0.53,0,summer,5539,PacificAir,2,0,1
0.75,1,0.66,0,winter,7330,SkyMind,4,0,1
0.83,10,0.81,1,autumn,5508,PacificAir,6,0,1
0.83,23,0.97,0,winter,5828,PacificAir,0,1,1
0.78,3,0.79,1,spring,4970,SkyMind,2,0,1
0.07,15,0.91,0,winter,5315,EuroWings,5,1,0
0.62,21,0.96,1,winter,4446,PacificAir,1,1,0
0.02,13,0.76,1,winter,5403,EuroWings,1,0,0
0.74,8,0.87,0,summer,8027,SkyMind,4,1,1
0.06,2,0.83,0,summer,10239,AeroGulf,4,0,0
0.98,20,0.84,0,winter,5834,PacificAir,2,1,1
0.61,9,0.76,1,autumn,806,EuroWings,9,1,0
0.18,11,0.81,0,spring,13605,AsiaJet,3,0,0
0.47,2,0.78,0,autumn,1204,AsiaJet,4,1,0
0.83,8,0.82,1,autumn,13219,AeroGulf,9,0,0
0.18,9,0.75,1,autumn,11275,PacificAir,5,1,1
0.54,12,0.61,0,spring,11440,PacificAir,4,0,1
0.0,19,0.85,0,spring,12841,PacificAir,8,0,1
0.79,15,0.69,0,winter,8744,AsiaJet,5,1,1
0.19,21,0.56,1,autumn,804,AeroGulf,9,0,1
0.39,4,0.93,1,autumn,5743,AsiaJet,1,1,0
0.53,10,0.59,0,autumn,9576,PacificAir,4,0,1
0.14,13,0.77,0,spring,13645,AeroGulf,9,1,0
0.93,24,0.86,1,autumn,12955,AsiaJet,8,0,1
0.47,8,0.82,1,summer,10610,PacificAir,0,1,0
0.23,11,0.58,0,autumn,8637,AeroGulf,9,0,0
0.74,5,0.6,1,autumn,8117,AeroGulf,0,1,1
0.89,21,0.57,0,spring,7536,SkyMind,3,1,0
0.91,15,0.54,1,spring,8725,AeroGulf,6,0,0
0.43,1,0.64,0,summer,13701,SkyMind,8,0,1
0.36,21,0.76,1,winter,9035,PacificAir,1,0,1
0.93,17,0.59,1,autumn,4031,SkyMind,8,0,0
0.05,12,0.99,0,spring,3211,PacificAir,3,1,0
0.75,4,0.85,0,winter,10811,PacificAir,0,1,1
0.18,7,0.79,1,spring,2208,EuroWings,6,1,1
0.47,11,0.84,0,spring,7564,SkyMind,4,0,0
0.95,12,0.72,0,spring,12797,AeroGulf,0,1,0
0.58,16,0.73,0,spring,9815,AeroGulf,0,0,0
0.52,18,0.94,0,spring,5114,PacificAir,9,1,1
0.06,14,0.86,0,winter,3366,SkyMind,1,0,0
0.28,15,0.79,1,autumn,13581,AsiaJet,6,0,1
0.0,17,0.98,1,winter,4061,AeroGulf,6,0,0
0.88,2,0.83,0,spring,7382,AsiaJet,2,0,1
0.64,23,0.7,1,autumn,4755,SkyMind,1,1,1
0.12,3,0.52,0,winter,1189,AeroGulf,9,0,0
0.36,5,0.7,1,winter,618,AsiaJet,7,1,0
0.81,1,0.96,1,autumn,3355,AeroGulf,6,1,0
0.14,10,0.52,1,summer,595,EuroWings,8,1,0
0.23,15,0.59,0,winter,3050,EuroWings,8,1,0
0.54,10,0.9,1,summer,3397,PacificAir,0,0,1
0.14,24,0.68,0,summer,2633,SkyMind,1,1,0
0.38,4,0.59,1,autumn,12034,AeroGulf,6,1,1
0.98,13,0.91,0,autumn,1756,AsiaJet,7,1,1
0.54,16,0.78,0,autumn,1418,AeroGulf,5,1,1
0.7,10,0.77,1,winter,3676,AeroGulf,4,0,0
0.66,2,0.65,0,spring,12248,AsiaJet,5,0,1
0.21,8,0.84,1,summer,8832,AsiaJet,1,1,1
0.85,14,0.93,1,spring,2528,EuroWings,8,1,1
0.12,5,0.88,1,winter,2633,PacificAir,9,1,1
0.92,18,0.81,0,summer,5427,AsiaJet,3,1,1
0.22,22,0.68,0,summer,11088,AeroGulf,8,1,0
0.95,8,0.93,0,spring,11382,EuroWings,7,0,0
0.8,12,0.78,0,autumn,4614,SkyMind,9,0,1
0.17,18,0.94,0,summer,5855,EuroWings,3,1,0
0.16,13,0.63,1,winter,12887,EuroWings,4,0,0
0.08,5,0.83,1,autumn,11174,EuroWings,9,0,1
0.25,11,0.97,1,spring,12442,AeroGulf,6,1,0
0.66,3,0.69,0,summer,2745,AsiaJet,4,0,1
0.52,16,0.98,1,autumn,769,PacificAir,1,1,0
0.61,8,0.7,1,summer,1167,SkyMind,7,1,0
0.03,17,0.72,1,winter,914,PacificAir,9,1,1
0.08,6,0.9,0,autumn,13484,AeroGulf,7,1,0
0.69,13,0.63,0,autumn,2208,PacificAir,7,0,0
0.85,17,0.85,0,autumn,7117,PacificAir,9,0,0
0.36,3,0.65,0,spring,7782,SkyMind,7,0,0
0.17,13,0.8,0,summer,11641,EuroWings,5,0,0
0.31,8,0.89,0,autumn,5612,AsiaJet,9,1,0
0.41,8,0.51,0,spring,7965,AsiaJet,1,0,1
0.63,19,0.54,0,winter,12278,PacificAir,3,0,1
0.41,10,0.97,1,autumn,6012,SkyMind,1,1,1
0.9,24,0.91,1,autumn,8438,AsiaJet,1,1,1
0.4,15,0.94,0,winter,6724,AsiaJet,8,1,0
0.18,22,0.72,1,winter,13070,AsiaJet,8,0,0
0.25,7,0.86,1,winter,10072,PacificAir,4,1,1
0.47,18,1.0,1,spring,11227,AeroGulf,2,0,1
0.78,1,0.72,1,spring,2274,PacificAir,8,1,1
0.87,13,0.92,1,winter,2212,PacificAir,6,1,1
0.19,17,0.54,1,summer,1271,AeroGulf,3,0,0
0.0,19,0.77,1,spring,5341,AsiaJet,2,1,0
0.87,23,0.67,1,autumn,11939,PacificAir,7,0,1
0.23,2,0.76,1,winter,3771,EuroWings,5,1,0
0.82,22,0.56,1,spring,9086,AsiaJet,3,1,1
0.55,8,0.68,0,spring,5936,AsiaJet,8,0,1
0.4,11,0.54,0,winter,11849,AsiaJet,0,0,1
0.15,12,0.73,1,autumn,10598,PacificAir,4,0,0
0.67,3,0.72,1,autumn,532,SkyMind,2,1,1
0.82,21,0.66,0,winter,9053,SkyMind,1,1,0
0.46,5,0.97,0,summer,671,AeroGulf,4,0,1
0.45,12,0.54,0,autumn,5395,SkyMind,2,1,0
0.76,24,0.91,0,winter,11467,AsiaJet,6,0,1
0.5,1,0.68,0,spring,13557,EuroWings,0,1,0
0.79,11,0.6,0,winter,4434,EuroWings,4,1,1
0.05,3,0.64,0,winter,4218,AsiaJet,6,0,0
0.86,22,0.95,1,winter,13222,PacificAir,5,1,0
0.26,22,0.91,0,spring,11464,PacificAir,1,0,1
0.17,20,0.51,1,autumn,10713,AsiaJet,4,0,0
0.03,21,0.57,0,summer,7423,AsiaJet,2,0,0
0.83,10,0.84,1,summer,13027,AeroGulf,1,0,1
0.06,13,0.66,0,winter,7102,PacificAir,7,0,0
0.95,19,0.96,1,autumn,1434,SkyMind,1,0,1
0.56,13,0.89,1,spring,11905,SkyMind,3,1,1
0.7,20,0.94,1,autumn,733,PacificAir,7,0,0
0.73,14,0.6,1,spring,1088,EuroWings,9,0,1
0.29,10,0.58,0,spring,2307,AsiaJet,8,1,0
0.81,17,0.97,0,spring,9551,AeroGulf,5,0,0
0.95,6,0.7,0,winter,11013,AeroGulf,4,0,0
0.37,5,0.71,0,autumn,12098,AeroGulf,3,1,0
0.84,14,0.84,1,spring,10949,SkyMind,0,0,0
0.77,14,0.7,0,autumn,8226,EuroWings,9,1,0
0.59,5,0.94,0,autumn,4030,EuroWings,4,0,0
0.37,20,0.98,0,summer,11302,AeroGulf,3,1,0
0.42,11,0.67,1,summer,11396,AsiaJet,5,0,1
0.31,5,0.6,0,summer,4187,AsiaJet,5,0,0
0.43,23,0.54,0,winter,12647,AsiaJet,6,0,0
0.99,19,0.61,0,autumn,10799,AeroGulf,3,1,1
0.36,15,0.57,0,autumn,3321,AsiaJet,0,1,0
0.67,17,0.51,0,autumn,4884,PacificAir,2,0,1
0.32,17,0.52,0,winter,10056,AeroGulf,8,0,0
0.47,3,0.75,0,summer,4712,EuroWings,4,0,0
0.08,19,0.85,1,spring,2218,SkyMind,2,1,0
0.76,5,0.99,0,winter,3732,PacificAir,7,1,1
0.66,24,0.58,1,spring,9400,SkyMind,0,0,1
0.35,22,0.85,1,summer,7431,PacificAir,3,1,0
0.52,8,0.78,1,summer,13450,AeroGulf,2,0,0
0.87,23,0.74,1,spring,4888,EuroWings,1,1,1
0.04,1,0.86,1,summer,7125,PacificAir,1,0,1
0.93,14,0.62,1,winter,963,AeroGulf,4,0,1
0.47,10,0.66,1,autumn,10995,EuroWings,6,0,0
0.86,8,0.69,0,autumn,8865,SkyMind,8,0,0
0.86,1,0.59,1,summer,6414,PacificAir,4,0,0
0.06,5,0.74,1,autumn,9079,AeroGulf,1,1,0
0.78,19,0.57,1,winter,5421,PacificAir,3,1,1
0.73,7,0.66,1,autumn,13058,AsiaJet,3,0,0
0.04,5,0.56,1,autumn,12589,PacificAir,5,0,0
0.94,2,0.52,0,winter,1446,EuroWings,1,1,1
0.63,15,0.68,0,winter,8926,AsiaJet,2,1,0
0.17,1,0.81,0,spring,11311,EuroWings,5,1,0
0.12,10,0.58,0,summer,11483,SkyMind,3,0,0
0.56,6,1.0,1,winter,1907,AsiaJet,5,1,0
0.06,6,0.64,0,autumn,12355,AsiaJet,5,0,0
0.16,14,0.51,0,winter,10645,EuroWings,2,1,0
0.95,8,0.51,0,winter,13410,AeroGulf,6,0,0
0.74,18,0.83,1,summer,7105,PacificAir,3,0,0
0.61,5,0.83,1,winter,8014,SkyMind,6,0,1
0.21,21,0.95,0,autumn,5813,SkyMind,8,1,0
0.22,14,0.55,0,winter,9964,AeroGulf,2,1,1
0.45,10,0.69,0,spring,2704,EuroWings,8,0,1
0.75,24,0.94,1,winter,5112,SkyMind,1,0,0
0.0,9,0.9,0,autumn,12879,PacificAir,4,1,0
0.04,21,0.62,1,winter,6133,AeroGulf,3,1,0
0.87,21,0.94,1,spring,2261,AsiaJet,9,0,0
0.81,3,0.84,1,autumn,1270,PacificAir,6,0,1
0.69,6,0.63,0,spring,10268,EuroWings,6,0,0
0.5,7,0.52,0,autumn,12937,EuroWings,2,1,0
0.15,19,0.75,1,winter,3633,AeroGulf,3,0,1
0.1,15,0.86,1,autumn,2404,AsiaJet,6,0,0
0.91,2,0.63,1,winter,8995,AsiaJet,2,1,1
0.38,14,0.58,0,spring,8653,AeroGulf,0,1,1
0.7,14,0.54,0,autumn,6775,AeroGulf,1,1,1
0.46,12,0.92,1,winter,6104,AeroGulf,4,0,0
0.73,18,0.53,1,autumn,13588,AsiaJet,4,1,1
0.19,6,0.8,1,winter,11813,EuroWings,7,0,1
0.48,2,0.88,0,autumn,13804,EuroWings,2,0,0
0.38,21,0.89,1,winter,2662,PacificAir,8,1,0
0.25,23,0.83,1,winter,5371,EuroWings,4,0,1
0.6,1,0.83,1,spring,6051,AeroGulf,9,0,0
0.54,24,0.74,1,winter,896,PacificAir,2,1,0
0.5,11,0.71,1,summer,3853,SkyMind,7,1,0
0.59,15,0.57,0,autumn,12198,AsiaJet,1,0,1
0.14,6,0.77,1,autumn,5910,PacificAir,7,0,0
0.37,17,0.54,1,spring,13026,SkyMind,8,0,0
0.32,8,0.73,0,summer,12764,AeroGulf,7,1,0
0.77,21,0.87,1,winter,1459,EuroWings,9,1,0
0.04,23,0.72,0,autumn,12380,EuroWings,0,1,0
0.28,20,0.75,0,autumn,6926,PacificAir,8,0,1
0.92,18,0.92,1,winter,4385,SkyMind,0,0,0
0.3,12,0.82,1,summer,8370,EuroWings,8,0,0
0.15,8,0.56,1,autumn,4067,AeroGulf,9,1,1
0.76,20,0.77,0,summer,4689,SkyMind,1,1,1
0.05,24,0.68,1,spring,2254,SkyMind,7,1,0
0.43,9,0.6,1,spring,6558,EuroWings,8,0,0
0.86,11,0.82,1,summer,11724,PacificAir,5,0,0
0.95,13,0.69,0,spring,3792,PacificAir,5,0,0
0.25,4,0.88,1,summer,5738,PacificAir,2,1,0
0.3,8,0.79,0,winter,4612,EuroWings,9,0,0
0.57,4,0.55,0,autumn,12015,AsiaJet,8,0,0
0.23,14,0.68,1,spring,9503,AeroGulf,7,0,0
0.15,24,0.63,0,summer,2229,AeroGulf,1,1,0
0.43,17,0.57,1,summer,1328,PacificAir,4,1,0
0.07,2,0.9,0,summer,5019,PacificAir,6,0,0
0.89,12,0.69,1,autumn,9923,AeroGulf,0,0,0
0.33,12,0.81,1,autumn,2891,EuroWings,7,0,0
0.34,19,0.94,1,autumn,6571,SkyMind,2,0,0
0.79,18,0.77,0,spring,6321,AeroGulf,9,0,1
0.34,24,0.63,0,autumn,9160,AeroGulf,1,1,0
0.76,10,0.9,0,summer,13036,SkyMind,6,1,0
0.18,9,0.72,1,autumn,10126,SkyMind,4,0,0
0.53,16,0.78,0,spring,2929,AsiaJet,7,0,1
0.77,1,0.95,0,autumn,798,AeroGulf,0,1,0
0.45,16,0.74,1,summer,11071,SkyMind,8,0,1
0.07,24,0.67,1,winter,10025,AeroGulf,5,1,0
0.74,8,0.86,1,spring,1260,SkyMind,7,0,0
0.49,19,0.57,1,summer,11495,PacificAir,5,1,1
0.32,24,0.96,1,autumn,5970,PacificAir,6,0,0
0.99,2,0.96,0,spring,1693,PacificAir,7,1,0
0.88,18,0.79,1,spring,529,AeroGulf,8,0,0
0.04,20,0.58,1,summer,6813,AeroGulf,3,1,1
0.59,23,0.73,0,spring,7639,AeroGulf,2,0,0
0.35,20,0.71,1,spring,2084,EuroWings,9,0,1
0.04,18,0.65,1,winter,5212,PacificAir,9,1,0
0.01,21,0.59,0,spring,1353,SkyMind,1,1,0
0.58,24,0.63,1,winter,12418,AsiaJet,1,0,1
0.32,14,0.78,0,summer,10570,EuroWings,3,1,0
0.7,7,0.84,0,autumn,13342,AeroGulf,7,1,0
0.45,7,0.99,1,summer,10134,PacificAir,5,1,0
0.77,5,0.61,0,winter,2631,EuroWings,2,1,1
