aircraft_type,flight_hours,cycles,engine_temp_c,vibration_level,oil_pressure_psi,hydraulic_pressure,age_years,last_maintenance_days,needs_maintenance
A350,10333,13402,621.3,0.92,61.6,2873.5,7,39,1
B787,31008,14547,739.8,0.817,50.8,3322.8,16,312,1
A320,6032,2182,589.2,0.146,57.0,2995.7,4,247,1
A350,12761,13380,673.9,0.46,64.5,3158.7,6,176,1
B787,32956,3313,787.7,0.902,69.5,3280.8,3,97,1
A320,15634,16939,667.9,0.853,51.5,2960.4,22,230,1
B787,22660,19056,658.1,0.768,65.3,2922.6,8,353,1
B777,33100,15212,655.9,0.867,59.8,2924.3,20,209,1
A380,37497,15917,690.8,0.886,63.7,2988.5,9,334,1
B737,3026,12984,577.8,0.215,51.7,2991.7,21,205,1
A320,47772,3637,696.7,0.542,63.7,3381.7,10,303,1
B777,47792,174,589.3,0.105,68.2,3201.4,20,38,1
B777,29769,9065,597.5,0.919,63.6,2812.3,11,266,1
B777,19831,10615,607.5,0.693,47.6,3385.9,3,282,1
B787,29722,13390,639.8,0.017,72.8,3147.6,3,279,1
B737,41616,2208,597.5,0.022,54.2,2835.6,4,60,1
A380,17650,7529,641.0,0.011,57.2,3016.0,22,58,1
A380,12798,6602,658.0,0.809,62.3,3016.7,12,312,1
A380,41359,4857,713.1,0.127,63.0,3068.8,14,265,1
B777,41945,16263,610.0,0.17,74.7,2864.3,16,59,1
B777,22556,12230,685.3,0.422,38.8,3119.6,14,48,1
A380,11556,11925,619.0,0.928,65.4,3321.6,4,232,1
B737,19240,10984,638.9,0.811,67.7,3194.6,15,332,1
B787,49226,8522,667.0,0.852,61.3,2612.8,9,243,1
A380,7075,17603,696.2,0.759,57.2,2871.4,7,225,1
A380,20926,19021,664.6,0.078,47.5,3030.2,21,70,1
B787,4925,17684,647.0,0.574,62.7,3011.7,2,130,0
A350,10220,4420,620.5,0.082,81.0,3291.8,16,83,1
A350,41941,164,597.7,0.148,74.6,3291.0,11,74,1
A350,9261,2186,751.3,0.522,61.0,2790.1,11,25,1
A380,36198,10326,660.6,0.263,50.6,2876.5,12,43,1
A320,23447,12935,712.0,0.521,68.9,3167.9,23,183,1
B777,31370,5805,659.9,0.9,64.6,3346.7,7,146,1
B777,39230,12825,573.1,0.787,39.7,3159.5,18,250,1
A320,18258,4622,731.8,0.266,45.6,3088.8,12,17,1
A380,9329,3847,596.4,0.15,83.6,2971.0,7,244,1
B777,45708,13328,667.8,0.85,48.4,3292.2,7,195,1
A320,38879,17630,482.3,0.138,58.5,2706.9,18,344,1
A350,19798,16198,693.8,0.496,68.1,2681.3,21,42,1
B787,45736,12188,659.8,0.108,59.3,3362.2,17,134,1
B737,6927,9990,619.7,0.83,54.6,2979.1,24,334,1
A380,40852,18930,700.3,0.299,70.2,2895.5,9,354,1
A380,24662,7572,646.7,0.571,65.4,3264.1,11,48,1
B777,8103,17312,633.9,0.963,64.6,3073.9,10,0,1
A350,45171,11804,677.0,0.15,50.0,2984.8,18,145,1
B737,45946,17894,615.0,0.556,60.0,2922.1,13,153,1
B787,27865,7446,614.5,0.129,72.1,3104.0,17,173,1
B787,37406,2554,658.3,0.442,60.4,3141.6,9,5,1
A320,28163,10575,629.4,0.649,59.2,2985.5,13,163,1
A380,11656,6585,692.9,0.41,57.2,3076.5,6,168,1
A320,8669,3990,697.7,0.431,67.8,2962.0,9,201,1
B777,1918,3231,735.2,0.599,57.9,2702.2,10,54,0
B787,35022,12101,658.6,0.835,60.9,2696.9,8,130,1
B787,8137,16631,653.5,0.207,45.7,3115.2,5,47,0
B777,3422,14479,582.6,0.934,62.8,2950.3,12,144,1
B737,34189,7566,647.5,0.967,48.0,3139.2,4,55,1
A380,26659,3093,541.0,0.765,64.8,2749.3,9,342,1
A350,48936,1439,672.1,0.856,52.0,3245.9,16,249,1
A350,33296,12243,592.2,0.737,53.1,2961.2,15,27,1
A380,21248,4110,541.5,0.723,54.8,3041.5,11,128,1
A350,5604,8006,634.8,0.78,60.8,3246.0,7,362,1
B777,37047,3217,647.7,0.083,64.8,2921.1,2,279,1
B737,13346,4066,586.7,0.841,75.7,3134.1,14,225,1
B777,15058,11202,688.4,0.228,68.0,3097.2,7,42,1
B737,25849,6267,517.8,0.514,61.1,3023.7,22,299,1
A380,42526,11116,765.0,0.926,67.6,3186.1,2,53,1
A320,9625,3008,670.6,0.419,50.2,2936.7,7,212,1
A320,45210,10964,592.2,0.598,61.4,3188.9,6,32,1
A320,6723,15741,603.6,0.654,79.9,3449.8,2,170,1
A350,17899,12676,644.4,0.981,47.2,3199.6,8,48,1
A350,30189,12351,631.3,0.393,68.3,3029.4,19,200,1
B737,1507,12012,619.9,0.209,62.4,2823.4,18,282,1
A350,9974,4272,677.4,0.378,49.6,3310.4,17,206,1
B737,2120,8154,715.7,0.474,57.4,3074.9,22,285,1
A350,16098,4188,594.8,0.974,70.9,2966.3,11,352,1
B787,23684,886,611.0,0.911,78.7,3204.3,24,13,1
B787,22876,4503,632.7,0.607,69.1,3109.7,5,38,1
A350,21902,12261,691.3,0.111,63.5,3040.9,2,229,1
B787,14413,17193,656.7,0.536,54.6,2963.8,11,251,1
B787,26859,10811,664.3,0.941,62.4,3096.0,1,17,1
A380,36269,13479,667.2,0.391,60.4,3092.2,2,180,1
B777,39500,14617,629.8,0.022,55.8,2654.7,8,180,1
B777,15556,7703,744.8,0.688,39.0,2977.6,2,20,1
B737,27705,12649,693.1,0.645,51.6,3240.8,13,43,1
A380,8155,13092,565.5,0.282,53.3,2926.2,17,95,1
B787,44037,12552,747.1,0.925,60.1,3261.3,15,201,1
A350,439,1945,590.7,0.214,53.7,3018.7,24,316,1
B737,14448,16598,676.4,0.971,72.7,3205.8,14,5,1
B787,9349,7681,624.6,0.741,69.3,3062.7,7,254,1
B787,44906,14601,778.0,0.917,50.0,3093.8,3,144,1
B777,26655,4707,662.0,0.522,56.6,2856.9,18,140,1
A320,39506,7367,617.7,0.582,56.0,2813.6,13,214,1
B737,1733,19475,687.8,0.481,60.4,2783.4,4,266,0
A350,13215,727,605.4,0.644,66.6,2840.0,4,346,1
A380,20704,2383,633.3,0.766,57.6,2951.6,23,342,1
A320,39654,11473,749.4,0.087,55.1,2937.1,14,351,1
B787,39947,13131,618.4,0.159,72.2,2985.3,18,330,1
A380,22309,11732,734.3,0.43,47.5,3319.8,7,314,1
A350,43658,9981,622.4,0.485,75.5,3124.4,9,104,1
B777,11461,17043,673.3,0.835,67.5,2817.4,4,257,1
A320,7350,16538,654.2,0.905,62.8,2889.2,21,102,1
A350,29739,18283,638.9,0.484,49.2,2849.2,16,290,1
B787,33536,6144,744.2,0.264,77.2,3001.4,5,165,1
A380,22860,14287,581.9,0.637,73.6,2849.9,21,76,1
B737,47791,15537,638.7,0.665,49.9,2616.5,2,51,1
B737,36543,6840,596.9,0.195,67.5,3202.1,6,41,1
A320,45243,13084,591.1,0.359,55.4,2941.1,16,5,1
B737,24366,17521,609.1,0.693,61.5,2675.2,15,56,1
A350,34516,7509,686.8,0.899,70.8,2878.8,8,244,1
B787,31806,4714,567.1,0.468,64.5,2621.2,11,128,1
A320,28445,1592,671.6,0.062,73.9,2776.7,5,304,1
A380,38503,7469,617.7,0.353,74.1,2721.2,23,34,1
A350,35029,7646,713.6,0.92,79.5,2963.6,4,35,1
A380,45299,6128,634.5,0.893,49.1,3455.9,18,288,1
B737,48134,10410,645.2,0.382,79.8,2580.4,11,360,1
B737,12298,6372,657.9,0.151,44.5,2665.0,23,281,1
B737,38509,1926,635.0,0.655,69.7,2784.4,11,282,1
A380,44471,16892,592.5,0.329,54.5,3204.8,7,77,1
B737,26870,12948,662.6,0.316,77.0,3242.4,1,108,0
B737,34497,16819,651.6,0.646,70.4,3106.2,15,199,1
A320,40142,5999,680.4,0.725,62.5,2627.5,23,116,1
A320,17717,13842,632.0,0.417,60.3,2991.7,24,244,1
A380,21816,9503,590.9,0.456,69.6,2774.1,4,199,1
A350,14170,2103,595.7,0.874,60.2,2722.8,5,159,1
B737,28600,832,650.8,0.367,80.3,2998.7,20,55,1
B787,18864,1922,606.7,0.308,55.3,2930.6,8,36,1
A380,14062,13506,649.6,0.7,63.8,2940.1,3,335,1
A350,22709,12846,714.9,0.57,71.6,3080.9,14,315,1
A320,4749,12743,583.5,0.123,49.2,3125.1,16,18,1
A320,13284,3105,612.9,0.952,66.9,3095.1,9,212,1
B787,11834,10527,697.4,0.713,65.7,2915.3,3,359,1
A320,10711,5088,544.7,0.911,62.2,2781.8,23,291,1
A320,28429,6871,672.4,0.3,39.4,2738.4,18,243,1
A380,34285,13325,721.4,0.598,64.7,3022.8,10,28,1
B777,5900,14245,686.1,0.246,45.3,2955.7,13,155,1
B737,24400,5691,617.0,0.547,74.2,2947.1,19,363,1
B737,5358,17676,693.1,0.874,39.2,2698.6,20,57,1
B787,366,3742,648.0,0.893,76.2,3081.7,18,227,1
B787,15847,8137,669.2,0.989,51.2,2896.3,9,296,1
A350,32333,6247,752.8,0.983,50.3,3143.8,21,14,1
B787,24946,6098,708.6,0.522,54.2,2996.4,15,6,1
B777,19050,1193,526.2,0.31,52.7,3078.9,23,8,1
B737,36186,13838,665.5,0.928,68.2,2586.3,12,156,1
B787,46793,14017,620.9,0.239,54.7,3244.1,6,108,1
A320,12669,8439,589.6,0.387,61.8,3061.1,8,219,1
B737,2598,4435,617.6,0.998,53.3,2763.8,16,267,1
B787,12933,4343,687.8,0.252,67.3,3044.3,17,185,1
B787,22111,10069,663.7,0.626,76.3,2762.0,22,40,1
A350,34305,3665,659.2,0.18,50.1,3075.3,6,218,1
A350,25737,10652,776.3,0.203,57.8,2942.5,22,206,1
B787,41774,11374,643.2,0.104,57.1,2774.5,22,79,1
B777,40779,15163,651.9,0.047,44.3,3052.2,24,258,1
B737,16770,13430,559.7,0.807,51.3,2713.5,15,58,1
B737,21931,12767,676.6,0.859,46.8,3179.9,6,23,1
A350,32520,1381,677.0,0.039,61.5,3204.0,21,256,1
B777,39518,3633,705.4,0.742,67.2,3027.3,11,364,1
B777,47007,4954,595.3,0.163,42.9,2973.1,10,262,1
B777,26594,731,630.8,0.339,57.9,2881.8,21,360,1
B737,395,6788,625.5,0.09,60.2,2919.5,5,288,1
A350,39587,9391,671.9,0.257,65.0,2898.9,14,353,1
B737,2141,8016,662.1,0.513,63.7,2982.8,18,190,1
B737,3655,5690,645.4,0.957,69.4,3060.8,12,294,1
B787,37549,18008,642.7,0.5,62.8,2765.4,15,91,1
B777,45851,10854,634.4,0.889,50.2,2994.9,5,316,1
B787,23723,19854,653.1,0.055,59.1,2952.3,16,227,1
A380,10108,19741,607.4,0.468,66.2,2855.8,1,91,1
A350,33908,16064,603.7,0.07,53.1,3170.3,9,286,1
B737,38328,2454,656.2,0.291,65.7,3178.3,15,103,1
A350,35584,3386,640.6,0.048,57.2,3056.0,5,340,1
B787,10678,12128,669.5,0.367,60.1,3093.6,17,173,1
B737,48420,3688,577.8,0.427,54.1,3207.3,14,279,1
B787,31604,17123,656.1,0.343,65.7,2743.7,10,196,1
A380,31585,14527,619.9,0.616,56.1,2739.9,10,323,1
A380,8267,19846,705.6,0.53,56.5,2929.2,2,158,1
A320,49264,10925,586.4,0.225,53.8,3075.0,12,52,1
B737,25863,4915,653.8,0.214,67.9,2912.3,17,110,1
A320,651,8275,675.7,0.467,66.8,3141.8,3,203,0
B787,24560,14065,596.2,0.245,60.5,3123.2,9,215,1
A350,49287,5320,685.6,0.571,62.9,3184.1,21,161,1
B787,48395,8902,642.6,0.986,61.4,2865.1,12,218,1
A350,12756,6357,701.4,0.016,48.8,2967.1,8,342,1
B737,3191,674,687.8,0.382,56.2,2797.1,2,213,1
B737,45272,9736,572.1,0.764,67.4,2930.7,10,93,1
B787,31686,14298,632.8,0.27,52.2,2767.9,6,168,1
B737,48591,1653,707.3,0.487,57.5,2908.7,17,303,1
A350,6886,19055,679.9,0.233,65.5,3083.5,8,49,0
B787,24652,19596,661.8,0.695,44.2,3184.2,18,279,1
A320,34418,18852,629.6,0.122,70.6,2981.7,14,1,1
A380,29759,8298,699.3,0.778,72.6,2604.2,24,64,1
A350,27064,2780,592.1,0.489,58.7,3025.3,14,276,1
A380,6418,16416,670.5,0.19,59.0,3058.8,14,30,0
B787,47977,15943,636.2,0.516,51.2,3007.4,11,311,1
A320,40539,18435,682.5,0.95,66.3,3097.3,5,43,1
B777,12192,8663,791.4,0.843,56.0,2988.7,13,184,1
B737,23669,8551,748.5,0.984,57.2,2941.4,3,312,1
B737,29924,14851,627.3,0.33,64.1,3124.7,1,205,1
A320,35515,9345,706.2,0.983,51.8,3056.6,8,258,1
B777,17240,1197,639.1,0.393,46.7,3053.9,14,257,1
B737,28986,3525,560.6,0.525,65.4,3206.3,7,1,1
B737,46392,975,606.6,0.643,62.6,3123.0,8,266,1
A350,2736,17429,636.0,0.948,41.8,3253.4,21,251,1
B787,34403,15997,662.7,0.821,39.7,3027.5,5,281,1
B737,43147,9820,620.7,0.739,52.0,3402.2,1,225,1
B787,7740,8172,693.9,0.296,78.3,3148.7,8,208,1
B777,34438,10170,596.4,0.541,45.6,2909.1,9,235,1
A350,49560,8985,690.6,0.762,62.8,2656.1,1,312,1
B777,29191,11883,614.5,0.582,58.4,3025.1,4,62,1
B787,21749,7601,607.8,0.191,43.6,3283.8,9,250,1
B787,9666,8229,588.4,0.585,39.3,3080.2,2,203,1
A350,46834,2758,640.1,0.632,51.7,3161.3,22,255,1
B787,30392,6158,639.2,0.535,60.1,2664.8,4,48,1
A350,45700,2297,739.8,0.681,84.0,3145.2,20,308,1
B777,19132,7394,642.0,0.468,83.4,3336.3,17,192,1
B777,43625,13397,755.7,0.696,64.1,3022.4,18,124,1
A320,44658,4335,633.9,0.415,63.6,3112.0,12,39,1
B777,31767,16732,656.4,0.406,60.5,3337.4,8,27,1
A320,33650,216,599.8,0.622,50.9,3148.9,8,61,1
B737,45287,5071,638.8,0.855,52.7,2912.5,6,134,1
A350,6665,6331,536.5,0.791,48.4,2788.7,24,361,1
B787,15721,9906,585.8,0.669,51.1,2753.8,5,292,1
A350,24318,11191,686.6,0.76,63.5,3192.3,24,115,1
A380,17755,11541,777.7,0.327,51.7,3465.2,15,77,1
A320,46805,179,616.5,0.592,51.0,3252.2,12,255,1
A350,23977,2008,692.2,0.318,56.6,2942.4,24,178,1
A350,23033,13192,615.3,0.785,48.1,3417.2,20,42,1
B777,47477,6977,625.3,0.183,51.8,2797.5,4,284,1
A380,8892,12478,667.2,0.015,50.4,3104.6,17,124,1
B737,16866,4179,587.3,0.737,53.2,2874.8,17,124,1
A320,41235,15540,693.3,0.062,85.9,2540.1,14,345,1
A380,28388,6704,719.9,0.38,60.3,3248.5,19,319,1
A380,3679,15755,646.4,0.621,68.5,3162.3,11,98,1
B737,48672,3376,649.0,0.991,59.2,2761.7,15,331,1
B787,32246,1923,511.7,0.467,45.2,3126.3,4,352,1
B737,28325,8698,646.4,0.724,66.6,2965.6,7,5,1
B777,38595,6943,633.6,0.856,56.5,2982.3,6,269,1
A320,9236,9788,585.4,0.811,56.0,2955.4,7,84,1
B737,30020,2012,698.5,0.879,60.9,3350.7,10,342,1
B787,12230,10568,566.2,0.551,62.2,3123.8,17,255,1
B737,1874,1139,690.1,0.994,73.9,3058.2,4,293,1
B777,48289,12431,636.2,0.89,58.5,2903.5,6,181,1
A320,41207,7679,738.7,0.332,47.4,3061.4,7,274,1
B777,9901,14428,740.4,0.486,59.7,3062.7,9,53,1
A320,13519,183,697.1,0.406,71.1,3097.7,6,141,0
A320,24603,19262,726.7,0.648,62.1,3511.1,11,116,1
A350,32103,11654,668.1,0.637,59.5,3065.3,11,55,1
B777,5331,12623,745.0,0.129,44.7,2894.1,7,44,1
B777,17939,5510,631.2,0.707,69.5,3040.3,17,267,1
B737,12372,690,688.5,0.17,76.6,2946.1,12,300,1
A350,46074,10972,665.6,0.418,62.8,3019.2,21,313,1
B777,40120,14817,677.1,0.234,63.2,2727.1,1,92,1
B787,15133,4619,613.5,0.836,63.8,2894.3,9,192,1
A380,12516,13442,625.7,0.744,61.9,2744.0,15,92,1
A380,4630,13568,650.6,0.833,48.4,2855.6,23,351,1
A380,18886,18012,653.8,0.528,50.9,2931.2,9,74,1
A320,42910,16894,680.3,0.177,60.7,2630.6,22,153,1
A320,28905,12087,669.0,0.501,44.8,3144.8,7,292,1
B787,34952,15146,613.0,0.875,69.6,2705.3,8,303,1
B777,19639,9639,609.6,0.868,47.2,2872.1,16,226,1
B737,282,10050,653.1,0.173,74.5,2862.8,12,203,0
B737,15323,910,645.8,0.609,63.5,2755.1,10,91,1
A350,4590,6812,518.6,0.658,49.0,3233.2,3,289,1
A350,17173,12989,656.5,0.643,43.1,3149.0,5,83,1
A320,22622,4817,670.8,0.066,70.3,3104.0,20,28,1
A380,15651,17188,686.6,0.12,57.8,3054.3,18,153,1
B787,24745,10062,662.3,0.41,49.3,3053.9,20,203,1
A380,38236,6483,647.1,0.912,84.7,3004.9,10,284,1
B777,21365,3532,636.6,0.254,65.7,3267.7,16,279,1
A350,1281,8626,760.3,0.247,61.7,3057.0,16,7,1
B777,45185,11599,623.1,0.419,49.9,3145.5,24,347,1
A380,24308,8331,643.9,0.701,67.2,2677.7,16,94,1
B737,26656,9308,626.7,0.406,60.3,2740.1,13,263,1
B737,12896,17466,594.8,0.92,56.8,3115.0,13,36,1
B777,33641,19906,679.8,0.928,68.8,3086.7,5,261,1
B777,31477,7603,595.3,0.949,53.8,3117.4,5,251,1
A380,12401,15709,660.1,0.333,55.8,2902.9,11,87,1
B787,28648,882,694.4,0.456,69.2,3251.6,4,237,1
B787,6607,18666,605.8,0.73,64.9,3218.5,6,204,1
A380,15494,16997,608.5,0.946,54.9,2954.7,22,230,1
B777,47184,14752,723.9,0.623,81.6,2789.0,20,258,1
A320,37215,12876,718.8,0.489,68.6,2988.1,9,178,1
B777,10283,11409,637.8,0.583,50.3,3232.7,21,219,1
A350,49421,4363,690.3,0.203,53.8,2980.1,15,48,1
B777,41295,18390,654.8,0.914,55.0,3189.5,3,293,1
A320,21247,9394,501.4,0.646,63.7,3067.9,5,115,1
B737,5684,4275,758.3,0.206,70.0,3252.5,9,311,1
B787,9771,3103,641.2,0.438,74.0,2655.9,8,301,1
B787,34751,3654,697.9,0.226,42.0,3023.4,12,218,1
B777,8513,15441,746.3,0.732,61.5,3307.0,8,19,0
A350,8564,4800,658.8,0.766,59.1,2713.6,19,188,1
A350,6019,18563,699.3,0.854,68.2,3336.8,20,75,1
B777,2437,7104,617.7,0.865,68.2,3015.3,2,254,1
B737,3248,17857,679.7,0.352,69.6,2846.6,8,110,1
A320,45223,8293,675.4,0.903,58.2,2850.7,2,54,1
A350,26412,11955,593.5,0.421,75.1,2915.4,23,171,1
B737,18038,18128,681.9,0.927,52.5,2995.9,6,175,1
B787,9174,8801,586.4,0.653,75.9,3180.8,1,65,0
B777,1324,16494,658.8,0.788,70.8,3109.6,20,106,1
A380,33831,15365,710.2,0.907,49.6,2780.8,4,183,1
A350,15543,12822,681.1,0.103,42.3,2940.3,19,293,1
A350,30284,12110,671.7,0.395,57.2,2955.8,24,338,1
B777,38102,2230,578.1,0.942,43.3,3138.1,19,242,1
A350,33561,7734,648.6,0.501,49.8,3038.5,4,138,1
A380,49525,3160,561.2,0.782,55.8,3214.0,2,223,1
B737,29346,8572,645.5,0.926,43.6,3214.5,23,340,1
B737,32940,17582,594.0,0.771,38.0,3146.3,13,159,1
B777,9090,18521,741.6,0.306,61.4,2509.8,19,17,1
B787,49219,13766,601.1,0.599,75.8,2821.9,5,75,1
A350,47884,18547,717.6,0.147,70.0,2819.2,12,10,1
B787,34683,3856,718.8,0.294,30.2,3120.0,14,294,1
B777,18671,17470,528.2,0.111,54.4,3145.4,20,311,1
B737,48549,10438,714.8,0.666,59.4,3258.2,15,50,1
A380,289,756,664.4,0.198,71.5,3220.0,4,71,0
A380,36623,9755,587.7,0.148,61.0,3041.3,16,274,1
A380,27607,17155,641.4,0.802,60.4,2906.0,14,87,1
B737,28991,6101,618.8,0.511,62.5,3205.5,22,166,1
B787,37203,18477,600.0,0.735,36.7,2755.6,7,64,1
A350,29087,18527,688.7,0.472,51.3,2810.2,8,81,1
A350,49608,18414,620.6,0.368,64.2,2650.7,24,303,1
B737,30388,16242,684.6,0.608,62.1,3094.8,5,6,0
B787,34774,18966,647.1,0.894,41.8,2679.2,15,283,1
B737,17040,12119,642.6,0.721,55.0,2772.8,3,60,1
B787,47765,7833,575.0,0.52,64.3,3047.9,20,309,1
B737,22788,2581,622.1,0.192,54.5,2964.8,8,344,1
B737,23823,18456,540.1,0.204,59.4,2891.0,24,232,1
A380,23820,18018,759.7,0.918,40.8,2461.0,16,238,1
A350,31774,19378,611.4,0.333,64.8,3258.9,14,18,1
B737,45252,5595,562.7,0.847,63.7,3217.1,10,66,1
B787,13827,15287,660.0,0.888,54.0,3013.0,2,192,1
A320,4920,18064,654.3,0.639,59.4,3149.4,11,205,1
A350,19348,5629,641.4,0.389,51.2,3354.8,23,334,1
B787,47258,12844,700.6,0.547,47.3,2921.7,14,88,1
B777,36988,18821,662.5,0.038,61.7,2639.4,20,242,1
A380,22138,13828,658.6,0.002,49.7,3176.3,15,33,1
A320,9515,16168,676.1,0.322,62.2,2703.2,4,206,1
B737,38471,7470,635.4,0.694,85.4,3019.2,23,307,1
B787,16508,13729,571.4,0.661,59.5,2992.0,24,246,1
A350,45154,5608,663.9,0.264,62.7,3424.1,2,332,1
B787,104,310,650.0,0.926,59.8,3213.2,23,152,1
A350,36676,8838,690.3,0.355,40.1,3279.0,19,307,1
B787,786,15430,661.8,0.486,53.4,3299.1,22,193,1
B777,8649,14222,623.8,0.417,35.1,2995.6,21,117,1
A380,18372,15833,664.8,0.086,66.4,2874.0,9,33,1
A380,19713,5927,671.5,0.714,51.6,3283.7,19,162,1
B787,9210,11068,693.6,0.899,55.7,3299.8,11,75,1
B777,10913,1749,744.8,0.251,56.1,3086.4,21,160,1
A320,2112,12634,584.5,0.383,58.3,2992.3,13,34,0
A350,25167,3393,691.1,0.238,72.4,3253.5,22,331,1
A320,20467,13563,583.2,0.653,44.3,2890.8,8,331,1
A380,27126,6539,635.2,0.953,56.5,3126.9,12,43,1
B787,33621,239,618.7,0.265,39.7,2948.2,18,321,1
