departure_hour,day_of_week,month,origin,destination,aircraft_type,airline,weather_score,atc_delay,prev_flight_delay,distance_km,delay_minutes
7,6,4,LHR,BOM,B737,EuroWings,0.18,29,50,7380,72
3,4,4,SYD,NRT,B737,EuroWings,0.97,14,89,9425,114
20,0,3,JFK,DXB,B777,PacificAir,0.78,6,47,5021,75
23,2,7,LHR,JFK,A380,AeroGulf,0.94,3,20,9339,69
13,2,1,SIN,NRT,B787,AsiaJet,0.89,0,53,3802,67
10,3,9,SYD,SYD,A350,AsiaJet,0.6,12,55,9011,74
23,5,8,SYD,NRT,B737,SkyMind,0.92,19,58,5107,94
13,3,2,LAX,FRA,A320,SkyMind,0.09,21,71,6868,76
11,5,2,JFK,NRT,B787,AsiaJet,0.2,6,50,11245,38
15,1,8,SYD,SYD,B787,AeroGulf,0.05,14,19,11870,27
5,5,11,CDG,BOM,B737,EuroWings,0.33,22,85,10414,99
19,4,1,FRA,BOM,A350,AsiaJet,0.39,13,58,10448,56
0,0,7,SYD,SYD,A320,AsiaJet,0.27,22,70,12370,68
11,6,9,SYD,JFK,A350,SkyMind,0.83,18,8,12470,71
6,5,12,FRA,LHR,A320,AeroGulf,0.36,21,0,6373,52
7,5,3,NRT,DXB,B737,AsiaJet,0.28,28,28,7998,73
8,5,7,LAX,CDG,B787,EuroWings,0.54,23,62,7672,97
1,0,6,SYD,LAX,A320,EuroWings,0.14,19,71,11207,85
16,2,7,SYD,JFK,B787,PacificAir,0.8,28,55,6135,94
19,0,7,JFK,NRT,B777,EuroWings,0.07,23,67,4347,70
12,2,10,DXB,LAX,B777,AsiaJet,0.99,17,34,9629,94
4,6,1,NRT,LAX,B737,AsiaJet,0.77,9,2,1264,55
9,4,3,BOM,SYD,B737,EuroWings,0.2,8,6,6806,21
11,0,10,NRT,SIN,A380,SkyMind,0.01,24,26,1152,39
16,2,1,FRA,LHR,B737,AeroGulf,0.82,7,0,12772,73
20,4,5,JFK,LHR,B777,AsiaJet,0.71,25,79,7544,118
5,4,3,LAX,SIN,A320,EuroWings,0.73,29,70,12294,115
2,2,1,LHR,DXB,A350,EuroWings,0.77,28,43,10821,116
14,2,2,JFK,SIN,B737,AsiaJet,0.07,9,86,13268,39
6,1,10,SIN,CDG,A350,PacificAir,0.36,16,40,4464,50
5,4,5,FRA,CDG,A350,AeroGulf,0.12,1,74,5111,20
3,2,11,DXB,SYD,B777,AsiaJet,0.86,5,41,6259,69
18,4,3,SIN,NRT,A380,EuroWings,0.62,25,32,8878,88
4,0,6,SIN,LAX,A320,PacificAir,0.33,4,49,645,46
2,6,9,LAX,LHR,B777,AsiaJet,0.06,27,62,5601,70
8,3,6,BOM,LHR,B737,AeroGulf,0.31,29,36,4747,65
5,3,2,LHR,SIN,B777,PacificAir,0.33,8,58,10078,61
12,5,2,SYD,SIN,B777,EuroWings,0.73,4,80,4688,83
21,2,8,CDG,SIN,B777,SkyMind,0.64,17,47,11279,88
19,2,11,SYD,DXB,B737,AeroGulf,0.89,25,4,3196,77
3,4,8,SIN,SIN,B737,PacificAir,0.47,19,47,12704,77
1,5,6,NRT,NRT,B777,AsiaJet,0.12,8,2,13389,10
3,2,10,CDG,LAX,B777,AsiaJet,0.71,16,46,8740,81
7,4,7,LAX,JFK,A350,PacificAir,0.76,26,61,3829,113
12,2,1,LHR,JFK,A320,AsiaJet,0.56,16,13,12281,63
9,4,12,LAX,NRT,A350,PacificAir,0.77,11,62,11280,80
17,2,9,FRA,FRA,A380,AeroGulf,0.49,6,60,3981,62
8,1,5,DXB,CDG,A320,AsiaJet,0.52,26,30,9466,69
0,6,9,SIN,JFK,A380,AeroGulf,0.43,2,16,5141,44
12,4,2,NRT,DXB,A320,EuroWings,0.03,9,23,6059,22
17,6,8,LAX,FRA,B777,EuroWings,0.11,1,22,1760,25
14,1,7,CDG,BOM,A350,EuroWings,0.03,24,81,1149,65
1,1,11,SIN,DXB,A320,EuroWings,0.64,2,49,12131,56
10,1,4,LHR,LHR,A380,AsiaJet,0.31,15,77,3548,65
13,1,3,NRT,JFK,A320,PacificAir,0.51,1,78,2523,70
21,0,4,BOM,CDG,B737,AsiaJet,0.91,27,78,9772,120
14,6,4,BOM,SIN,A320,AsiaJet,0.25,23,69,4770,82
13,5,10,CDG,SIN,B777,AeroGulf,0.41,9,26,5833,45
15,6,10,DXB,LAX,B787,PacificAir,0.76,5,14,2574,42
22,3,8,BOM,CDG,B737,SkyMind,0.23,21,49,6537,60
14,0,4,SIN,LHR,B787,SkyMind,0.08,25,35,13930,46
18,2,5,LHR,SYD,B777,PacificAir,0.29,10,7,12934,35
8,2,2,DXB,JFK,B787,SkyMind,0.16,22,78,13655,64
4,5,4,SYD,LAX,A320,PacificAir,0.93,6,2,2812,73
4,3,7,LHR,CDG,B787,AeroGulf,0.81,26,61,3974,111
10,3,3,SIN,BOM,A350,AeroGulf,0.63,28,46,10997,96
19,3,1,SIN,DXB,B777,AsiaJet,0.87,14,76,3760,108
23,1,8,FRA,LHR,A350,SkyMind,0.8,5,87,11566,98
3,0,8,DXB,CDG,B787,PacificAir,0.19,19,60,5338,63
19,2,6,LHR,JFK,A350,AeroGulf,0.89,26,31,6118,98
17,0,7,DXB,DXB,B737,AsiaJet,0.54,8,12,13497,35
2,0,10,CDG,CDG,B787,SkyMind,0.81,21,0,12002,74
3,0,11,JFK,NRT,A380,SkyMind,0.9,19,33,1850,90
13,3,2,DXB,LAX,A350,SkyMind,0.32,11,61,9785,60
6,5,5,BOM,CDG,A320,AeroGulf,0.11,18,78,6548,62
7,5,12,SIN,NRT,B787,AeroGulf,0.23,19,77,8431,78
23,3,7,FRA,DXB,A380,SkyMind,0.43,2,81,8641,56
15,2,9,SYD,DXB,B737,AeroGulf,0.82,14,70,12468,97
19,2,1,FRA,DXB,A320,SkyMind,0.86,1,30,11788,74
14,2,3,LHR,SYD,B787,EuroWings,0.01,29,63,7823,72
6,5,6,CDG,CDG,A320,AeroGulf,0.51,20,24,6277,69
16,5,7,CDG,NRT,B787,PacificAir,0.42,1,37,2354,36
21,0,6,SYD,SIN,B787,AeroGulf,0.22,21,13,2766,44
21,3,1,DXB,BOM,B777,SkyMind,0.12,2,7,1060,6
21,1,4,DXB,BOM,A350,PacificAir,0.34,5,53,8046,44
11,0,6,LHR,NRT,B787,AsiaJet,0.94,14,1,5487,83
17,4,8,LHR,SIN,B737,PacificAir,0.32,26,80,7707,88
23,5,10,NRT,LHR,A380,PacificAir,0.52,9,77,13384,64
13,0,4,DXB,SYD,A350,AeroGulf,0.7,8,88,6986,103
14,3,7,LHR,NRT,B777,PacificAir,0.36,0,55,13237,46
14,4,11,CDG,JFK,A350,PacificAir,0.97,15,83,2883,102
4,6,3,JFK,LAX,A350,SkyMind,0.96,5,84,6647,95
15,0,8,SIN,LAX,B787,AeroGulf,0.25,8,60,10517,51
4,3,1,DXB,FRA,B737,SkyMind,0.5,26,21,8164,91
1,3,4,NRT,BOM,B787,AeroGulf,0.3,3,34,13961,27
19,5,8,SIN,DXB,B737,AsiaJet,0.28,26,15,2183,69
8,1,10,BOM,JFK,B737,PacificAir,0.04,27,49,9890,73
21,0,4,JFK,LHR,A320,AeroGulf,0.61,1,42,1509,49
8,3,2,FRA,SIN,B787,PacificAir,0.5,28,16,10463,76
3,2,2,DXB,LHR,B777,PacificAir,0.05,3,79,10399,30
14,3,4,FRA,BOM,A380,EuroWings,0.28,0,57,13227,37
10,1,4,NRT,DXB,A350,SkyMind,0.91,18,1,2772,81
0,3,2,DXB,SIN,A320,AeroGulf,0.24,25,3,3112,58
17,5,7,NRT,NRT,B777,AsiaJet,0.14,24,84,7924,86
0,6,6,LAX,FRA,A380,EuroWings,0.49,9,38,7726,52
7,0,11,NRT,SIN,A380,SkyMind,0.99,20,5,6563,75
15,5,3,LHR,BOM,B787,AsiaJet,0.24,14,80,4841,67
21,0,8,LHR,LHR,B737,AsiaJet,0.67,26,88,2042,116
17,4,8,FRA,LAX,B787,PacificAir,0.76,21,68,1737,106
21,0,1,LAX,LHR,A380,SkyMind,0.24,18,68,11667,65
8,4,3,NRT,LHR,B787,EuroWings,0.73,15,19,6209,74
11,5,5,BOM,LHR,A320,AeroGulf,0.37,20,63,10416,89
18,2,2,FRA,FRA,B777,AeroGulf,0.63,26,15,13740,85
17,1,12,SIN,BOM,A380,EuroWings,0.63,23,50,2763,89
4,2,12,LHR,JFK,A320,PacificAir,0.54,21,36,782,74
1,4,5,SIN,FRA,B777,PacificAir,0.09,3,72,8498,37
6,3,11,SIN,FRA,A320,AsiaJet,0.84,1,68,8240,92
9,3,10,LAX,BOM,A350,SkyMind,0.32,29,41,11312,77
14,2,3,FRA,SYD,B737,AsiaJet,0.19,24,56,3786,69
6,3,9,CDG,FRA,B737,AeroGulf,0.04,12,65,8863,42
4,4,11,FRA,SIN,B737,EuroWings,0.59,27,8,12148,87
14,5,1,CDG,SYD,A350,SkyMind,0.68,0,85,13906,90
19,1,4,NRT,BOM,A380,EuroWings,0.02,16,63,2382,54
19,6,10,CDG,CDG,A380,SkyMind,0.51,12,85,6687,83
14,0,6,DXB,CDG,A350,AeroGulf,0.23,3,21,2775,26
9,4,9,NRT,JFK,B737,AeroGulf,0.65,6,33,11313,42
23,6,3,CDG,NRT,B737,SkyMind,0.17,16,54,7374,61
13,4,3,BOM,FRA,B777,PacificAir,0.69,8,28,8002,65
9,0,12,SIN,LHR,B777,SkyMind,0.39,3,37,9292,46
16,0,5,NRT,NRT,B787,AeroGulf,0.94,18,17,4290,84
20,1,7,SIN,NRT,A320,EuroWings,0.14,0,70,2523,33
13,1,5,SYD,SYD,B777,AsiaJet,0.34,9,64,966,56
1,1,11,FRA,SIN,B777,EuroWings,0.11,3,0,4450,19
15,3,8,CDG,CDG,B777,AeroGulf,0.92,8,87,4389,98
12,4,5,SIN,LAX,B777,EuroWings,0.88,12,3,13084,88
8,5,7,CDG,SIN,A350,PacificAir,0.26,13,3,3092,39
6,0,6,SIN,CDG,B787,PacificAir,0.66,9,81,7132,75
15,4,10,BOM,LAX,B777,SkyMind,0.82,5,26,9711,66
9,6,2,JFK,FRA,A380,EuroWings,0.56,15,42,6858,67
23,4,3,BOM,DXB,A320,EuroWings,0.53,5,58,2047,44
21,1,11,LHR,BOM,B777,AeroGulf,0.24,16,31,7669,63
8,1,11,CDG,DXB,A350,SkyMind,0.09,9,32,13448,37
21,4,4,BOM,SIN,A380,SkyMind,0.9,17,27,5249,94
22,1,5,DXB,JFK,B737,EuroWings,0.9,26,54,13589,115
6,3,9,CDG,SIN,B737,AsiaJet,0.63,21,59,4936,81
15,0,6,LAX,SYD,B787,EuroWings,0.34,17,69,1203,69
8,6,1,FRA,LAX,B737,EuroWings,0.35,2,61,7050,55
23,4,3,FRA,LAX,B777,EuroWings,0.73,19,79,9544,95
16,0,7,LHR,FRA,A350,PacificAir,0.9,26,33,8997,85
19,3,8,DXB,DXB,B787,SkyMind,0.89,20,86,12270,115
6,6,7,LHR,FRA,A380,PacificAir,0.78,24,87,10625,116
10,1,5,NRT,DXB,B777,AsiaJet,0.64,27,55,8136,101
7,2,10,CDG,LAX,B737,AeroGulf,0.08,14,12,10479,36
6,3,8,DXB,SIN,A320,AsiaJet,0.16,14,55,12479,57
18,2,9,SYD,JFK,B777,SkyMind,0.9,3,17,9565,67
19,0,7,SIN,LAX,A320,AeroGulf,0.61,28,53,2081,109
11,4,11,LAX,NRT,A380,AsiaJet,0.01,26,76,4457,57
6,6,9,CDG,CDG,A320,SkyMind,0.1,8,42,5090,38
7,1,1,LAX,DXB,A380,AsiaJet,0.66,26,38,3832,98
6,6,9,DXB,DXB,B787,AeroGulf,0.01,25,60,2185,52
5,3,3,SIN,SYD,A350,AeroGulf,0.16,18,41,10297,40
8,1,6,LHR,FRA,B737,AsiaJet,0.55,23,80,8031,93
12,2,8,CDG,BOM,B737,PacificAir,0.69,27,78,7411,107
6,2,3,SIN,BOM,B777,AsiaJet,0.65,16,17,6231,75
7,5,4,LAX,SYD,B737,AsiaJet,0.22,10,22,1395,32
21,6,7,JFK,LAX,B787,AsiaJet,0.71,24,53,13955,92
16,4,12,DXB,DXB,B737,PacificAir,0.24,8,29,11955,33
16,2,7,DXB,LHR,B777,EuroWings,0.33,9,57,8532,65
15,4,4,LAX,JFK,B737,AeroGulf,0.75,17,67,12116,97
21,5,9,LAX,NRT,A350,SkyMind,0.65,19,66,12545,92
1,3,3,NRT,SIN,A380,AeroGulf,0.85,12,70,2846,96
7,5,12,LHR,SIN,A320,AeroGulf,0.66,7,17,4031,67
16,4,8,LAX,BOM,A320,EuroWings,0.57,6,6,11166,39
12,2,8,BOM,BOM,A380,AeroGulf,0.09,16,39,2361,55
17,0,4,FRA,SYD,A320,AeroGulf,0.37,20,69,11455,81
23,4,7,FRA,DXB,A350,PacificAir,0.27,22,85,5352,81
21,1,4,CDG,FRA,B787,PacificAir,0.24,14,64,530,81
9,0,12,SYD,SIN,B777,PacificAir,0.97,19,67,12699,105
1,6,1,CDG,DXB,A350,PacificAir,0.39,14,48,12147,60
1,4,1,NRT,NRT,B777,PacificAir,0.89,0,51,742,63
13,1,1,SIN,JFK,B787,SkyMind,0.63,24,28,7418,92
15,6,2,SYD,JFK,A350,EuroWings,0.79,13,20,13473,88
6,5,6,SIN,SIN,B737,AsiaJet,0.5,4,89,10190,84
20,0,12,FRA,LHR,B787,PacificAir,0.58,10,77,6011,90
20,4,10,FRA,SYD,A320,EuroWings,0.49,15,8,6008,53
23,3,11,FRA,SIN,A350,AsiaJet,0.2,1,46,5168,28
11,5,5,LAX,NRT,B787,AeroGulf,0.72,7,75,6587,70
22,1,11,NRT,LHR,B787,AeroGulf,0.28,10,41,7515,64
13,3,2,BOM,CDG,A350,EuroWings,0.02,28,50,8136,66
3,2,8,CDG,LAX,A320,SkyMind,0.65,17,55,7162,82
3,5,9,SIN,BOM,A380,SkyMind,0.18,2,50,12114,44
17,5,7,JFK,BOM,A320,EuroWings,0.94,29,69,4503,119
2,4,12,CDG,LHR,B787,SkyMind,0.95,25,19,10351,105
0,4,12,DXB,SIN,B777,SkyMind,0.91,0,87,11920,88
16,1,9,LHR,BOM,A380,AeroGulf,0.37,10,26,1098,52
6,5,4,SYD,DXB,A380,SkyMind,0.02,15,37,2695,37
15,4,7,SIN,BOM,B787,SkyMind,0.93,17,71,569,98
4,2,5,NRT,JFK,A350,EuroWings,0.43,29,64,8639,95
18,6,5,FRA,BOM,A350,SkyMind,0.97,15,53,10085,110
6,6,3,DXB,CDG,A350,PacificAir,0.96,22,23,4159,99
13,6,9,LHR,SYD,A320,PacificAir,0.85,9,46,10341,89
1,4,10,SIN,LHR,B737,EuroWings,0.29,17,70,6134,62
2,5,5,BOM,DXB,A350,PacificAir,0.39,5,82,2781,63
16,6,6,FRA,CDG,A350,AeroGulf,0.85,18,85,7322,107
15,0,3,SIN,JFK,A380,EuroWings,0.32,3,62,4182,54
7,3,10,JFK,SIN,B777,SkyMind,0.17,26,56,3183,71
17,5,7,JFK,LAX,B777,PacificAir,0.56,12,54,5062,78
14,2,9,NRT,JFK,B787,AeroGulf,0.94,23,59,5152,123
6,5,9,JFK,LHR,B787,EuroWings,0.7,13,61,13681,91
8,2,10,BOM,LHR,B787,EuroWings,0.57,2,29,5431,50
5,5,10,NRT,LHR,A350,SkyMind,0.1,9,21,10002,19
17,6,5,SYD,CDG,B777,AsiaJet,0.62,5,74,5213,74
17,3,7,BOM,LHR,B787,PacificAir,0.99,0,83,5913,88
23,3,12,NRT,SYD,B777,AeroGulf,0.14,22,28,6100,49
13,2,12,BOM,SYD,A350,EuroWings,0.52,23,40,12921,78
13,5,3,JFK,SYD,A380,PacificAir,0.88,26,41,4603,100
13,3,6,SYD,LHR,A350,AeroGulf,0.74,13,64,2575,73
3,1,12,BOM,SYD,B787,AeroGulf,0.7,7,30,1282,59
3,5,8,SYD,FRA,A350,EuroWings,0.7,18,29,4306,82
14,3,8,LHR,BOM,A350,PacificAir,0.36,13,17,10025,37
14,0,2,BOM,BOM,B777,AeroGulf,0.29,9,16,12409,37
17,0,6,CDG,LHR,B737,EuroWings,0.81,16,37,13328,102
13,1,7,FRA,NRT,A320,PacificAir,0.81,8,13,1557,73
0,3,12,JFK,CDG,B787,PacificAir,0.87,28,86,2554,141
9,0,7,SIN,LAX,B737,EuroWings,0.91,5,88,12093,100
19,6,3,SYD,CDG,A380,PacificAir,0.51,10,78,13696,86
9,5,9,JFK,FRA,B787,AsiaJet,0.5,24,55,2609,82
9,4,2,DXB,CDG,B737,AeroGulf,0.8,6,21,11849,60
23,3,11,CDG,FRA,A350,AeroGulf,0.65,16,66,12488,67
1,1,3,JFK,FRA,B787,PacificAir,0.7,27,55,7783,113
7,3,11,FRA,CDG,B737,EuroWings,0.8,27,18,12340,108
0,2,2,CDG,LAX,A320,SkyMind,0.89,0,56,1820,71
0,2,11,FRA,FRA,A350,PacificAir,0.34,21,43,8349,67
3,0,9,JFK,SYD,B787,SkyMind,0.38,4,34,4917,36
6,2,4,CDG,DXB,A380,PacificAir,0.09,8,0,4199,20
8,1,2,SIN,DXB,A380,SkyMind,0.58,17,51,1232,89
15,0,3,SIN,SIN,B787,PacificAir,0.04,23,84,12325,56
4,1,4,FRA,LHR,B737,EuroWings,0.47,26,69,7062,98
1,5,10,FRA,JFK,B787,SkyMind,0.54,20,36,4049,74
22,1,6,LHR,SYD,A350,AsiaJet,0.29,1,64,12354,45
10,2,5,SIN,SYD,B777,EuroWings,0.59,28,50,6663,101
17,5,3,SIN,JFK,A380,PacificAir,0.03,25,0,7055,37
18,2,10,SYD,LHR,B737,SkyMind,0.04,10,20,13336,24
12,1,8,NRT,DXB,A320,AeroGulf,0.82,26,52,5878,107
23,2,8,BOM,LAX,B787,EuroWings,0.36,27,15,9296,75
10,2,7,SYD,FRA,A350,SkyMind,0.13,5,60,2222,42
19,2,3,FRA,JFK,B787,EuroWings,0.52,25,53,11096,91
18,3,1,LAX,LAX,A320,SkyMind,0.77,7,39,12174,62
16,5,5,BOM,SIN,A350,AeroGulf,0.22,3,25,3312,24
4,5,1,LAX,FRA,A320,AsiaJet,0.62,17,79,10273,101
12,6,6,DXB,CDG,A350,AeroGulf,0.09,27,64,8037,71
19,5,11,FRA,SYD,B777,PacificAir,0.05,10,73,2778,52
0,6,7,JFK,FRA,A380,EuroWings,0.53,4,63,2850,77
9,1,12,NRT,CDG,A350,AsiaJet,0.54,14,42,4123,78
7,6,5,LAX,DXB,A320,EuroWings,0.64,27,16,7030,86
23,6,4,BOM,CDG,B737,SkyMind,0.73,17,58,1214,88
7,4,2,FRA,CDG,A380,PacificAir,0.98,1,22,1424,48
18,1,5,SYD,NRT,B777,PacificAir,0.52,21,6,3662,63
5,5,9,LHR,JFK,B787,EuroWings,0.32,10,43,4653,48
11,0,4,CDG,FRA,B777,PacificAir,0.8,25,52,5029,109
6,2,2,SIN,JFK,B777,EuroWings,0.27,24,70,12770,78
15,2,6,NRT,FRA,B787,SkyMind,0.44,12,78,3069,73
8,4,8,NRT,SYD,A350,SkyMind,0.08,3,33,3315,8
20,0,2,SIN,BOM,B777,EuroWings,0.03,21,45,7472,43
21,3,9,SIN,JFK,A380,AeroGulf,0.96,6,67,5078,97
9,6,7,SIN,JFK,B777,AeroGulf,0.84,28,77,4962,136
9,1,2,LHR,SYD,B737,SkyMind,0.7,10,77,1388,87
9,3,11,DXB,FRA,A380,AsiaJet,0.41,21,15,6448,64
19,0,5,LHR,SYD,B737,AeroGulf,0.17,23,70,3978,80
15,4,5,SYD,LAX,A380,EuroWings,0.16,3,18,4089,14
0,0,7,DXB,CDG,A320,SkyMind,0.25,27,1,2223,58
16,4,5,CDG,SYD,B787,PacificAir,0.55,14,9,1758,51
20,3,11,SIN,FRA,A380,PacificAir,0.71,0,49,7526,69
13,3,6,LHR,DXB,A380,AeroGulf,0.66,22,80,9102,105
18,0,9,JFK,SYD,A350,AsiaJet,0.28,2,11,2730,26
20,0,3,SYD,LHR,A350,AeroGulf,0.95,13,69,7954,97
20,6,3,CDG,SYD,A320,AsiaJet,0.74,5,21,11886,65
16,2,8,CDG,JFK,A350,AeroGulf,0.55,17,31,10897,87
13,4,10,BOM,LAX,A350,PacificAir,0.61,24,83,2560,97
7,2,12,BOM,NRT,B737,AsiaJet,0.42,0,0,4398,22
20,1,6,CDG,SYD,A350,PacificAir,0.25,5,53,3113,45
20,1,12,DXB,BOM,A350,EuroWings,0.36,5,57,7515,58
8,0,10,FRA,LHR,A320,EuroWings,0.76,20,69,10504,98
7,3,3,SYD,DXB,A320,SkyMind,0.01,15,82,7198,33
12,1,2,BOM,SYD,B777,PacificAir,0.12,28,17,2302,66
16,1,2,NRT,CDG,A350,PacificAir,0.05,4,5,12598,17
18,2,2,SIN,CDG,A350,SkyMind,0.04,16,44,1177,30
6,2,5,SYD,LHR,A380,EuroWings,0.86,9,22,11602,69
16,6,12,CDG,JFK,A350,EuroWings,0.7,27,22,8587,103
0,6,5,CDG,SIN,B737,AsiaJet,0.47,20,25,5213,79
4,1,1,JFK,JFK,A380,AsiaJet,0.1,17,76,8230,69
5,0,2,FRA,LHR,A350,EuroWings,0.49,6,6,10943,39
1,2,2,SIN,JFK,B737,AeroGulf,0.47,2,78,3504,63
15,1,4,NRT,CDG,B777,PacificAir,0.17,12,43,9486,44
21,3,7,LAX,LAX,A380,AsiaJet,0.43,14,26,1228,66
4,2,3,BOM,SIN,B787,AeroGulf,0.4,19,25,10385,55
4,1,5,JFK,CDG,A350,AsiaJet,0.62,18,78,5234,88
11,6,11,CDG,DXB,A380,SkyMind,0.64,2,35,690,63
2,4,9,FRA,CDG,A320,PacificAir,0.05,3,54,5494,28
15,2,5,DXB,JFK,A380,AsiaJet,0.37,4,63,10688,64
5,4,9,JFK,LAX,A320,EuroWings,0.63,0,56,10799,54
14,2,1,FRA,SIN,A350,SkyMind,0.5,3,68,4366,61
14,2,9,SYD,SYD,B737,SkyMind,0.86,11,60,10181,84
15,6,5,SYD,SIN,A320,EuroWings,0.66,27,1,10801,80
19,5,8,LHR,CDG,A380,SkyMind,0.16,26,54,6539,58
12,5,5,JFK,SYD,A380,PacificAir,0.07,23,79,6945,66
11,4,12,SYD,LHR,A320,AsiaJet,0.64,9,86,9329,74
9,0,6,CDG,FRA,B777,SkyMind,0.03,22,37,4545,55
13,1,8,SYD,CDG,B777,PacificAir,0.59,24,79,13786,108
1,0,2,FRA,BOM,B777,EuroWings,0.94,20,77,6815,103
2,0,3,LAX,CDG,A320,AsiaJet,0.58,28,28,6124,98
8,5,11,BOM,LHR,A320,EuroWings,0.39,25,25,4658,90
10,1,9,CDG,SIN,A380,AsiaJet,0.64,19,34,11511,80
10,5,5,SIN,DXB,A350,SkyMind,0.46,23,78,4611,88
21,5,5,FRA,SYD,A350,SkyMind,0.55,24,66,7334,117
9,6,9,LAX,BOM,B737,AsiaJet,0.94,12,86,9533,98
13,5,10,SYD,FRA,A320,PacificAir,0.39,22,28,4451,67
8,3,3,NRT,LHR,A350,PacificAir,0.96,13,33,5720,91
19,0,4,LHR,FRA,A350,PacificAir,0.91,22,40,4558,114
20,6,7,LAX,NRT,B777,AeroGulf,0.2,4,40,3747,36
9,6,2,SYD,BOM,B777,PacificAir,0.07,3,22,1716,13
21,0,8,LAX,BOM,B777,SkyMind,0.1,13,70,6592,45
8,6,5,LAX,NRT,B787,AeroGulf,0.02,9,2,8480,12
4,0,1,FRA,BOM,A350,PacificAir,0.09,16,57,9590,44
7,3,3,NRT,CDG,B777,SkyMind,0.68,9,31,6086,67
10,2,9,SYD,NRT,B777,AeroGulf,0.07,25,30,7576,49
0,6,5,NRT,SIN,A320,SkyMind,0.32,6,81,8440,48
20,4,8,JFK,NRT,A380,AsiaJet,0.84,15,42,2722,99
9,4,1,FRA,SIN,B777,SkyMind,0.02,0,6,9949,0
0,3,7,BOM,DXB,A320,AeroGulf,0.81,16,0,8479,62
21,0,7,BOM,JFK,B737,PacificAir,0.28,20,60,2014,69
6,4,8,LAX,BOM,B777,AeroGulf,0.12,28,13,9108,54
