booking_lead_days,seat_class,is_business_traveler,prior_no_shows,checked_in_online,has_baggage,route_distance_km,is_connecting,fare_paid_usd,no_show
327,Economy,1,0,0,1,1782,0,2983,1
140,Economy,1,1,1,0,10668,0,3998,0
230,Economy,1,3,0,0,1576,1,2900,1
87,First,1,0,0,0,13873,0,3438,0
115,Economy,1,3,1,1,9600,1,742,1
279,Economy,1,1,1,1,6438,1,1870,1
37,First,1,4,0,0,5080,1,4698,0
198,Business,1,0,0,1,6022,1,1989,1
265,First,0,3,0,0,12206,1,1074,1
157,Business,0,1,0,1,10033,1,618,1
230,Business,1,4,0,0,2968,1,1104,1
343,Business,0,0,1,0,9408,0,526,0
282,Economy,1,1,0,1,8066,0,1748,1
285,Business,1,0,1,0,11853,1,4511,1
127,Economy,1,0,1,0,3327,1,3629,0
206,First,0,2,0,0,8163,1,2000,1
257,Business,0,3,1,0,9036,0,1422,0
263,Economy,0,2,1,1,933,1,3155,0
144,Economy,1,0,0,1,5154,1,642,0
47,Business,0,1,1,1,13315,1,3251,0
63,Business,1,3,1,0,2913,1,3533,1
188,Business,0,1,0,0,1923,0,161,1
140,Economy,0,1,0,0,6838,0,1826,1
227,Economy,1,4,1,1,7657,1,435,1
106,Business,1,0,0,0,9675,0,1944,0
129,First,1,1,1,0,2781,0,2409,0
339,Economy,0,0,1,0,3146,1,2769,0
150,Economy,0,2,1,1,4659,1,3371,0
212,First,0,2,0,1,5073,1,4220,1
222,First,1,1,0,1,3492,1,2850,0
15,First,1,0,0,0,12168,1,4280,0
140,Economy,1,4,0,0,1448,1,2616,1
257,First,0,3,1,1,4273,1,953,1
113,First,0,2,0,0,4548,0,327,0
320,Economy,0,2,0,1,9385,1,3420,0
25,Economy,1,4,0,1,7798,1,647,1
285,Economy,1,1,1,1,6056,0,4360,0
37,First,1,2,1,0,4834,0,1431,0
24,Business,0,2,1,1,4735,1,1771,0
51,Business,0,3,0,1,3097,1,4017,1
338,Economy,0,4,1,0,3905,0,4273,1
90,First,0,4,1,1,10830,0,1384,1
137,First,1,0,0,1,11909,0,1995,0
208,First,1,4,1,0,10311,1,2960,1
60,Economy,0,3,1,0,1174,0,4922,0
110,Business,1,4,1,1,4935,0,4331,1
257,First,0,0,1,1,11961,1,4512,0
336,Business,1,3,0,0,12237,0,2239,1
134,Business,0,2,0,1,954,1,3792,1
59,First,1,1,1,0,1881,1,4139,0
188,Economy,1,2,0,0,9535,0,2529,0
335,Business,1,0,1,1,1796,1,4561,0
112,Business,0,3,0,1,2440,0,4502,1
26,Business,1,2,1,0,12857,0,1852,0
0,Business,0,0,1,1,12578,1,4234,0
213,Business,1,2,0,1,11672,0,3073,1
85,First,1,1,1,0,6441,0,353,0
154,Economy,0,2,0,1,2306,0,1366,0
79,Business,1,2,0,0,10622,0,2316,0
59,Economy,0,2,1,1,1532,0,4557,1
308,Economy,1,0,0,1,13814,0,1811,1
35,First,1,3,0,0,768,1,3808,1
290,Economy,1,4,1,0,11769,0,4884,0
288,Economy,0,0,1,1,884,0,3510,1
324,Economy,0,4,0,1,5853,1,2140,1
362,Economy,0,4,1,0,5496,0,1204,1
174,Business,1,2,0,0,2101,0,1555,1
353,First,0,1,1,1,9673,1,4904,1
351,First,1,4,1,0,10835,1,4654,1
88,First,0,4,1,0,6118,0,4318,0
58,Economy,0,2,1,0,8816,1,4203,0
60,Economy,1,1,0,0,3100,0,1306,0
241,Business,0,2,1,0,11685,0,300,1
282,Economy,0,4,1,0,2916,1,202,1
224,Economy,1,0,1,0,6650,1,2957,0
221,First,1,4,0,0,11016,1,2297,1
89,Economy,1,0,1,1,11972,1,3171,0
14,First,1,3,0,0,4520,0,2039,0
364,First,0,1,1,1,8583,1,1379,0
184,First,0,3,0,1,8884,1,1903,1
203,Economy,1,2,0,0,2707,1,1797,1
40,Economy,1,4,0,1,9179,0,2057,1
170,Business,1,3,0,0,4179,0,191,1
267,First,0,1,0,1,11719,1,3286,0
195,Business,1,0,0,1,6077,0,2249,1
249,Economy,0,0,1,0,4842,0,3416,1
194,Economy,1,2,1,0,4601,1,4465,1
229,Economy,0,2,0,1,1052,0,3718,1
95,Business,1,4,1,1,2580,0,707,0
217,Economy,0,3,0,1,7613,0,3742,1
3,Economy,1,4,0,1,1803,0,2496,1
4,Economy,0,0,1,1,4178,0,2631,0
45,Business,1,0,0,0,6608,0,2185,0
330,Business,1,3,1,1,12671,0,3656,0
125,Economy,0,4,1,0,3550,0,2124,0
136,First,0,2,1,0,13542,0,522,1
135,Business,0,3,0,0,1445,0,2707,1
313,Business,0,2,0,0,6140,0,4621,1
358,First,0,3,1,0,8272,0,4109,0
318,Business,0,2,0,1,11377,1,3893,1
188,First,1,1,1,1,5686,1,484,1
142,First,1,0,1,1,503,0,3360,1
72,First,0,3,0,1,12841,1,2802,1
177,First,0,1,0,0,8008,0,3552,1
349,First,1,3,1,0,5753,1,1056,1
225,Business,0,0,1,0,4021,0,3100,0
277,Economy,1,0,0,1,12696,0,2279,0
237,First,1,2,1,1,5575,1,4516,1
93,Business,1,0,0,0,8736,1,3403,1
329,Economy,0,0,1,0,4225,0,667,0
196,Economy,1,0,1,1,3399,1,4701,0
63,Business,0,4,1,0,10910,0,1469,1
149,Economy,0,4,1,0,949,0,3243,1
140,Economy,0,0,1,1,9058,0,3368,0
230,First,1,4,1,0,11642,1,2219,1
244,First,1,3,1,0,810,1,3438,1
302,Business,1,1,0,0,5272,0,1549,0
346,First,0,1,1,0,5891,0,3333,0
276,Economy,1,4,0,0,12548,1,1612,1
30,Economy,1,1,1,0,2002,0,3305,0
37,First,1,4,1,0,8942,0,3946,1
38,Business,1,2,1,1,11834,0,4996,1
163,Business,1,0,1,1,5965,1,3444,0
355,First,0,1,0,1,754,0,4946,1
266,Business,0,0,0,1,12916,0,3907,1
68,Business,0,1,1,1,1013,0,4249,0
289,Economy,0,3,0,1,850,0,2479,1
228,First,0,3,0,0,11886,0,2196,1
260,First,1,4,0,1,4244,0,4594,1
19,Economy,0,0,1,0,12672,0,3999,0
62,Economy,1,4,1,1,3380,0,1564,1
300,First,1,2,0,0,3878,0,2861,1
169,First,1,4,1,0,11924,0,3290,0
12,Economy,1,4,1,1,11254,0,4077,1
136,Business,0,4,1,1,10287,1,996,1
223,Economy,1,1,0,0,10399,1,1363,0
93,Business,1,1,0,0,11117,0,1606,0
176,First,0,2,0,1,8795,0,4107,1
347,First,1,0,1,1,13944,1,4291,1
356,First,1,3,1,0,9634,1,2678,1
155,First,1,0,1,1,5150,0,2757,0
120,First,0,3,1,1,7458,1,121,0
170,Economy,1,1,1,0,5848,0,4993,0
197,First,1,4,1,0,5807,0,4714,1
168,First,0,2,1,1,6039,1,4049,0
171,First,0,2,1,1,4504,1,3472,0
156,First,0,2,0,1,12736,0,4445,1
323,Business,1,0,0,1,7161,1,4283,1
209,First,1,1,1,1,4369,0,1026,0
280,Business,0,1,1,1,6744,1,2789,1
195,Business,1,4,1,0,10609,0,4000,0
269,First,0,0,1,1,2767,0,1025,0
186,Business,1,4,1,0,2685,1,2808,1
61,First,1,3,0,1,5263,0,879,0
144,Business,1,1,0,0,2809,1,2288,1
225,Economy,0,2,0,0,5180,0,162,1
116,First,1,4,1,1,10279,0,138,1
205,First,1,3,1,1,9797,0,3226,0
355,Business,1,2,1,1,13216,1,3392,1
65,Economy,1,2,1,0,12137,1,1094,0
300,First,1,4,1,1,7149,0,883,1
326,Business,1,4,0,0,5066,0,3814,1
27,Business,0,4,1,0,7950,0,4937,1
314,First,1,1,0,0,8631,1,3436,0
263,Business,0,0,1,0,5376,1,396,0
220,First,0,4,0,1,9662,0,4182,1
9,Economy,1,1,0,0,9278,0,4264,0
276,Economy,0,0,1,0,6790,1,799,0
290,Economy,0,3,0,1,6804,0,970,1
3,Economy,1,0,1,0,1217,0,909,0
180,Business,0,1,0,1,1792,1,2406,1
84,Business,1,1,0,0,10516,1,2948,1
24,Business,1,0,1,0,7827,0,4016,0
19,First,0,0,0,0,7200,1,4247,0
198,Economy,0,1,0,1,6955,0,3635,1
198,First,0,1,0,1,13016,1,3658,1
95,Economy,1,3,0,1,12731,1,296,1
95,First,0,1,1,1,7969,1,3698,1
277,Business,1,1,1,1,6357,1,2012,1
48,Business,1,2,0,0,4358,1,189,0
88,Business,1,2,1,0,1623,1,908,1
5,First,1,2,1,1,13205,0,2625,0
145,Business,0,4,1,0,9906,0,4755,1
11,Business,0,4,1,1,3310,0,4924,0
27,Economy,1,1,1,0,12275,0,2511,1
274,First,1,2,0,0,12656,1,1992,1
42,First,1,3,1,1,13097,1,4442,1
98,Business,0,3,0,0,2341,0,4775,1
142,First,0,3,0,1,9524,1,3869,1
291,Business,0,1,0,0,6944,1,1166,1
96,First,0,2,1,1,13890,0,2071,0
84,Economy,0,1,1,0,7484,0,4550,0
297,First,1,1,0,1,6960,0,557,1
90,Business,0,3,0,0,8912,1,2414,1
300,First,0,2,0,0,12917,1,4048,1
29,First,0,4,0,0,5777,1,3663,1
294,Economy,0,0,0,1,3745,0,4103,1
173,First,0,1,1,1,4593,1,2261,0
185,Economy,0,2,1,0,1258,1,3998,0
29,Economy,1,0,0,0,4663,1,929,0
250,Economy,1,0,1,0,10886,1,958,0
108,Business,0,4,0,0,11207,0,4122,1
212,Economy,1,4,0,1,10744,1,145,1
217,First,1,1,1,1,13372,1,2299,0
343,First,0,1,1,0,4807,1,1957,0
181,Economy,0,2,1,0,8236,0,4708,0
341,Economy,0,4,0,0,9138,1,2715,1
36,Economy,1,4,1,1,4135,0,813,0
345,Business,0,2,1,1,11108,1,1622,0
149,Economy,1,4,0,1,4911,1,319,1
96,Economy,0,3,1,0,622,1,869,1
23,Economy,1,0,0,0,4974,0,234,1
324,Economy,0,3,0,0,6372,1,2379,1
343,Economy,1,0,0,1,4167,0,1653,1
354,First,0,2,1,1,10631,0,349,0
121,First,0,2,0,1,11866,0,1783,1
85,First,0,0,0,1,11412,1,1820,0
160,Business,0,0,0,1,6271,1,4788,0
16,Business,0,0,1,1,7149,1,4225,0
243,First,0,0,1,1,5931,0,4634,0
267,Economy,1,1,0,1,8555,1,2159,1
285,Economy,1,4,0,0,7306,0,3345,1
217,Business,1,4,1,0,4999,0,1190,1
5,Business,0,2,0,1,5578,0,2388,1
266,Economy,1,1,0,1,13348,0,2761,1
234,Business,0,0,1,1,6898,1,887,0
123,Economy,1,1,1,1,800,0,3095,0
59,First,0,0,0,0,2026,0,2602,0
9,Business,1,4,0,0,5782,0,845,1
15,First,1,0,0,0,8507,0,1361,0
83,Business,1,4,0,1,11627,0,887,1
171,First,0,0,0,1,1899,0,584,0
146,First,0,2,0,1,6798,1,662,1
99,Business,0,4,1,0,8131,1,513,1
270,Business,1,2,0,0,11042,1,485,0
214,First,0,1,0,0,4840,1,982,0
84,First,0,0,1,1,11027,0,1996,0
38,Economy,0,1,1,1,9744,0,444,0
4,First,1,0,0,0,4794,1,3570,0
85,Business,0,4,0,0,6595,1,2291,1
286,Economy,0,0,1,0,9808,0,2337,1
206,Economy,1,3,0,1,7083,1,1001,1
37,First,1,3,1,1,3788,0,3614,0
255,Economy,1,3,0,0,13086,1,2439,1
179,Business,1,2,1,0,8279,1,1957,1
18,Business,0,3,1,1,5731,1,2728,0
162,First,0,0,1,0,1971,1,4162,0
201,Economy,0,1,0,1,1614,0,3752,1
270,First,1,2,1,1,5578,0,3752,1
87,First,1,4,0,0,12426,0,4085,1
174,First,0,2,0,1,12079,0,2600,1
242,Economy,0,1,1,0,1809,1,1911,0
147,Business,0,3,0,1,5835,0,1979,1
264,Business,1,1,1,1,5571,0,3746,0
4,Economy,1,2,1,1,3834,0,1253,0
138,First,0,2,1,1,13898,0,4477,1
102,Business,1,2,1,1,12505,0,4198,0
346,First,0,1,0,1,2322,1,3491,1
257,Business,1,0,0,1,5737,1,3057,1
179,First,1,0,0,1,12509,1,4570,1
245,First,0,3,1,1,10758,0,890,1
147,First,1,4,0,1,4647,0,4206,1
20,Business,0,1,0,0,11490,1,4916,1
306,First,1,0,1,1,10221,1,2585,1
157,Business,1,3,1,1,3052,0,3120,1
175,Business,1,4,1,0,11897,0,1587,1
256,Business,0,3,0,0,8431,0,2313,1
264,Business,1,3,1,0,5485,1,2403,0
112,Economy,0,4,0,0,11974,1,1950,1
167,Business,1,2,1,0,7983,1,2719,0
20,First,0,0,1,0,12263,1,1970,0
79,Business,0,0,0,1,6992,1,1293,0
227,First,0,4,0,1,6809,1,2084,1
36,Economy,0,0,0,0,2688,1,1925,0
90,Business,0,1,1,0,13295,1,2930,0
326,Economy,0,1,0,0,12815,1,1719,1
151,Business,0,1,0,0,11768,1,1471,1
177,Business,1,4,1,0,1697,1,3953,0
181,Economy,0,3,0,1,9505,0,3792,1
109,First,0,3,1,1,6468,1,88,1
359,First,0,2,1,0,2702,1,3256,1
108,First,1,2,1,0,7053,1,4269,1
155,Business,0,1,0,0,13545,0,3684,1
259,First,0,1,0,0,9777,0,4197,0
66,First,1,4,1,1,695,0,4521,1
259,Business,0,1,0,0,7227,0,3867,1
270,Economy,0,1,1,1,12877,0,2030,0
36,First,1,1,1,1,12372,1,2676,0
269,Economy,0,0,1,1,9331,1,2382,1
122,Business,0,3,1,1,9087,0,2874,1
223,Business,0,0,0,1,10176,1,3123,0
194,First,0,1,1,1,12232,0,1535,0
81,First,1,1,0,1,6823,1,209,0
49,Economy,0,0,1,1,8600,1,4916,0
77,First,1,0,1,1,1562,1,2433,0
24,Economy,0,4,1,1,11322,1,460,1
294,Business,1,4,1,0,12228,1,3942,1
25,Economy,0,1,1,0,576,1,597,0
59,Business,1,0,1,1,5387,1,3852,0
307,First,1,4,0,0,3360,1,3955,1
69,Economy,0,2,0,0,3323,1,2609,1
153,Economy,0,0,0,0,12219,0,156,1
47,Economy,1,3,0,0,3701,0,2812,1
53,First,0,2,0,1,6545,1,2439,0
113,First,0,2,1,1,9014,1,1787,0
276,First,0,0,0,1,1165,0,1965,1
109,Economy,0,1,0,0,6148,0,3367,0
71,Economy,1,3,1,0,9241,0,4404,0
17,Business,0,4,1,0,4406,0,3947,0
14,Economy,0,4,1,1,13868,0,4691,1
41,Business,1,1,1,1,11924,1,3539,0
19,First,0,3,0,0,6481,1,4509,1
15,Business,1,3,0,1,6082,0,2214,1
134,Business,0,2,0,1,5691,0,573,1
220,Economy,0,2,0,0,8017,0,2238,0
94,Economy,1,3,1,0,6963,0,1657,1
92,Business,1,0,0,1,9994,0,3919,0
80,Business,1,0,1,0,5631,1,2323,0
77,First,1,0,0,1,9050,0,1552,1
350,Economy,0,3,1,1,3310,1,631,1
145,First,0,4,1,1,2531,1,4429,1
319,Business,0,0,0,0,4091,0,153,0
25,First,0,4,0,0,3604,0,982,1
196,Economy,1,0,0,0,5027,1,806,1
143,Business,0,3,1,1,3924,1,1393,0
76,Business,0,0,0,0,13088,1,4037,0
313,First,0,4,1,0,10814,1,859,1
351,Economy,0,1,0,0,7518,1,3935,1
200,Business,1,4,0,1,4838,0,3287,1
302,Business,1,1,1,1,8038,0,1785,0
326,First,1,4,0,0,8972,1,3669,1
122,Business,1,0,0,0,5122,1,3614,0
177,Business,0,0,0,1,1021,0,2266,1
301,Economy,1,4,0,0,6023,1,4162,1
7,Economy,0,0,0,1,7024,0,1702,0
1,First,1,0,1,1,11861,0,4705,0
145,Business,0,3,1,0,13000,1,3736,1
35,Economy,0,2,0,0,10540,0,705,0
87,First,0,2,0,0,5665,0,2261,1
118,Economy,1,4,1,1,8546,1,3231,1
41,First,0,2,1,1,7279,0,3793,0
357,First,0,1,1,0,3051,0,2592,0
138,Business,0,4,1,1,11995,1,4073,1
58,First,0,4,0,0,2676,0,1880,1
179,First,1,1,1,1,7979,0,683,0
201,Economy,1,2,1,0,8737,1,429,1
220,First,0,1,0,0,9646,1,2957,1
48,First,1,0,0,1,3009,0,4734,1
359,Economy,1,4,0,0,5040,0,374,1
239,Economy,0,3,0,0,1478,1,1231,1
127,Economy,0,1,1,0,3323,1,906,0
329,Economy,1,4,1,0,13340,1,3618,1
285,Business,1,4,1,1,13954,0,1811,1
27,Business,1,1,1,0,7199,1,3522,0
92,First,1,3,1,1,8517,1,4871,1
178,Economy,1,4,0,0,9332,0,1349,1
216,Business,1,0,0,0,12898,1,1951,0
26,First,0,0,1,0,7666,1,3845,0
126,Business,1,0,1,0,13012,1,4334,0
97,Business,0,3,1,0,9832,0,1300,0
307,Business,0,2,0,1,11157,1,2784,1
299,First,1,0,1,0,887,0,2343,0
47,Business,1,1,1,1,3396,0,3157,0
353,First,0,2,1,0,8053,0,487,1
271,Economy,1,1,0,1,11162,1,1891,1
187,Economy,1,3,0,1,3826,1,92,1
302,Economy,0,0,1,0,9641,1,4998,1
109,Economy,1,4,1,0,1821,0,683,1
330,Business,0,0,0,0,10272,0,1838,1
14,Business,0,3,0,0,6232,1,436,1
101,Economy,1,0,0,1,13197,1,3426,1
93,First,0,0,0,0,3342,0,382,1
183,Business,0,0,1,0,4250,0,2379,1
218,Business,0,3,0,1,1420,0,662,1
128,First,1,0,0,1,9488,0,2962,0
152,First,1,4,0,1,7009,0,2221,1
319,First,1,4,0,1,8201,1,110,1
91,Economy,1,2,0,0,10086,1,380,1
42,Economy,0,2,1,1,10573,0,3647,0
269,First,0,2,1,1,943,1,4485,0
247,Economy,1,2,0,1,845,0,408,1
67,Economy,0,4,1,1,2215,1,1201,1
269,First,0,2,0,1,5192,0,3621,1
207,Business,1,1,1,1,2141,1,490,0
225,Economy,1,3,1,0,1659,1,131,1
204,First,1,3,1,1,9064,0,2694,1
144,First,0,4,1,0,821,1,1130,1
91,First,1,3,1,0,12769,0,2992,0
137,Business,1,3,0,1,2239,0,764,1
16,First,0,0,0,1,3684,1,2554,0
1,First,1,2,1,0,2565,1,4729,0
249,Business,1,2,1,1,8322,0,3907,0
320,First,0,0,1,0,1270,1,2901,0
118,Economy,1,4,0,0,7496,1,2431,1
196,Business,1,1,1,1,9286,1,3690,0
354,Business,0,4,1,0,5934,1,3311,1
213,First,1,1,0,0,8362,1,4517,0
106,Economy,1,1,0,1,8813,1,1603,1
207,Business,0,0,0,1,8702,0,2820,0
116,First,0,4,0,1,6597,0,1386,1
8,First,1,2,0,1,6824,1,3899,0
141,Business,0,4,1,1,7056,1,375,0
329,Business,0,4,0,0,10550,0,173,1
21,First,1,1,0,1,887,0,3612,1
271,Business,0,1,0,1,719,1,3085,1
168,Economy,1,2,0,1,9852,0,3385,1
194,Economy,1,2,1,0,6956,1,2282,0
93,First,0,1,1,0,8442,1,357,1
192,Economy,0,4,1,1,13748,1,2632,1
341,First,0,1,0,0,11158,0,2106,1
287,Business,1,3,0,0,930,0,1895,1
179,Business,0,3,1,0,10773,0,230,1
266,First,1,1,1,0,13106,0,2308,0
19,First,0,2,1,0,12028,1,3670,0
339,Business,1,1,0,0,6331,0,4198,1
224,First,1,4,1,1,13062,1,3158,1
168,Economy,0,3,0,1,1933,1,4487,1
322,Economy,1,0,0,1,9889,1,2789,1
43,Economy,1,2,0,0,10027,0,684,1
187,Business,1,0,0,1,6909,0,2901,0
94,Business,0,2,1,1,11371,1,1720,0
361,Business,0,0,0,1,5278,1,2584,1
134,First,0,0,0,1,12177,0,4520,1
93,Business,0,1,0,1,5147,0,2767,1
53,Business,0,2,0,0,8151,0,4217,1
81,Economy,0,3,1,1,12970,1,4789,1
268,Business,0,0,1,1,941,0,1628,1
288,First,1,1,0,0,6418,0,1002,0
134,First,1,4,1,0,12219,0,930,1
157,Economy,0,2,1,0,989,0,671,0
266,Economy,1,2,0,1,3520,0,2174,1
325,First,0,3,1,1,11032,0,3592,0
276,Economy,1,0,0,1,12753,1,3901,0
287,Economy,0,1,0,1,4268,0,2533,1
132,First,1,0,1,0,10818,0,3892,1
361,Economy,1,1,0,0,5804,1,1232,1
348,First,1,3,1,0,13398,0,1282,1
34,First,0,0,1,0,5494,0,4289,1
250,First,0,4,0,1,2192,1,4750,1
46,Economy,1,3,1,1,4043,0,1706,1
267,First,1,3,1,0,9248,0,1265,0
292,Business,1,2,1,0,11338,1,2156,1
43,Business,0,1,0,0,2876,1,4886,1
277,Business,0,0,1,0,10229,1,4635,1
138,Economy,0,1,1,0,898,0,2493,0
342,First,0,3,0,1,8659,0,1575,1
310,Business,1,0,1,0,5253,1,3253,0
236,First,0,4,1,0,6378,1,198,1
265,Economy,1,1,1,1,4240,0,3569,1
169,Economy,1,1,1,1,7963,0,183,0
215,Business,0,4,1,0,10452,0,129,1
116,Economy,0,3,0,1,5933,0,554,1
237,Economy,0,1,1,1,5946,0,4894,0
255,First,0,2,0,1,10065,0,3742,0
243,First,0,2,0,0,2766,1,192,1
335,Business,1,0,0,1,8345,1,3719,0
331,Business,1,4,1,0,4240,0,833,1
87,First,0,3,1,1,7314,0,2359,1
233,Economy,1,2,0,0,2161,0,2750,1
96,Business,1,0,1,0,6492,1,1004,0
17,First,0,0,1,1,11038,1,3556,1
110,Economy,1,1,0,1,3214,0,1616,0
208,Economy,1,3,0,1,2702,1,1680,1
340,Economy,1,2,1,0,2153,0,2304,1
64,Business,0,4,0,0,11728,1,1206,1
122,Business,0,1,1,1,1526,1,3275,0
237,First,1,2,0,1,8336,1,3976,1
363,First,0,0,1,1,5466,1,562,0
122,First,1,4,1,0,2535,0,345,1
286,First,1,0,1,0,1152,0,3242,0
217,First,0,1,0,1,9775,0,4438,0
221,Business,0,4,1,0,9287,0,4573,1
344,Economy,0,4,1,1,8502,0,3890,1
112,Economy,1,1,1,1,1348,0,2526,0
17,Business,0,0,0,0,7534,1,3458,0
218,Economy,1,4,0,1,6434,0,4870,1
160,Business,0,3,0,1,7828,1,4539,1
69,Economy,0,3,0,1,7161,1,4079,1
6,Economy,0,0,0,1,3433,1,2314,0
0,First,0,4,1,1,7091,1,4504,0
357,Business,1,0,0,0,9180,1,4720,0
98,Economy,0,3,0,1,13793,1,4911,1
86,Business,1,4,0,1,7098,1,2708,1
79,Business,1,4,0,0,8505,1,1018,1
314,First,0,0,1,1,3494,1,2813,1
33,First,1,4,1,0,2870,1,1485,1
225,First,1,0,0,1,5464,0,2583,1
222,Economy,1,2,1,0,10121,0,810,1
179,Economy,0,2,1,0,7435,1,3207,1
7,Economy,0,3,1,0,1728,1,1912,0
242,Economy,0,3,1,1,6592,1,2490,1
87,First,0,1,0,0,820,0,3450,1
308,Business,1,2,1,0,4326,1,1667,1
142,Business,1,2,1,0,13939,0,4479,0
27,Business,0,1,1,0,1436,1,3931,0
141,Economy,1,0,0,0,2647,1,2226,0
89,Economy,1,2,0,1,7443,1,4731,1
185,Economy,1,2,0,0,10296,1,2274,1
312,Business,0,3,0,1,2532,1,2355,1
179,Economy,1,1,1,0,4922,0,1498,0
36,Business,0,1,0,0,741,0,2995,1
1,Economy,0,3,1,1,10784,1,4779,1
33,Business,1,2,0,1,5651,0,1084,1
313,Economy,1,4,0,1,7183,0,3779,1
225,First,1,1,1,1,5972,1,3238,0
72,Economy,1,2,1,1,9441,1,4594,0
363,Business,1,0,1,1,7296,1,3211,1
115,Business,0,1,0,0,4560,1,586,1
113,Business,0,3,0,1,10149,0,417,1
29,First,1,1,1,1,11931,1,3652,0
82,First,0,3,1,1,10852,1,141,0
207,Business,0,0,0,0,11364,0,4198,0
106,Business,0,2,1,1,1809,1,4473,1
314,Business,1,3,0,0,10261,0,1269,1
185,Economy,1,3,0,0,8225,1,3137,1
151,Business,0,0,0,1,3572,0,4233,0
149,Economy,1,4,1,1,2965,1,526,1
159,First,0,1,0,1,4782,1,2570,1
74,First,0,4,0,0,2426,1,1614,1
348,Business,1,1,0,1,5044,1,3684,0
169,First,1,0,0,1,3229,1,3122,1
186,Economy,0,0,0,0,1477,0,1665,0
343,Economy,0,4,0,0,8662,1,3025,1
338,Business,1,0,0,1,5349,0,4930,1
310,Business,1,2,1,1,9990,1,4444,1
168,First,0,4,0,0,5504,0,4395,1
312,Business,1,3,0,0,8714,1,3168,1
52,Business,1,3,0,1,11829,1,3964,1
256,Business,1,0,1,0,1609,1,3460,0
59,Economy,0,0,1,0,3479,0,3132,0
221,First,1,1,0,0,12708,0,2609,0
75,Business,0,4,0,1,13898,1,1140,0
45,Business,1,4,1,1,13115,0,2781,1
259,Business,0,2,0,1,2476,0,3264,1
14,Economy,0,3,0,1,7500,1,3064,1
