seat_class,flight_delay_min,seat_comfort,food_quality,staff_service,entertainment,cleanliness,wifi_quality,checkin_ease,flight_distance_km,satisfaction
First,0,2,5,2,5,1,3,5,1095,dissatisfied
First,0,1,1,4,3,1,5,3,645,dissatisfied
Business,51,4,4,3,3,4,5,1,1717,dissatisfied
Economy,0,5,3,3,4,5,3,1,2628,neutral
Business,0,2,3,3,1,1,3,3,12083,dissatisfied
Economy,0,1,4,3,2,4,3,4,11226,dissatisfied
Business,27,5,2,1,2,2,2,2,12994,dissatisfied
First,101,3,5,5,3,2,2,2,1652,neutral
First,37,4,5,3,1,3,2,3,7256,neutral
Business,8,2,1,1,4,5,2,3,8120,dissatisfied
Economy,6,5,3,5,3,1,1,1,9650,neutral
Business,10,3,1,1,3,2,1,5,7615,dissatisfied
First,2,5,1,5,2,1,4,4,2175,neutral
Business,47,2,1,1,2,4,3,4,8060,dissatisfied
Business,32,4,1,2,5,1,2,5,9859,dissatisfied
Business,6,1,4,1,4,4,2,2,13340,dissatisfied
First,8,1,4,2,1,5,5,4,2020,dissatisfied
First,0,1,4,5,4,3,1,1,13185,neutral
Economy,0,2,1,4,5,2,2,3,2278,dissatisfied
Business,0,1,3,4,4,2,3,5,9252,dissatisfied
Economy,6,4,5,3,2,2,5,2,13099,neutral
Business,0,2,3,5,4,4,4,5,11565,neutral
Business,0,5,1,1,1,2,4,5,9961,dissatisfied
Business,61,5,2,3,3,5,1,5,11513,dissatisfied
First,24,2,4,1,1,1,3,1,7030,dissatisfied
Economy,30,4,3,4,1,4,3,2,2524,neutral
Business,0,2,4,3,2,3,4,3,1859,neutral
Business,19,2,3,5,1,3,2,1,3405,neutral
First,18,5,2,5,5,3,2,4,1305,neutral
First,41,2,3,3,5,1,5,5,9484,dissatisfied
First,26,4,4,3,5,1,5,4,2425,neutral
First,19,1,2,1,4,2,3,5,3686,dissatisfied
Economy,0,4,4,1,4,1,1,5,9442,dissatisfied
First,0,4,5,5,4,2,2,2,4543,neutral
Economy,0,5,1,5,4,5,2,3,13799,neutral
First,0,1,5,3,1,1,1,1,11348,neutral
First,34,3,1,2,4,5,2,1,8728,dissatisfied
Business,21,2,1,3,2,3,2,3,8128,dissatisfied
Business,8,1,5,3,2,5,1,5,5335,neutral
Economy,25,5,2,4,3,3,1,4,8749,neutral
Economy,0,2,1,3,5,2,5,2,9863,dissatisfied
Business,0,5,3,4,1,4,5,1,12822,neutral
First,0,2,5,1,2,5,1,1,9925,dissatisfied
Business,41,5,3,2,4,4,1,5,8966,dissatisfied
First,51,5,2,3,5,4,3,4,12604,dissatisfied
First,10,5,2,1,3,2,4,1,2174,dissatisfied
First,62,2,5,3,2,3,4,3,5159,dissatisfied
First,29,3,3,3,1,1,1,2,7975,dissatisfied
Business,5,1,4,1,3,2,5,4,6272,dissatisfied
Economy,28,2,1,3,5,4,2,2,1421,dissatisfied
Economy,56,3,4,2,4,1,3,2,4265,dissatisfied
Economy,44,1,4,3,4,1,5,2,1872,dissatisfied
Economy,0,2,5,4,5,3,3,3,2308,neutral
First,15,1,4,1,2,4,5,3,8698,dissatisfied
First,7,3,4,4,4,2,2,3,12934,neutral
Economy,0,5,1,2,4,3,1,2,5277,dissatisfied
Economy,0,4,2,3,2,2,4,3,7035,neutral
Business,45,1,1,1,5,5,1,5,987,dissatisfied
First,21,2,1,1,5,4,5,2,5211,dissatisfied
First,14,4,5,4,3,4,5,5,9051,neutral
Business,28,1,2,2,4,3,3,1,7107,dissatisfied
First,26,1,3,4,5,2,2,4,4822,dissatisfied
Economy,41,4,3,5,2,1,4,1,11419,neutral
Economy,52,5,4,2,2,3,3,2,11637,dissatisfied
First,0,2,5,3,2,4,2,5,3545,neutral
First,33,2,2,5,4,4,2,5,11119,dissatisfied
First,0,5,5,4,1,1,1,4,1079,neutral
Business,0,3,2,4,5,2,1,2,8483,neutral
Economy,43,1,2,2,1,4,2,2,6030,dissatisfied
Business,0,3,1,2,1,3,4,3,2945,dissatisfied
Business,8,4,2,4,3,2,4,2,6904,neutral
Business,0,2,2,1,2,2,5,1,11206,dissatisfied
First,16,4,3,3,2,4,5,5,3164,neutral
Business,0,1,4,2,2,5,3,5,8483,dissatisfied
Business,47,2,3,1,5,3,2,3,3542,dissatisfied
Business,46,4,1,4,2,4,4,2,7796,dissatisfied
Economy,33,2,1,4,2,3,5,4,13670,dissatisfied
First,35,2,5,1,3,4,5,3,3548,dissatisfied
Economy,27,2,1,4,3,5,5,1,8754,dissatisfied
Business,0,3,4,3,1,2,5,1,12331,neutral
First,6,4,2,1,5,5,4,3,10468,dissatisfied
First,58,5,3,3,1,3,2,3,2814,dissatisfied
Economy,0,2,5,2,5,2,3,5,12285,dissatisfied
Business,15,1,1,5,4,4,3,3,7364,dissatisfied
First,28,3,1,3,3,5,5,5,2393,dissatisfied
Business,0,3,4,5,2,5,3,1,12566,neutral
Business,30,5,3,4,1,4,5,1,5495,neutral
Business,0,5,5,3,2,4,4,1,1639,neutral
First,2,3,3,3,3,5,2,5,10172,neutral
Business,45,3,3,4,1,3,1,3,8335,dissatisfied
Business,18,4,5,3,5,5,4,2,4813,neutral
Economy,14,3,1,4,5,5,3,2,13197,dissatisfied
Business,48,3,4,2,2,3,1,4,10665,dissatisfied
First,12,2,4,1,5,4,3,4,12311,dissatisfied
Economy,58,5,4,3,2,3,4,5,1998,neutral
Economy,53,4,5,2,1,3,3,3,3813,dissatisfied
Economy,12,3,3,1,2,2,3,1,4318,dissatisfied
Economy,4,4,4,3,4,5,2,2,4589,neutral
Business,37,5,4,2,1,3,3,4,6531,neutral
Economy,58,3,3,3,2,1,4,3,1229,dissatisfied
Business,9,2,1,1,5,5,3,2,5688,dissatisfied
First,78,3,1,3,2,1,2,3,4901,dissatisfied
Business,34,5,4,4,5,1,2,1,3540,neutral
Economy,16,4,3,2,4,3,3,5,8900,dissatisfied
Business,0,2,1,3,4,1,4,2,11177,dissatisfied
First,0,1,2,4,5,4,2,2,636,dissatisfied
First,20,1,2,1,1,5,2,3,9283,dissatisfied
Economy,61,5,5,1,5,1,2,3,1537,dissatisfied
Economy,0,5,5,4,2,3,3,3,13502,neutral
Business,34,2,4,1,1,2,2,1,3624,dissatisfied
Business,0,4,3,4,1,3,3,2,5980,neutral
First,65,3,5,1,2,4,3,5,6231,dissatisfied
Economy,0,1,3,5,1,2,3,5,2211,neutral
Business,0,1,2,5,2,4,3,5,13043,neutral
First,34,5,3,3,3,2,4,3,4265,neutral
First,21,5,4,1,4,2,5,1,8182,dissatisfied
Business,44,4,1,5,3,2,4,3,11882,neutral
First,0,2,5,4,3,1,3,5,2089,neutral
First,9,1,3,1,4,5,1,1,1506,dissatisfied
Business,51,4,4,2,3,4,3,3,8183,dissatisfied
Economy,24,2,3,4,5,2,1,4,7283,dissatisfied
Business,0,1,4,5,4,1,1,4,3934,neutral
Economy,21,3,4,5,3,3,3,1,6174,neutral
Economy,26,4,5,5,4,5,5,5,901,neutral
Economy,18,1,1,3,4,3,3,5,12469,dissatisfied
Economy,82,2,3,3,4,2,3,5,7523,dissatisfied
Business,33,1,2,2,5,2,3,5,6721,dissatisfied
Business,57,3,5,2,5,1,1,5,7385,dissatisfied
Business,64,5,5,4,2,4,5,2,3404,neutral
First,0,5,5,2,2,2,5,5,13121,neutral
First,0,4,3,4,5,2,2,3,4793,neutral
Business,45,2,5,1,4,4,3,1,7372,dissatisfied
Economy,27,3,5,3,1,1,3,2,8677,neutral
Economy,46,2,5,5,2,5,3,5,657,neutral
Business,0,4,5,4,2,2,4,3,1290,neutral
Business,13,3,1,2,1,3,3,5,13334,dissatisfied
First,9,1,3,1,1,5,5,4,8613,dissatisfied
First,14,5,4,2,2,5,1,1,13195,neutral
Business,0,1,2,5,2,5,3,4,5692,neutral
First,18,1,4,1,3,1,3,5,9325,dissatisfied
First,87,2,5,2,3,3,3,4,2339,dissatisfied
Economy,103,2,3,4,4,4,2,3,13643,dissatisfied
Business,62,4,2,2,2,1,2,2,11104,dissatisfied
Economy,0,1,4,3,2,1,4,3,9178,dissatisfied
Economy,0,1,3,3,4,2,1,3,13648,dissatisfied
Business,99,1,5,1,4,5,3,1,10538,dissatisfied
Business,0,5,5,3,1,5,1,1,8189,neutral
Economy,15,3,5,2,2,4,3,4,7663,neutral
Business,61,5,2,5,2,4,1,5,10848,neutral
Economy,5,1,2,3,1,1,1,4,10534,dissatisfied
Business,30,4,5,4,1,1,2,2,5217,neutral
Economy,6,3,2,2,1,3,2,5,879,dissatisfied
Business,0,3,4,3,4,2,3,3,1664,neutral
Economy,56,1,1,1,3,4,1,3,6145,dissatisfied
First,0,4,3,5,2,1,1,2,3426,neutral
First,3,5,1,5,3,1,5,5,7891,neutral
Economy,6,2,1,5,1,2,1,2,9682,neutral
Economy,60,5,3,5,3,4,5,4,5651,neutral
Economy,5,3,4,4,5,5,1,2,2573,neutral
Business,0,4,2,3,5,2,4,1,11543,neutral
First,27,1,1,5,3,4,3,2,3630,dissatisfied
Business,0,5,1,4,1,2,2,5,1901,neutral
Economy,70,3,4,4,4,2,4,4,6363,dissatisfied
Economy,3,2,4,5,5,5,5,1,10727,neutral
Economy,20,1,5,5,3,4,1,4,9307,neutral
Business,30,1,5,4,5,3,3,3,10632,neutral
Economy,24,2,4,4,2,3,1,1,640,neutral
Economy,4,5,1,1,4,1,3,2,1826,dissatisfied
First,0,3,3,4,1,5,2,4,7208,neutral
Business,34,5,1,1,2,5,2,2,10385,dissatisfied
First,14,2,5,2,1,2,3,2,5955,dissatisfied
First,16,4,1,2,2,4,1,4,3635,dissatisfied
First,22,4,2,1,5,3,5,2,1170,dissatisfied
First,57,2,2,2,1,5,4,1,3678,dissatisfied
First,0,1,2,4,1,3,5,4,8713,dissatisfied
First,0,3,4,4,4,2,2,5,1886,neutral
Economy,44,3,1,5,2,3,2,2,13139,dissatisfied
First,39,1,3,3,1,3,1,3,4767,dissatisfied
First,5,4,5,5,5,1,4,4,3923,neutral
First,10,1,4,5,1,1,3,3,1605,neutral
Economy,0,4,4,3,2,5,2,5,3799,neutral
Economy,28,5,2,1,1,2,1,5,10706,dissatisfied
Economy,87,2,2,4,4,4,5,3,3291,dissatisfied
First,20,4,2,3,4,5,3,4,8428,dissatisfied
Business,50,1,5,4,2,2,4,3,12924,dissatisfied
Business,38,2,2,1,4,4,2,1,1749,dissatisfied
Economy,3,4,4,2,4,5,4,2,3776,neutral
Business,0,1,2,5,5,3,3,5,11173,neutral
Economy,41,5,4,5,5,3,2,5,2724,neutral
Business,0,1,1,4,2,3,3,5,3451,dissatisfied
Economy,58,5,5,3,2,4,2,1,9282,neutral
Business,35,2,1,2,2,3,3,1,7231,dissatisfied
Economy,22,5,1,4,1,5,1,1,3759,neutral
Business,0,4,3,5,5,1,1,3,3718,neutral
First,24,5,3,4,5,2,5,3,12131,neutral
Business,28,1,2,4,5,1,3,2,3437,dissatisfied
Business,0,4,2,5,2,5,5,3,13058,neutral
Economy,25,5,4,2,2,2,1,5,9164,neutral
First,62,1,4,4,4,2,2,1,10510,dissatisfied
First,10,2,5,3,4,2,3,5,6981,neutral
Economy,11,3,1,3,3,4,2,1,13536,dissatisfied
Business,0,1,1,1,5,2,2,3,13599,dissatisfied
First,44,4,5,1,4,5,5,2,7786,dissatisfied
Economy,0,2,2,1,4,2,5,4,12205,dissatisfied
First,0,2,2,3,5,2,1,1,8858,dissatisfied
Economy,7,2,2,2,1,4,2,1,7351,dissatisfied
Business,0,5,2,4,2,3,4,5,9821,neutral
Economy,51,2,4,3,1,4,2,2,8965,dissatisfied
First,44,2,2,1,1,4,1,2,4329,dissatisfied
Business,0,3,2,1,3,3,4,2,10025,dissatisfied
First,0,5,1,4,5,4,2,4,7152,neutral
Business,0,1,3,1,1,1,3,5,1443,dissatisfied
Economy,19,1,5,5,1,5,2,2,13116,neutral
Economy,5,4,5,2,1,4,5,5,11793,neutral
Economy,46,2,5,5,1,3,3,3,4408,neutral
Economy,35,4,3,3,3,1,5,2,9027,dissatisfied
First,10,1,4,4,3,1,2,4,13836,neutral
Economy,25,2,5,2,5,3,4,4,6994,dissatisfied
Economy,91,2,5,2,1,5,5,3,5069,dissatisfied
Economy,0,1,5,5,4,4,5,3,4430,neutral
Economy,0,2,5,1,1,2,4,4,12249,dissatisfied
Business,0,5,4,3,5,3,4,1,12051,neutral
Business,7,2,2,1,4,4,4,4,4368,dissatisfied
First,23,2,4,2,5,5,4,5,7580,dissatisfied
Business,34,4,4,1,5,1,5,4,2899,dissatisfied
First,0,3,1,3,1,4,1,4,5758,dissatisfied
First,28,1,4,2,2,5,2,3,1115,dissatisfied
Business,0,1,1,1,2,4,3,3,3743,dissatisfied
First,0,1,4,4,1,5,4,1,7888,neutral
First,36,4,3,1,3,2,2,3,1685,dissatisfied
Economy,39,2,1,4,4,5,2,4,1991,dissatisfied
Economy,75,3,3,5,3,4,1,1,1730,dissatisfied
Business,0,4,4,3,4,5,1,5,9237,neutral
Economy,12,3,3,4,1,1,5,1,7343,neutral
First,8,5,4,3,2,1,2,3,11498,neutral
First,38,5,1,5,2,3,5,1,1065,neutral
Business,0,4,3,1,5,1,5,4,12449,dissatisfied
Economy,29,4,4,1,2,1,2,1,9673,dissatisfied
First,51,3,2,4,4,5,1,1,4731,dissatisfied
Business,53,4,2,5,2,4,5,2,11792,neutral
Economy,80,2,4,1,2,3,4,1,7660,dissatisfied
Economy,0,4,1,2,2,4,1,1,1798,dissatisfied
Business,34,4,5,5,3,2,3,5,11747,neutral
First,0,2,3,2,3,1,5,2,1908,dissatisfied
First,0,1,5,2,3,4,2,5,1325,dissatisfied
First,0,1,3,5,4,3,4,2,5996,neutral
Economy,42,5,3,1,4,2,5,1,3469,dissatisfied
First,0,4,2,5,1,5,1,4,8229,neutral
First,0,5,3,1,4,5,1,5,7501,dissatisfied
Business,55,4,4,3,1,4,2,3,1255,dissatisfied
Economy,6,2,3,2,5,5,2,3,12494,dissatisfied
Economy,26,3,4,4,5,3,4,2,9862,neutral
First,0,4,4,5,3,1,3,2,6839,neutral
Economy,29,5,5,4,2,5,3,3,941,neutral
Business,25,5,2,3,3,4,1,4,5727,neutral
First,42,4,1,3,1,4,1,1,4622,dissatisfied
First,2,5,1,2,4,5,1,5,577,dissatisfied
First,35,5,1,4,4,3,1,4,10996,neutral
First,0,2,4,3,1,4,4,5,4057,neutral
Business,25,5,3,2,5,4,4,5,10709,dissatisfied
Business,79,1,5,5,3,4,2,1,11194,dissatisfied
Economy,0,1,4,5,1,5,5,1,2360,neutral
First,4,3,4,4,5,2,1,5,3015,neutral
Business,29,1,1,2,3,5,5,1,7881,dissatisfied
Business,5,1,4,2,1,1,3,1,1427,dissatisfied
Business,24,2,1,2,4,4,2,4,1885,dissatisfied
Business,0,4,1,1,2,2,4,5,11462,dissatisfied
Business,18,2,1,3,2,4,2,3,1500,dissatisfied
First,3,5,4,2,4,5,2,4,7178,neutral
Economy,33,1,5,1,2,4,2,1,8197,dissatisfied
Economy,0,5,2,1,1,2,3,3,9067,dissatisfied
Economy,0,4,3,5,4,3,4,4,6318,neutral
Business,0,4,1,3,4,3,3,4,8625,dissatisfied
First,39,3,4,5,2,1,5,1,2754,neutral
First,69,3,2,3,2,2,2,5,627,dissatisfied
First,53,2,4,5,4,3,5,2,4716,neutral
First,57,1,4,1,1,2,5,2,12671,dissatisfied
Business,28,5,3,2,5,5,3,3,7632,dissatisfied
First,31,3,1,2,1,4,5,2,11041,dissatisfied
Economy,11,4,4,3,1,2,1,5,8331,neutral
Economy,24,4,3,2,5,4,4,5,1536,dissatisfied
First,23,3,4,5,1,5,2,3,11290,neutral
Economy,0,4,2,5,1,1,1,1,2897,neutral
First,24,1,5,4,4,5,5,1,1212,neutral
Economy,0,1,5,4,5,4,4,3,5237,neutral
Economy,0,2,1,2,5,5,1,2,11325,dissatisfied
Business,61,1,5,3,1,1,3,2,766,dissatisfied
First,12,3,3,1,3,4,5,3,8682,dissatisfied
Business,57,3,3,5,5,1,1,4,12986,neutral
First,25,1,5,4,2,1,2,3,6186,neutral
First,0,3,3,3,5,2,5,1,3467,neutral
Economy,60,2,4,1,2,5,4,2,12217,dissatisfied
Business,21,2,4,1,2,2,4,4,3306,dissatisfied
First,22,4,3,3,2,4,1,4,3579,neutral
First,0,2,2,1,5,3,5,2,1628,dissatisfied
Economy,39,5,1,4,5,4,4,4,10956,neutral
First,56,1,3,2,4,2,4,4,5541,dissatisfied
First,60,3,1,5,4,5,3,3,7608,dissatisfied
Business,26,3,5,4,2,3,3,3,9971,neutral
