airport,wind_speed_kmh,visibility_km,precipitation_mm,temperature_c,humidity_pct,lightning_risk,fog_level,season,risk_level
BOM,64.1,17.4,16.6,36.6,64,1,heavy,spring,medium
BOM,108.2,10.9,12.6,23.8,23,1,none,autumn,medium
JFK,23.1,0.2,35.7,39.6,84,0,heavy,spring,high
JFK,9.2,10.5,9.4,26.0,99,1,none,winter,low
DXB,13.5,0.2,3.5,24.3,93,1,heavy,summer,medium
NRT,113.2,13.7,27.7,5.3,73,1,heavy,summer,high
SYD,4.7,1.2,22.7,3.5,34,1,heavy,spring,medium
BOM,74.1,7.2,19.0,28.4,55,0,light,winter,medium
SIN,104.0,3.5,48.8,-0.3,24,1,none,spring,high
CDG,60.3,18.0,26.8,34.8,87,1,none,summer,medium
NRT,30.9,13.1,1.7,23.9,66,0,none,winter,low
SYD,92.6,12.8,44.8,37.2,99,1,light,winter,high
BOM,114.2,13.0,31.6,16.0,73,1,light,winter,high
LHR,16.9,12.2,8.5,4.8,11,0,light,summer,low
NRT,87.8,13.2,11.5,36.5,67,1,light,autumn,medium
CDG,89.9,18.4,45.7,20.5,34,0,heavy,spring,medium
SIN,75.1,0.3,42.8,18.0,62,0,heavy,summer,high
CDG,36.6,12.8,32.4,42.5,80,0,light,summer,medium
LAX,14.1,14.7,5.8,68.4,56,0,none,autumn,low
BOM,4.2,1.5,36.7,-10.0,57,0,none,spring,medium
LAX,88.1,16.5,34.8,13.3,78,0,none,summer,medium
BOM,74.2,10.4,15.8,13.9,89,0,light,summer,medium
JFK,37.6,14.8,46.3,-0.0,14,1,heavy,winter,medium
FRA,28.7,11.8,33.2,27.7,34,1,none,spring,medium
CDG,61.2,15.6,47.5,8.2,86,0,heavy,spring,medium
CDG,1.3,19.2,28.8,13.8,71,1,light,summer,low
NRT,60.8,12.6,43.8,7.7,77,0,heavy,spring,medium
FRA,56.7,8.9,30.0,15.8,36,1,light,winter,medium
BOM,41.7,14.9,28.8,-9.2,66,1,heavy,winter,medium
BOM,30.7,9.4,13.7,-4.8,33,0,light,autumn,medium
DXB,26.5,17.6,30.0,-12.7,53,1,heavy,spring,low
BOM,35.4,5.1,13.1,21.8,68,1,heavy,summer,medium
BOM,46.2,18.7,5.0,43.2,13,1,none,winter,low
LAX,63.6,5.7,13.3,28.3,54,1,heavy,winter,medium
DXB,105.5,5.0,45.4,24.6,98,1,heavy,winter,high
LAX,2.3,18.0,23.7,17.0,32,0,heavy,summer,low
SYD,8.6,14.0,2.4,23.8,18,0,light,autumn,low
LHR,104.5,4.0,38.4,24.3,12,0,none,summer,high
FRA,75.4,7.5,3.8,12.6,53,0,light,summer,medium
CDG,3.5,16.5,15.3,1.1,84,1,light,winter,low
BOM,88.2,17.3,21.7,41.7,24,0,none,autumn,medium
LHR,85.4,7.5,29.2,-1.0,23,0,none,summer,high
CDG,49.8,15.0,40.4,1.4,46,0,none,spring,medium
NRT,99.7,18.6,5.4,20.2,84,0,none,spring,medium
LAX,47.5,9.1,2.1,27.3,26,0,none,summer,medium
DXB,16.8,11.3,16.7,26.2,46,0,none,summer,low
SYD,28.4,14.6,30.7,34.1,31,1,light,spring,medium
CDG,27.6,3.7,13.3,22.2,19,1,heavy,winter,medium
SIN,95.3,19.7,12.9,36.4,14,0,heavy,summer,medium
NRT,1.7,18.4,25.3,3.7,46,0,heavy,winter,low
LHR,91.6,2.8,23.7,43.4,11,1,light,summer,high
LHR,91.0,5.5,16.2,-0.3,79,1,light,winter,high
BOM,110.3,0.6,14.9,0.2,56,0,heavy,summer,high
FRA,119.0,19.4,18.4,17.7,57,0,heavy,summer,medium
BOM,62.3,2.4,45.9,27.9,18,0,heavy,spring,high
JFK,75.2,18.0,37.2,33.2,11,0,heavy,summer,medium
DXB,52.9,0.6,19.5,-5.1,13,0,none,autumn,high
FRA,21.6,6.9,2.3,22.3,13,0,none,summer,medium
NRT,51.1,8.8,15.2,9.9,39,1,light,autumn,medium
CDG,20.5,7.5,2.6,12.0,53,1,none,autumn,medium
SYD,79.2,7.8,17.3,51.8,30,1,heavy,spring,medium
JFK,110.1,2.1,42.4,29.2,93,1,heavy,spring,high
LAX,35.6,13.6,2.9,11.6,43,0,none,spring,low
LHR,48.7,18.0,14.9,22.9,75,0,none,summer,low
JFK,35.5,9.0,3.0,-9.9,60,0,light,autumn,medium
LAX,24.8,16.3,17.3,4.3,28,0,none,autumn,low
NRT,28.3,7.1,19.4,14.0,82,0,heavy,winter,medium
CDG,96.3,18.8,25.8,18.8,86,0,heavy,spring,medium
SYD,119.9,13.9,28.4,17.9,69,1,none,winter,high
LHR,36.3,6.2,33.8,26.6,90,1,light,winter,medium
SIN,33.3,14.5,29.1,17.7,82,1,none,summer,medium
NRT,92.4,5.3,14.4,23.5,83,0,light,spring,high
FRA,74.0,19.2,12.1,14.9,29,1,light,autumn,medium
NRT,107.6,9.5,0.6,15.1,54,1,light,winter,medium
LAX,106.2,18.4,31.4,27.0,55,1,heavy,winter,medium
CDG,77.8,5.8,42.9,11.6,97,1,heavy,spring,high
FRA,0.6,10.2,14.9,32.9,17,1,none,spring,low
FRA,50.8,17.7,42.8,21.6,77,0,light,summer,medium
FRA,93.5,9.5,29.4,20.8,34,1,heavy,spring,high
DXB,22.3,18.4,35.0,53.7,82,1,none,autumn,low
LAX,50.7,9.6,37.8,3.5,49,0,none,autumn,medium
JFK,75.5,12.8,40.9,42.0,95,1,light,winter,medium
SYD,16.6,18.4,11.5,16.1,16,1,none,autumn,low
DXB,64.4,16.3,14.1,19.0,75,1,none,autumn,medium
SYD,14.6,16.0,35.4,23.8,81,0,none,summer,low
NRT,107.5,18.6,7.8,20.4,16,1,light,winter,medium
LAX,65.5,18.3,46.7,13.5,94,1,heavy,summer,medium
DXB,15.6,6.4,21.1,12.8,11,0,heavy,spring,medium
CDG,90.2,3.5,25.7,39.6,83,0,none,winter,high
JFK,74.4,16.3,11.9,14.1,76,1,none,spring,medium
SIN,73.4,19.1,4.1,21.2,47,0,none,spring,low
LAX,107.0,13.9,14.0,-14.0,12,0,none,summer,medium
JFK,67.0,7.6,44.5,26.4,68,0,none,spring,high
SYD,117.2,13.9,31.9,27.2,76,1,none,autumn,high
FRA,32.3,16.4,24.4,3.8,52,0,none,winter,low
SYD,61.7,13.1,2.0,45.3,27,0,heavy,summer,medium
SYD,87.3,18.0,11.4,20.7,22,0,heavy,winter,medium
NRT,54.7,18.5,9.3,31.9,89,0,none,winter,low
DXB,112.9,15.3,8.6,4.1,25,1,none,winter,medium
LHR,42.1,8.8,45.7,29.9,24,0,none,spring,medium
SYD,65.6,15.3,32.5,10.9,26,0,light,spring,medium
JFK,14.8,7.1,42.0,12.7,97,0,heavy,summer,medium
JFK,59.9,11.1,6.3,9.6,83,0,heavy,spring,medium
DXB,20.2,11.1,1.6,24.5,92,0,light,spring,low
CDG,87.7,11.5,27.5,35.6,60,1,none,winter,medium
NRT,93.7,0.3,18.2,32.8,55,1,light,spring,high
LAX,42.6,17.7,1.2,14.4,26,1,heavy,autumn,low
LHR,29.7,5.9,25.8,3.1,69,1,light,winter,medium
NRT,13.1,8.3,11.3,3.1,31,0,light,summer,medium
SIN,48.4,18.6,45.5,24.2,10,0,light,summer,medium
LHR,34.1,9.9,43.8,5.2,10,0,heavy,winter,medium
FRA,36.8,16.9,12.2,16.8,80,0,heavy,winter,low
LAX,118.4,7.1,20.9,33.9,28,1,none,summer,high
FRA,54.1,18.3,37.8,5.5,75,1,none,spring,medium
CDG,47.3,2.4,22.8,43.9,92,1,light,spring,high
LHR,17.8,9.6,32.5,29.9,11,1,heavy,spring,medium
SIN,0.8,17.7,45.5,14.4,54,0,heavy,autumn,low
NRT,110.5,11.7,20.5,25.1,83,1,heavy,autumn,high
DXB,15.4,9.1,39.2,30.3,22,0,heavy,winter,medium
FRA,112.3,11.9,31.1,35.6,36,1,light,autumn,high
BOM,69.5,11.2,23.8,-5.1,12,1,heavy,winter,medium
SIN,33.8,4.6,17.6,23.8,14,0,light,autumn,medium
SYD,8.6,15.5,46.1,9.9,93,0,none,autumn,medium
FRA,62.2,7.4,5.4,40.5,95,1,none,summer,medium
LAX,112.9,2.0,36.1,16.2,10,1,light,winter,high
JFK,78.5,5.1,23.6,32.1,17,0,light,summer,high
BOM,9.5,16.6,12.1,47.9,63,1,light,winter,low
CDG,115.3,19.7,0.2,-2.6,28,0,heavy,autumn,medium
BOM,27.6,18.4,13.1,23.4,84,0,heavy,summer,low
JFK,48.2,8.3,29.0,41.0,27,1,none,winter,medium
JFK,67.0,1.4,39.9,29.9,89,1,heavy,spring,high
SIN,6.9,7.0,31.7,42.6,39,1,light,winter,medium
BOM,91.4,13.9,4.8,18.3,42,1,heavy,winter,medium
NRT,26.3,19.7,18.6,33.1,91,0,none,spring,low
JFK,119.0,13.9,3.2,48.4,63,0,none,spring,medium
LAX,15.8,4.2,32.3,25.1,76,1,none,spring,medium
NRT,66.7,4.5,40.3,52.8,12,1,none,summer,high
CDG,99.4,15.1,43.4,17.7,51,1,none,summer,high
LHR,48.0,12.5,21.0,20.7,44,1,none,summer,medium
BOM,95.1,2.4,45.5,16.4,77,0,none,autumn,high
LAX,89.2,6.0,26.3,32.5,57,1,light,autumn,high
JFK,96.6,17.9,15.8,12.2,74,0,none,spring,medium
FRA,84.5,8.7,46.5,31.4,94,0,heavy,winter,high
JFK,78.4,3.2,12.7,6.2,88,0,heavy,autumn,high
JFK,58.7,14.6,19.9,32.0,53,0,light,autumn,medium
JFK,24.9,2.2,1.1,27.0,99,0,light,spring,medium
CDG,41.5,11.7,16.9,34.1,28,0,light,autumn,medium
SIN,29.3,4.7,6.6,-11.0,68,1,light,spring,medium
DXB,87.5,13.7,5.5,10.4,96,0,light,autumn,medium
LAX,58.4,1.6,32.6,40.8,36,0,heavy,summer,high
DXB,43.4,6.2,22.3,-0.5,97,0,none,winter,medium
SYD,87.4,12.5,28.6,23.4,38,1,heavy,summer,medium
DXB,74.7,10.6,13.9,25.7,47,1,heavy,winter,medium
JFK,63.6,17.3,7.9,17.2,16,0,none,spring,low
LAX,2.1,1.1,26.1,22.2,99,1,light,summer,medium
DXB,108.0,6.2,21.1,3.5,13,1,light,winter,high
SIN,79.6,0.6,40.3,22.0,29,1,none,autumn,high
DXB,43.0,19.8,27.9,15.4,77,1,heavy,winter,low
DXB,118.7,8.7,22.9,31.4,37,1,none,winter,high
LHR,42.2,15.5,19.1,36.2,25,1,heavy,winter,medium
DXB,80.5,0.8,32.7,13.7,11,0,heavy,autumn,high
JFK,11.9,9.5,15.7,27.7,15,1,heavy,autumn,medium
SYD,100.1,19.8,4.6,21.2,41,1,heavy,spring,medium
NRT,85.5,11.5,33.7,3.2,59,1,light,winter,medium
FRA,23.7,16.4,11.3,14.7,79,0,heavy,spring,low
CDG,80.6,16.8,3.7,7.8,71,1,none,spring,medium
LHR,17.8,7.3,44.6,26.2,56,1,none,spring,medium
NRT,119.7,8.7,20.3,5.5,68,0,heavy,autumn,high
JFK,8.9,14.4,16.6,21.2,96,1,heavy,spring,low
BOM,58.1,10.3,21.7,30.4,57,1,light,autumn,medium
LHR,113.7,2.4,15.2,5.7,80,1,heavy,spring,high
JFK,78.4,7.4,9.5,39.5,53,1,light,spring,medium
NRT,39.6,8.1,29.4,44.6,80,1,heavy,winter,medium
DXB,77.4,7.6,10.6,3.4,99,1,none,spring,medium
LHR,87.9,5.7,25.5,13.8,74,1,light,summer,high
NRT,58.1,11.0,28.9,10.3,42,1,heavy,autumn,medium
FRA,37.8,6.2,45.6,21.9,92,1,light,autumn,medium
JFK,118.3,12.2,7.8,9.6,21,0,heavy,autumn,medium
SYD,56.7,11.4,48.7,34.4,78,1,none,winter,medium
CDG,22.4,0.1,45.6,11.5,80,0,light,summer,high
LHR,88.9,12.7,21.7,33.3,98,1,light,spring,medium
LAX,38.3,12.5,46.2,12.1,15,1,heavy,summer,medium
LAX,23.5,7.0,42.0,38.4,72,0,none,winter,medium
NRT,71.6,7.9,16.7,31.9,36,1,light,autumn,medium
CDG,29.3,15.9,46.7,11.8,88,1,none,winter,medium
CDG,51.3,15.3,2.9,29.3,46,1,heavy,winter,low
FRA,74.3,19.4,8.2,5.3,52,1,none,summer,low
SIN,75.2,8.3,29.6,32.4,47,1,light,summer,high
SYD,34.2,4.0,0.4,15.3,74,1,light,summer,medium
SIN,66.4,8.7,37.8,18.7,12,0,none,summer,medium
LHR,33.6,16.8,32.3,10.4,65,1,light,autumn,medium
NRT,81.7,15.4,45.4,35.0,51,1,light,autumn,medium
FRA,53.5,4.3,27.1,36.2,24,0,none,summer,high
CDG,14.6,7.0,40.7,7.4,16,1,light,spring,medium
BOM,29.2,19.8,0.6,-2.2,10,0,heavy,spring,low
DXB,99.2,6.5,19.8,9.9,73,0,heavy,winter,high
LHR,60.8,2.4,15.8,22.4,91,0,light,spring,high
NRT,11.7,9.5,3.9,2.4,64,0,light,spring,low
SYD,36.1,1.6,6.0,2.3,86,0,light,autumn,medium
SIN,64.6,1.1,49.7,3.9,81,1,light,winter,high
SYD,84.9,10.4,2.7,1.0,55,1,light,spring,medium
LHR,47.9,5.4,27.1,27.6,14,1,heavy,spring,medium
CDG,87.3,18.7,15.1,18.6,22,0,heavy,autumn,medium
SYD,67.1,10.5,48.2,37.8,25,0,none,autumn,high
SYD,96.6,12.5,16.5,2.5,18,0,light,summer,medium
NRT,87.5,10.3,17.2,10.5,85,0,heavy,autumn,medium
LHR,56.2,0.2,27.3,36.3,83,0,heavy,spring,high
LHR,80.1,19.6,8.0,20.1,52,0,heavy,autumn,medium
JFK,103.4,12.4,45.2,29.2,60,0,none,autumn,high
JFK,119.5,18.4,37.0,12.3,64,1,heavy,winter,medium
SYD,1.7,15.7,44.2,19.8,97,1,none,summer,low
DXB,20.1,18.0,49.3,-13.3,35,0,none,autumn,medium
LHR,101.6,16.8,49.0,40.4,42,1,heavy,summer,medium
BOM,32.2,2.6,21.2,31.3,23,1,light,winter,medium
JFK,28.6,9.1,44.8,-9.8,86,0,none,winter,medium
SIN,51.7,2.5,29.0,17.2,28,1,none,autumn,high
SYD,111.1,19.8,48.8,29.4,46,0,heavy,spring,medium
DXB,21.9,12.5,24.0,26.7,75,0,heavy,autumn,medium
JFK,32.6,12.7,24.8,23.8,11,0,none,winter,medium
JFK,100.4,19.7,35.5,29.8,58,0,heavy,winter,medium
FRA,94.4,13.7,3.5,17.3,55,0,none,autumn,medium
SIN,76.0,11.1,5.1,13.2,23,0,light,winter,medium
LAX,90.5,14.1,29.8,26.2,37,0,light,summer,medium
NRT,33.2,19.2,34.5,11.5,83,1,light,spring,low
SIN,79.3,3.4,32.5,28.2,97,0,light,spring,high
JFK,69.0,13.5,36.7,21.5,50,1,heavy,winter,medium
LAX,98.0,0.3,21.1,27.0,71,0,heavy,autumn,high
DXB,2.3,15.6,11.4,32.7,10,1,heavy,autumn,low
LAX,4.1,17.1,23.3,42.1,85,1,none,summer,low
DXB,63.2,8.3,4.6,21.0,93,0,light,winter,medium
SYD,98.8,8.2,29.5,13.3,24,0,heavy,winter,high
NRT,66.6,3.4,21.8,15.0,74,1,light,spring,high
NRT,43.3,1.1,6.7,31.9,58,1,none,spring,medium
LAX,83.2,1.2,49.4,17.8,47,0,none,winter,high
LHR,74.6,16.4,45.7,31.3,44,0,none,summer,medium
LHR,4.0,8.0,46.7,21.1,83,0,none,spring,medium
LAX,30.3,16.0,20.7,39.9,51,0,heavy,summer,low
SYD,17.0,6.9,27.3,24.4,20,0,light,spring,medium
NRT,94.1,2.2,41.5,9.6,52,0,none,autumn,high
LHR,53.9,18.3,25.5,39.4,94,0,none,winter,medium
LHR,5.3,5.1,22.0,10.3,21,1,heavy,summer,medium
NRT,92.4,1.6,31.8,8.1,92,1,heavy,winter,high
SIN,88.7,4.1,8.9,27.7,62,0,none,autumn,high
LHR,48.4,17.6,2.6,7.2,50,1,none,winter,low
SIN,0.1,19.1,44.1,23.6,52,0,light,autumn,low
FRA,6.1,16.0,17.9,21.2,38,0,light,winter,low
SYD,31.2,7.0,1.1,24.7,22,1,light,winter,medium
DXB,113.0,11.1,29.6,52.4,73,0,light,summer,high
SYD,2.0,9.6,2.9,28.6,27,0,light,winter,low
NRT,50.4,3.6,31.5,17.0,43,1,light,winter,high
FRA,13.1,15.7,29.4,63.3,57,1,heavy,spring,low
LAX,70.1,16.3,15.3,33.7,45,0,heavy,winter,medium
SYD,99.6,3.9,2.8,15.6,28,1,light,summer,high
NRT,21.7,14.6,18.7,44.0,69,1,heavy,spring,low
SYD,45.6,10.0,3.6,-8.0,16,1,none,winter,medium
LHR,37.9,3.3,21.1,18.8,89,1,light,autumn,medium
LHR,39.7,14.9,49.5,14.4,51,1,heavy,autumn,medium
NRT,87.0,5.2,14.2,21.5,54,1,none,spring,high
LAX,12.9,15.8,19.3,23.6,81,0,light,summer,low
SYD,62.4,19.7,22.8,15.3,22,0,heavy,summer,medium
LHR,13.6,6.1,4.0,33.8,87,1,heavy,summer,medium
NRT,103.5,6.7,20.3,37.5,86,0,light,autumn,high
DXB,68.7,11.4,37.3,1.1,74,1,light,winter,medium
DXB,70.6,17.8,15.9,-0.2,99,0,heavy,summer,medium
BOM,98.8,18.0,25.3,44.8,60,1,none,spring,medium
BOM,36.6,8.8,12.0,14.1,92,1,heavy,winter,medium
JFK,108.2,7.8,49.8,-4.6,37,0,none,spring,high
SYD,17.8,4.4,24.0,17.5,81,1,heavy,spring,medium
SIN,95.5,15.7,24.1,25.9,64,0,heavy,spring,medium
SIN,45.0,15.0,26.2,29.4,19,1,heavy,autumn,medium
DXB,11.7,2.9,34.1,28.1,18,1,light,spring,medium
SIN,69.7,10.6,47.4,19.3,62,0,heavy,spring,high
LAX,83.3,5.0,1.4,-0.6,74,1,heavy,winter,medium
SYD,98.0,14.2,12.0,19.9,34,1,heavy,winter,medium
SIN,8.3,8.4,49.7,29.8,76,1,light,spring,medium
BOM,1.0,1.9,16.5,36.8,10,0,none,summer,medium
BOM,19.7,9.3,10.1,25.8,24,0,none,winter,medium
CDG,44.6,9.7,38.4,39.4,79,1,none,spring,medium
SYD,61.2,7.8,21.2,3.9,36,1,heavy,spring,medium
CDG,0.4,17.8,43.7,21.0,61,0,none,winter,low
CDG,28.8,3.5,40.6,16.1,58,1,light,spring,medium
LHR,37.1,5.9,31.4,47.6,72,1,heavy,spring,medium
SIN,38.2,8.0,37.3,33.3,62,0,none,spring,medium
JFK,57.5,12.9,8.2,68.1,81,1,heavy,summer,medium
FRA,11.5,7.9,47.5,24.0,41,1,none,spring,medium
NRT,91.8,16.3,21.1,32.1,60,0,heavy,spring,medium
NRT,47.4,19.2,26.4,24.7,73,0,heavy,summer,low
LAX,35.4,14.6,0.9,2.8,49,0,heavy,spring,low
DXB,6.2,0.3,17.4,15.5,64,1,heavy,winter,medium
CDG,56.1,19.8,28.3,22.1,29,1,light,spring,medium
CDG,110.9,15.4,23.5,0.4,83,1,none,autumn,medium
BOM,45.4,15.2,33.9,19.9,54,1,heavy,summer,medium
BOM,98.1,10.0,7.9,0.5,46,0,light,summer,medium
CDG,46.5,0.4,0.5,67.2,62,1,heavy,winter,medium
DXB,109.2,10.2,34.2,37.4,64,0,heavy,autumn,high
JFK,36.0,3.8,36.0,28.0,97,0,none,winter,medium
BOM,32.4,13.5,7.6,34.3,13,0,none,winter,low
SYD,96.6,0.5,48.5,41.3,64,0,heavy,summer,high
JFK,61.9,9.0,3.6,42.0,13,0,light,winter,medium
FRA,90.4,16.6,26.1,24.1,19,0,none,autumn,medium
NRT,111.9,19.6,33.0,17.5,75,0,none,summer,medium
NRT,21.4,19.6,25.8,25.8,16,0,heavy,summer,low
DXB,42.0,18.5,27.2,21.8,49,0,light,winter,low
LAX,34.0,9.2,20.5,0.8,35,1,heavy,summer,medium
DXB,41.6,12.4,21.7,-7.2,63,0,heavy,summer,medium
BOM,14.2,1.0,24.4,35.2,65,0,heavy,summer,medium
LAX,30.3,9.9,21.0,34.3,15,0,none,spring,medium
SIN,52.4,16.2,17.7,19.0,41,0,heavy,autumn,medium
SIN,14.3,2.0,3.6,4.9,69,0,none,spring,medium
SIN,106.8,7.0,39.6,11.4,23,1,light,spring,high
LAX,100.2,10.3,22.1,29.3,45,1,none,winter,high
DXB,61.4,11.0,7.7,15.6,75,0,light,autumn,medium
