preferred_class,budget_usd,preferred_airline,avg_rating_given,trips_per_year,loyalty_tier,prefers_direct,recommended_airline
First,4116,AeroGulf,4.2,20,Silver,1,SkyMind
Economy,3764,AsiaJet,4.5,4,Bronze,1,SkyMind
Business,380,SkyMind,3.9,16,Bronze,0,AsiaJet
First,2621,EuroWings,2.1,23,Gold,1,AeroGulf
Economy,4114,SkyMind,1.3,15,Platinum,1,SkyMind
Business,585,AeroGulf,2.9,20,Bronze,0,EuroWings
First,4961,AsiaJet,2.1,5,Silver,1,SkyMind
First,4816,AsiaJet,2.4,24,Platinum,1,SkyMind
Business,4073,AsiaJet,2.3,29,Silver,0,SkyMind
Business,4753,PacificAir,1.8,6,Platinum,1,SkyMind
Business,3705,EuroWings,4.9,13,Gold,1,SkyMind
Business,2970,SkyMind,4.4,1,Bronze,0,AeroGulf
Business,2493,AeroGulf,1.3,20,Platinum,0,AeroGulf
Business,1413,PacificAir,4.4,8,Silver,1,PacificAir
Business,2407,EuroWings,1.1,6,Silver,0,AeroGulf
Economy,2461,AsiaJet,4.3,7,Bronze,1,AeroGulf
Economy,4336,SkyMind,1.8,20,Silver,1,SkyMind
Economy,353,AsiaJet,2.9,11,Gold,0,AsiaJet
Economy,3464,PacificAir,2.3,3,Bronze,0,SkyMind
First,492,EuroWings,3.3,20,Platinum,0,AsiaJet
Economy,235,SkyMind,2.8,19,Gold,0,AsiaJet
Business,3361,EuroWings,1.1,1,Bronze,1,SkyMind
Economy,2433,AeroGulf,4.0,14,Bronze,1,AeroGulf
Business,4788,AsiaJet,2.9,18,Platinum,0,SkyMind
First,2374,AeroGulf,1.8,20,Silver,0,AeroGulf
Economy,4697,EuroWings,3.4,14,Gold,0,SkyMind
Economy,1531,PacificAir,1.7,6,Bronze,1,PacificAir
First,720,SkyMind,3.2,29,Platinum,0,EuroWings
Business,3859,SkyMind,2.7,22,Gold,1,SkyMind
Business,1145,PacificAir,3.1,25,Silver,1,PacificAir
Economy,2326,EuroWings,3.3,19,Bronze,1,AeroGulf
Economy,1324,EuroWings,1.2,1,Platinum,1,PacificAir
Economy,4129,SkyMind,3.5,6,Gold,1,SkyMind
Economy,4823,EuroWings,2.2,17,Bronze,0,SkyMind
Economy,2086,SkyMind,2.4,28,Silver,1,AeroGulf
Economy,3571,SkyMind,4.1,9,Gold,1,SkyMind
Business,664,AeroGulf,1.7,24,Bronze,1,EuroWings
Business,3849,SkyMind,2.4,1,Bronze,1,SkyMind
First,4883,SkyMind,1.3,15,Silver,0,SkyMind
First,4382,PacificAir,4.9,27,Silver,1,SkyMind
Economy,1898,AsiaJet,1.9,17,Bronze,1,PacificAir
Economy,4496,AeroGulf,4.5,24,Silver,1,SkyMind
First,2592,EuroWings,3.4,18,Silver,0,AeroGulf
First,3395,EuroWings,2.7,18,Gold,0,SkyMind
First,1217,EuroWings,3.3,1,Silver,1,PacificAir
Business,1342,AeroGulf,3.3,27,Silver,1,PacificAir
First,4764,AeroGulf,3.4,19,Gold,0,SkyMind
First,624,AsiaJet,2.4,6,Platinum,1,EuroWings
Economy,611,PacificAir,4.5,20,Silver,1,EuroWings
Business,2826,AsiaJet,4.1,22,Silver,0,AeroGulf
Economy,195,PacificAir,4.9,18,Silver,1,AsiaJet
First,2017,PacificAir,4.3,5,Bronze,0,AeroGulf
First,2095,AsiaJet,2.5,14,Gold,0,AeroGulf
First,2514,PacificAir,2.3,29,Platinum,1,AeroGulf
First,3171,PacificAir,2.9,26,Bronze,1,SkyMind
Economy,4320,PacificAir,1.2,18,Gold,1,SkyMind
Economy,1692,EuroWings,2.6,19,Silver,0,PacificAir
First,113,AeroGulf,1.1,18,Platinum,1,AsiaJet
First,155,PacificAir,1.7,7,Silver,0,AsiaJet
Business,4597,PacificAir,2.3,6,Platinum,1,SkyMind
First,2014,SkyMind,3.6,3,Platinum,1,AeroGulf
Business,2104,AeroGulf,4.9,6,Bronze,0,AeroGulf
Economy,196,AeroGulf,1.6,3,Gold,0,AsiaJet
First,4946,AsiaJet,1.4,29,Gold,0,SkyMind
Economy,1432,PacificAir,4.7,7,Gold,0,PacificAir
First,4582,AeroGulf,3.0,20,Bronze,0,SkyMind
First,4581,SkyMind,3.4,7,Bronze,1,SkyMind
Business,4567,AeroGulf,1.1,26,Bronze,0,SkyMind
Economy,4709,PacificAir,2.3,4,Platinum,1,SkyMind
Economy,4678,AsiaJet,3.0,9,Silver,0,SkyMind
Economy,196,AsiaJet,2.0,21,Bronze,0,AsiaJet
Business,415,EuroWings,4.2,26,Gold,1,AsiaJet
Economy,1252,AsiaJet,3.4,8,Gold,1,PacificAir
First,861,SkyMind,4.8,14,Gold,1,EuroWings
Business,3695,AsiaJet,3.8,24,Bronze,0,SkyMind
Business,4307,EuroWings,1.6,23,Bronze,1,SkyMind
First,232,AeroGulf,3.1,26,Silver,0,AsiaJet
Economy,849,EuroWings,1.6,4,Gold,0,EuroWings
Business,3889,AeroGulf,4.4,25,Gold,1,SkyMind
Economy,1303,EuroWings,2.3,27,Gold,1,PacificAir
Business,3663,SkyMind,2.7,28,Bronze,0,SkyMind
Economy,2130,AsiaJet,4.5,5,Silver,0,AeroGulf
First,2628,SkyMind,2.1,1,Silver,0,AeroGulf
Business,4110,SkyMind,2.8,15,Silver,1,SkyMind
First,840,AsiaJet,4.1,15,Platinum,1,EuroWings
Economy,413,SkyMind,1.3,20,Gold,1,AsiaJet
Business,3329,PacificAir,2.1,10,Bronze,1,SkyMind
First,1672,SkyMind,1.4,20,Silver,0,PacificAir
Economy,2311,EuroWings,4.0,5,Platinum,0,AeroGulf
First,2714,SkyMind,1.6,21,Gold,0,AeroGulf
First,671,AsiaJet,4.8,13,Bronze,0,EuroWings
Business,3265,PacificAir,2.5,20,Silver,1,SkyMind
Economy,4344,AsiaJet,3.1,29,Gold,1,SkyMind
First,3075,AeroGulf,1.9,8,Silver,0,SkyMind
Business,4035,AsiaJet,4.4,6,Silver,1,SkyMind
Business,3084,SkyMind,2.0,19,Bronze,1,SkyMind
First,2205,AeroGulf,2.9,13,Silver,0,AeroGulf
Economy,289,AsiaJet,4.9,25,Platinum,1,AsiaJet
Economy,501,PacificAir,2.9,10,Bronze,0,EuroWings
Economy,505,AeroGulf,3.0,28,Silver,0,EuroWings
Business,3216,EuroWings,4.5,15,Silver,0,SkyMind
Business,2202,AeroGulf,4.6,28,Platinum,1,AeroGulf
First,522,AeroGulf,3.8,29,Bronze,1,EuroWings
Economy,2255,SkyMind,1.1,28,Bronze,1,AeroGulf
First,2087,AsiaJet,3.9,4,Gold,0,AeroGulf
Economy,2141,AeroGulf,4.0,1,Silver,1,AeroGulf
Business,4107,AeroGulf,2.4,20,Silver,1,SkyMind
Economy,1581,AeroGulf,3.5,26,Gold,1,PacificAir
Economy,2977,AsiaJet,2.1,23,Platinum,0,AeroGulf
Economy,2605,PacificAir,2.3,4,Bronze,1,AeroGulf
First,303,AsiaJet,2.4,25,Platinum,1,AsiaJet
Business,3051,PacificAir,4.5,6,Platinum,1,SkyMind
Business,518,AeroGulf,4.7,27,Gold,0,EuroWings
Economy,1539,AsiaJet,3.9,19,Platinum,1,PacificAir
First,700,AsiaJet,1.7,28,Platinum,0,EuroWings
Economy,1715,AsiaJet,3.8,17,Platinum,1,PacificAir
First,4428,AeroGulf,2.0,8,Bronze,0,SkyMind
Economy,1118,AeroGulf,1.6,3,Gold,1,PacificAir
First,950,PacificAir,3.0,9,Bronze,1,EuroWings
Economy,3764,PacificAir,4.6,11,Silver,1,SkyMind
Business,962,AsiaJet,2.5,6,Silver,1,EuroWings
Business,4843,EuroWings,3.6,25,Bronze,1,SkyMind
Business,4118,SkyMind,4.0,28,Bronze,0,SkyMind
Economy,3031,AeroGulf,4.4,27,Gold,0,SkyMind
Business,2916,SkyMind,1.2,13,Gold,1,AeroGulf
First,1215,SkyMind,3.0,4,Silver,1,PacificAir
First,3032,SkyMind,4.6,4,Gold,1,SkyMind
Economy,468,PacificAir,2.2,17,Gold,0,AsiaJet
Business,676,AeroGulf,1.3,4,Gold,0,EuroWings
First,576,EuroWings,2.5,27,Silver,0,EuroWings
Economy,4492,EuroWings,3.9,20,Platinum,0,SkyMind
Business,3908,EuroWings,4.9,12,Gold,0,SkyMind
Business,117,AsiaJet,3.3,16,Silver,0,AsiaJet
Economy,2151,AeroGulf,4.7,14,Platinum,1,AeroGulf
First,2800,PacificAir,4.7,17,Platinum,0,AeroGulf
First,2201,PacificAir,4.3,20,Gold,0,AeroGulf
First,2876,AsiaJet,2.8,2,Silver,0,AeroGulf
First,1400,PacificAir,3.9,18,Gold,0,PacificAir
Economy,2544,AeroGulf,4.7,3,Bronze,0,AeroGulf
Business,2482,AsiaJet,4.4,17,Gold,0,AeroGulf
Business,4994,EuroWings,3.3,11,Platinum,0,SkyMind
First,2664,SkyMind,4.5,12,Gold,1,AeroGulf
First,2412,EuroWings,4.4,25,Platinum,0,AeroGulf
First,2143,SkyMind,1.5,5,Platinum,1,AeroGulf
Economy,1168,AeroGulf,2.1,17,Bronze,1,PacificAir
Economy,2658,AeroGulf,4.4,12,Gold,1,AeroGulf
Business,4401,AeroGulf,4.1,2,Bronze,1,SkyMind
Business,2169,PacificAir,2.5,20,Platinum,0,AeroGulf
First,2075,AeroGulf,3.1,26,Bronze,1,AeroGulf
Business,4711,AsiaJet,4.9,17,Platinum,1,SkyMind
First,3784,PacificAir,2.5,20,Platinum,1,SkyMind
First,1267,PacificAir,1.9,3,Platinum,0,PacificAir
First,114,PacificAir,3.7,1,Gold,1,AsiaJet
Economy,4971,PacificAir,1.7,28,Platinum,1,SkyMind
Business,3871,EuroWings,1.4,15,Silver,1,SkyMind
Business,2052,AeroGulf,4.5,6,Gold,1,AeroGulf
Economy,555,EuroWings,4.5,25,Bronze,1,EuroWings
Business,959,AsiaJet,4.1,25,Platinum,0,EuroWings
First,2096,AsiaJet,1.1,6,Platinum,0,AeroGulf
Economy,432,EuroWings,1.8,12,Bronze,1,AsiaJet
Economy,3460,AsiaJet,4.2,22,Bronze,0,SkyMind
Economy,4409,EuroWings,4.2,25,Gold,0,SkyMind
First,1394,PacificAir,2.9,13,Bronze,0,PacificAir
First,2617,PacificAir,4.4,8,Bronze,0,AeroGulf
Economy,4655,SkyMind,4.4,4,Gold,0,SkyMind
Economy,4819,PacificAir,4.3,13,Silver,0,SkyMind
Business,856,EuroWings,4.0,24,Gold,1,EuroWings
First,1342,AsiaJet,4.3,10,Gold,1,PacificAir
Business,2378,EuroWings,1.5,17,Silver,1,AeroGulf
First,2048,PacificAir,3.1,10,Platinum,0,AeroGulf
Business,4673,SkyMind,2.8,2,Gold,1,SkyMind
Economy,1901,EuroWings,1.2,16,Bronze,1,PacificAir
Business,485,EuroWings,5.0,10,Silver,0,AsiaJet
First,1547,PacificAir,3.1,23,Gold,1,PacificAir
Business,4155,AeroGulf,4.3,9,Bronze,1,SkyMind
First,4245,PacificAir,2.7,23,Bronze,0,SkyMind
Economy,4421,PacificAir,2.3,26,Bronze,1,SkyMind
Economy,403,SkyMind,3.1,7,Bronze,1,AsiaJet
Business,4507,AsiaJet,1.6,16,Silver,1,SkyMind
Economy,309,AeroGulf,1.7,2,Platinum,1,AsiaJet
Business,4868,AeroGulf,1.2,6,Bronze,0,SkyMind
Business,3053,AsiaJet,4.4,28,Bronze,0,SkyMind
Economy,748,AsiaJet,3.2,26,Platinum,1,EuroWings
Economy,3785,PacificAir,4.9,14,Silver,1,SkyMind
First,4345,AsiaJet,4.3,8,Platinum,0,SkyMind
First,1300,AeroGulf,3.2,11,Platinum,0,PacificAir
First,160,SkyMind,3.1,1,Bronze,1,AsiaJet
Business,596,EuroWings,3.0,28,Bronze,0,EuroWings
Economy,724,AsiaJet,1.2,13,Gold,1,EuroWings
Economy,3961,AsiaJet,1.2,7,Platinum,1,SkyMind
Economy,120,AeroGulf,3.0,19,Bronze,0,AsiaJet
Economy,2450,PacificAir,4.6,14,Silver,1,AeroGulf
First,1984,SkyMind,3.6,6,Gold,1,PacificAir
Business,1956,AeroGulf,3.1,21,Gold,0,PacificAir
Business,2765,SkyMind,3.5,19,Bronze,0,AeroGulf
Economy,3136,AsiaJet,2.3,28,Gold,1,SkyMind
Business,244,EuroWings,2.4,24,Silver,1,AsiaJet
Economy,4245,SkyMind,4.0,24,Platinum,1,SkyMind
Business,2867,EuroWings,1.8,3,Platinum,1,AeroGulf
Economy,2600,AeroGulf,1.7,17,Platinum,1,AeroGulf
First,3919,SkyMind,3.1,7,Silver,1,SkyMind
Economy,112,AeroGulf,4.0,9,Platinum,1,AsiaJet
Business,1059,AsiaJet,2.2,1,Silver,1,PacificAir
Economy,4781,AsiaJet,2.7,19,Platinum,1,SkyMind
First,1975,SkyMind,3.2,20,Gold,0,PacificAir
Business,1474,EuroWings,4.6,6,Bronze,1,PacificAir
First,2172,AeroGulf,3.5,10,Bronze,0,AeroGulf
First,887,AeroGulf,4.4,12,Silver,0,EuroWings
Business,3034,PacificAir,2.5,28,Gold,0,SkyMind
Business,670,AeroGulf,3.4,8,Gold,0,EuroWings
Business,3373,SkyMind,3.6,29,Bronze,1,SkyMind
First,1506,PacificAir,4.7,6,Bronze,1,PacificAir
Business,3644,AeroGulf,4.2,28,Platinum,1,SkyMind
Economy,3460,AeroGulf,1.6,26,Platinum,0,SkyMind
Economy,2753,SkyMind,3.7,19,Gold,0,AeroGulf
Economy,4073,AeroGulf,1.2,3,Bronze,0,SkyMind
Economy,1308,SkyMind,5.0,18,Platinum,0,PacificAir
Business,1079,PacificAir,2.6,27,Gold,1,PacificAir
Economy,1840,AeroGulf,3.7,25,Platinum,1,PacificAir
First,2460,PacificAir,1.8,27,Platinum,0,AeroGulf
First,4550,AsiaJet,4.1,25,Silver,0,SkyMind
First,3132,AeroGulf,3.8,18,Platinum,1,SkyMind
Business,174,PacificAir,2.4,10,Silver,0,AsiaJet
First,1278,EuroWings,2.4,15,Gold,0,PacificAir
Economy,1696,EuroWings,3.7,16,Gold,1,PacificAir
First,3914,SkyMind,2.5,8,Bronze,0,SkyMind
Business,872,EuroWings,4.8,28,Platinum,1,EuroWings
Economy,564,PacificAir,2.3,11,Platinum,1,EuroWings
First,4039,AeroGulf,2.1,7,Bronze,0,SkyMind
Economy,2100,SkyMind,4.0,13,Gold,0,AeroGulf
Business,1976,SkyMind,1.4,22,Gold,0,PacificAir
Business,294,AsiaJet,3.3,27,Silver,1,AsiaJet
Business,2279,SkyMind,3.5,12,Silver,0,AeroGulf
Business,4790,AsiaJet,2.2,16,Silver,1,SkyMind
Economy,3157,EuroWings,4.8,15,Gold,0,SkyMind
First,456,EuroWings,2.7,11,Silver,0,AsiaJet
Economy,614,EuroWings,2.1,21,Bronze,0,EuroWings
Business,3766,SkyMind,3.7,3,Silver,0,SkyMind
First,340,PacificAir,3.9,5,Silver,1,AsiaJet
Economy,2627,AsiaJet,2.7,29,Platinum,1,AeroGulf
First,2038,AsiaJet,1.7,23,Bronze,0,AeroGulf
First,3842,SkyMind,3.5,20,Platinum,0,SkyMind
Economy,206,PacificAir,2.0,5,Platinum,0,AsiaJet
Business,2067,SkyMind,1.9,26,Bronze,0,AeroGulf
Business,1305,AsiaJet,3.3,21,Platinum,0,PacificAir
First,410,PacificAir,4.9,2,Gold,1,AsiaJet
Business,2717,EuroWings,3.8,2,Gold,0,AeroGulf
Economy,1721,EuroWings,4.2,17,Silver,0,PacificAir
Economy,2331,EuroWings,3.9,17,Bronze,0,AeroGulf
Business,2514,AeroGulf,2.5,18,Platinum,0,AeroGulf
Business,4642,AeroGulf,4.6,13,Silver,0,SkyMind
Business,3107,EuroWings,4.2,23,Gold,0,SkyMind
First,451,AsiaJet,3.8,5,Bronze,0,AsiaJet
First,695,PacificAir,3.2,21,Bronze,0,EuroWings
Economy,4391,AsiaJet,2.4,17,Silver,0,SkyMind
Economy,3282,AeroGulf,2.8,24,Silver,1,SkyMind
First,2029,PacificAir,2.2,17,Bronze,1,AeroGulf
Economy,3731,PacificAir,4.7,16,Gold,0,SkyMind
First,1730,SkyMind,2.3,14,Gold,1,PacificAir
First,1223,EuroWings,4.8,16,Bronze,1,PacificAir
First,2756,AsiaJet,2.8,26,Platinum,0,AeroGulf
First,2682,PacificAir,4.3,21,Silver,0,AeroGulf
Economy,3789,PacificAir,2.0,11,Bronze,0,SkyMind
Economy,1660,SkyMind,4.9,24,Silver,0,PacificAir
Business,2363,EuroWings,4.6,18,Gold,1,AeroGulf
First,284,EuroWings,3.8,6,Platinum,0,AsiaJet
First,4733,AeroGulf,4.7,4,Bronze,1,SkyMind
Business,2823,AsiaJet,3.5,6,Silver,1,AeroGulf
Business,4739,AsiaJet,1.1,2,Bronze,0,SkyMind
Business,510,SkyMind,2.0,14,Platinum,0,EuroWings
Business,562,SkyMind,1.4,23,Silver,1,EuroWings
First,1505,SkyMind,1.3,17,Gold,0,PacificAir
Economy,2053,EuroWings,2.9,18,Gold,0,AeroGulf
Economy,2622,PacificAir,4.9,6,Bronze,1,AeroGulf
Economy,1212,PacificAir,2.6,5,Silver,0,PacificAir
Business,1409,PacificAir,4.9,22,Bronze,0,PacificAir
First,3299,AsiaJet,4.6,17,Gold,1,SkyMind
Economy,772,PacificAir,1.7,16,Silver,1,EuroWings
First,2778,AsiaJet,4.5,17,Bronze,1,AeroGulf
First,491,AeroGulf,2.0,22,Gold,0,AsiaJet
Economy,2472,AeroGulf,1.2,11,Bronze,1,AeroGulf
First,4209,PacificAir,1.5,29,Silver,0,SkyMind
Business,4420,AeroGulf,3.1,13,Platinum,1,SkyMind
First,1952,SkyMind,3.5,28,Platinum,0,PacificAir
Business,1492,AeroGulf,1.1,3,Platinum,1,PacificAir
First,1144,SkyMind,3.8,23,Gold,0,PacificAir
Economy,836,AeroGulf,1.3,11,Gold,1,EuroWings
Business,4557,PacificAir,3.6,20,Bronze,0,SkyMind
First,3262,PacificAir,1.2,10,Gold,0,SkyMind
First,3308,SkyMind,2.2,28,Bronze,1,SkyMind
Economy,3267,AeroGulf,4.5,28,Bronze,1,SkyMind
Economy,2508,SkyMind,4.8,15,Bronze,1,AeroGulf
Business,1709,SkyMind,1.2,7,Gold,1,PacificAir
First,3936,EuroWings,4.3,21,Bronze,1,SkyMind
First,4641,EuroWings,3.4,29,Platinum,0,SkyMind
First,3996,SkyMind,4.7,7,Platinum,0,SkyMind
Economy,127,AsiaJet,2.6,26,Platinum,1,AsiaJet
Business,4224,PacificAir,3.7,3,Silver,1,SkyMind
Economy,334,PacificAir,1.3,24,Bronze,1,AsiaJet
Business,2068,PacificAir,2.2,7,Gold,1,AeroGulf
Economy,1853,PacificAir,2.9,5,Gold,1,PacificAir
Business,3734,EuroWings,2.7,19,Bronze,0,SkyMind
First,1932,EuroWings,4.1,10,Bronze,0,PacificAir
Economy,890,SkyMind,1.4,26,Platinum,1,EuroWings
First,3906,AsiaJet,1.2,21,Platinum,1,SkyMind
First,1663,SkyMind,1.3,17,Gold,1,PacificAir
Economy,941,AsiaJet,1.0,14,Platinum,1,EuroWings
Economy,4826,AeroGulf,2.2,24,Platinum,0,SkyMind
Business,4011,AsiaJet,4.7,6,Gold,1,SkyMind
First,4675,AsiaJet,3.8,20,Bronze,1,SkyMind
Economy,1013,PacificAir,2.3,27,Bronze,1,PacificAir
Economy,2692,AsiaJet,1.8,16,Gold,0,AeroGulf
Economy,4481,AsiaJet,3.9,4,Silver,0,SkyMind
First,3422,AsiaJet,3.8,26,Platinum,0,SkyMind
Economy,1604,PacificAir,3.4,1,Platinum,0,PacificAir
Economy,1162,PacificAir,4.5,11,Bronze,0,PacificAir
Business,1249,SkyMind,3.5,17,Bronze,1,PacificAir
Business,2614,EuroWings,2.5,8,Gold,1,AeroGulf
First,2401,PacificAir,3.9,27,Silver,0,AeroGulf
First,2210,EuroWings,1.9,22,Silver,0,AeroGulf
Economy,968,PacificAir,3.5,4,Platinum,0,EuroWings
Economy,2272,SkyMind,1.2,3,Platinum,0,AeroGulf
First,3031,AsiaJet,2.7,17,Gold,1,SkyMind
First,2820,AeroGulf,1.3,9,Gold,0,AeroGulf
Business,1612,PacificAir,4.9,26,Bronze,0,PacificAir
Economy,3570,SkyMind,1.6,19,Platinum,1,SkyMind
Economy,4476,AeroGulf,2.2,14,Platinum,0,SkyMind
Business,1154,AeroGulf,2.1,7,Silver,0,PacificAir
Economy,149,AsiaJet,2.3,4,Platinum,1,AsiaJet
Business,1378,AsiaJet,2.8,29,Platinum,0,PacificAir
Business,2035,AsiaJet,2.1,8,Silver,0,AeroGulf
First,3500,PacificAir,2.5,27,Bronze,1,SkyMind
First,533,AsiaJet,2.1,8,Silver,1,EuroWings
First,3981,SkyMind,4.9,5,Gold,1,SkyMind
First,3248,AsiaJet,2.2,29,Bronze,1,SkyMind
Business,1508,PacificAir,2.2,14,Platinum,1,PacificAir
First,1747,PacificAir,2.5,10,Silver,1,PacificAir
Economy,2864,EuroWings,3.5,19,Bronze,1,AeroGulf
First,2756,AeroGulf,4.9,21,Gold,0,AeroGulf
Economy,2193,AsiaJet,3.4,18,Silver,0,AeroGulf
Economy,4162,AeroGulf,4.9,26,Platinum,1,SkyMind
Business,1397,PacificAir,2.4,29,Platinum,1,PacificAir
Business,2249,SkyMind,4.7,22,Platinum,1,AeroGulf
First,2610,AsiaJet,2.6,12,Gold,1,AeroGulf
First,4387,AeroGulf,3.5,12,Bronze,1,SkyMind
Economy,1489,EuroWings,1.2,15,Gold,0,PacificAir
First,491,PacificAir,1.0,23,Platinum,0,AsiaJet
Economy,2673,SkyMind,1.9,29,Gold,1,AeroGulf
Business,2970,AeroGulf,1.2,22,Silver,0,AeroGulf
Economy,4871,SkyMind,2.7,9,Silver,0,SkyMind
First,306,PacificAir,2.8,11,Bronze,0,AsiaJet
Economy,1439,SkyMind,4.8,21,Gold,1,PacificAir
Business,3680,SkyMind,1.7,11,Platinum,1,SkyMind
Economy,4477,EuroWings,2.8,8,Silver,1,SkyMind
First,1743,AeroGulf,2.2,9,Platinum,1,PacificAir
Business,2436,AeroGulf,1.2,16,Platinum,1,AeroGulf
Business,594,AeroGulf,1.4,15,Gold,0,EuroWings
First,3011,AeroGulf,4.5,12,Platinum,0,SkyMind
First,2547,AeroGulf,2.6,10,Bronze,1,AeroGulf
First,2531,PacificAir,4.1,6,Gold,1,AeroGulf
First,1057,PacificAir,2.8,5,Gold,0,PacificAir
Economy,3384,EuroWings,4.7,20,Silver,1,SkyMind
Business,4183,SkyMind,3.8,3,Platinum,0,SkyMind
Economy,262,PacificAir,2.4,7,Platinum,1,AsiaJet
Economy,105,EuroWings,4.5,10,Bronze,0,AsiaJet
First,4842,PacificAir,1.3,11,Gold,0,SkyMind
First,3093,EuroWings,1.3,2,Silver,0,SkyMind
Economy,1589,AeroGulf,3.2,19,Bronze,1,PacificAir
Economy,584,SkyMind,3.9,26,Silver,0,EuroWings
First,106,AsiaJet,3.4,3,Platinum,0,AsiaJet
Business,1944,PacificAir,3.7,26,Gold,0,PacificAir
Economy,1033,SkyMind,2.0,13,Gold,0,PacificAir
Business,4428,AsiaJet,4.5,2,Gold,1,SkyMind
Business,4434,EuroWings,4.9,18,Silver,1,SkyMind
