iata,icao,name,country,callsign
BG,BBC,Biman Bangladesh Airlines,Bangladesh,BANGLADESH
4T,BHP,Belair Airlines,Switzerland,BELAIR
UP,BHS,Bahamasair,Bahamas,BAHAMAS
LZ,,Balkan Bulgarian Airlines,,
BS,BIH,British International Helicopters,United Kingdom,BRINTEL
PG,BKP,Bangkok Airways,Thailand,BANGKOK AIR
KF,BLF,Blue1,Finland,BLUEFIN
JV,BLS,Bearskin Lake Air Service,Canada,BEARSKIN
B3,BLV,Bellview Airlines,Nigeria,BELLVIEW AIRLINES
BD,BMA,bmi,United Kingdom,MIDLAND
WW,BMI,bmibaby,United Kingdom,BABY
CH,BMJ,Bemidji Airlines,United States,BEMIDJI
BV,BPA,Blue Panorama Airlines,Italy,BLUE PANOROMA
8E,BRG,Bering Air,United States,BERING AIR
B2,BRU,Belavia Belarusian Airlines,Belarus,BELARUS AVIA
7P,BTV,Metro Batavia,Indonesia,BATAVIA
J8,BVT,Berjaya Air,Malaysia,BERJAYA
QW,BWG,Blue Wings,Germany,BLUE WINGS
DB,BZH,Brit Air,France,BRITAIR
SN,DAT,Brussels Airlines,Belgium,BEE-LINE
NT,IBB,Binter Canarias,Spain,
0B,JOR,Blue Air,Romania,BLUE TRANSPORT
KJ,LAJ,British Mediterranean Airways,United Kingdom,BEE MED
FB,LZB,Bulgaria Air,Bulgaria,FLYING BULGARIA
8N,NKF,Barents AirLink,Sweden,NORDFLIGHT
5C,ICL,CAL Cargo Air Lines,Israel,CAL
XG,CLI,Calima Aviacion,Spain,CALIMA
CP,CDN,Canadian Airlines,Canada,CANADIAN
5T,MPE,Canadian North,Canada,EMPRESS
9K,KAP,Cape Air,United States,CAIR
BW,BWA,Caribbean Airlines,Trinidad and Tobago,CARIBBEAN AIRLINES
V3,KRP,Carpatair,Romania,CARPATAIR
RV,CPN,Caspian Airlines,Iran,CASPIAN
CX,CPA,Cathay Pacific,Hong Kong SAR of China,CATHAY
KX,CAY,Cayman Airways,Cayman Islands,CAYMAN
5J,CEB,Cebu Pacific,Philippines,CEBU AIR
C0,CLW,Centralwings,Poland,CENTRALWINGS
RP,CHQ,Chautauqua Airlines,United States,CHAUTAUQUA
CI,CAL,China Airlines,Taiwan,DYNASTY
MU,CES,China Eastern Airlines,China,CHINA EASTERN
CZ,CSN,China Southern Airlines,China,CHINA SOUTHERN
HR,CUA,China United Airlines,China,LIANHANG
3Q,CYH,Yunnan Airlines,China,YUNNAN
QI,CIM,Cimber Air,Denmark,CIMBER
C9,RUS,Cirrus Airlines,Germany,CIRRUS AIR
CF,SDR,City Airline,Sweden,SWEDESTAR
G3,CIX,City Connexion Airlines,Burundi,CONNEXION
WX,BCY,CityJet,Ireland,CITY-IRELAND
CJ,CFE,BA CityFlyer,United Kingdom,FLYER
DQ,,Coastal Air,United States,U.S. Virgin Islands
9L,CJC,Colgan Air,United States,COLGAN
OH,COM,Comair,United States,COMAIR
MN,CAW,Comair,South Africa,COMMERCIAL
C5,UCA,CommutAir,United States,COMMUTAIR
KR,CWK,Comores Airlines,Comoros,CONTICOM
DE,CFG,Condor Flugdienst,Germany,CONDOR
6A,CHP,Consorcio Aviaxsa,Mexico,AVIACSA
C3,KIS,Contact Air,Germany,CONTACTAIR
CO,COA,Continental Airlines,United States,CONTINENTAL
CS,CMI,Continental Micronesia,United States,AIR MIKE
V0,VCV,Conviasa,Venezuela,CONVIASA
CM,CMP,Copa Airlines,Panama,COPA
SS,CRL,Corsairfly,France,CORSAIR
XK,CCM,Corse-Mediterranee,France,CORSICA
OU,CTN,Croatia Airlines,Croatia,CROATIA
CU,CUB,Cubana de Aviación,Cuba,CUBANA
CY,CYP,Cyprus Airways,Cyprus,CYPRUS
YK,,Cyprus Turkish Airlines,Turkey,
OK,CSA,Czech Airlines,Czech Republic,CSA-LINES
DX,DTR,DAT Danish Air Transport,Denmark,DANISH
D3,DAO,Daallo Airlines,Djibouti,DALO AIRLINES
H8,KHB,Dalavia,Russia,DALAVIA
0D,DWT,Darwin Airline,Switzerland,DARWIN
DL,DAL,Delta Air Lines,United States,DELTA
2A,,Deutsche Bahn,Germany,
D8,DJB,Djibouti Airlines,Djibouti,DJIBOUTI AIR
DO,DOA,Dominicana de Aviaci,Dominican Republic,DOMINICANA
E3,DMO,Domodedovo Airlines,Russia,DOMODEDOVO
KA,HDA,Dragonair,DRAGON, Hong Kong Dragon Airlines
KB,DRK,Druk Air,Bhutan,ROYAL BHUTAN
DI,BAG,dba,Germany,SPEEDWAY
BR,EVA,EVA Air,Taiwan,EVA
H7,,Eagle Air,Uganda,
QU,UGX,East African,Uganda,CRANE
T3,EZE,Eastern Airways,United Kingdom,EASTFLIGHT
DK,ELA,Eastland Air,Australia,
WK,EDW,Edelweiss Air,Switzerland,EDELWEISS
MS,MSR,Egyptair,Egypt,EGYPTAIR
LY,ELY,El Al Israel Airlines,Israel,ELAL
UZ,BRQ,El-Buraq Air Transport,Libya,BURAQAIR
EK,UAE,Emirates,United Arab Emirates,EMIRATES
EU,EEA,Empresa Ecuatoriana De Aviacion,Ecuador,ECUATORIANA
B8,ERT,Eritrean Airlines,Eritrea,ERITREAN
OV,ELL,Estonian Air,Estonia,ESTONIAN
ET,ETH,Ethiopian Airlines,Ethiopia,ETHIOPIAN
EY,ETD,Etihad Airways,United Arab Emirates,ETIHAD
RZ,,Euro Exec Express,Sweden,
UI,ECA,Eurocypria Airlines,Cyprus,EUROCYPRIA
GJ,EEU,Eurofly Service,Italy,EUROFLY
K2,ELO,Eurolot,Poland,EUROLOT
EA,EAL,European Air Express,Germany,STAR WING
EW,EWG,Eurowings,Germany,EUROWINGS
EZ,EIA,Evergreen International Airlines,United States,EVERGREEN
JN,XLA,Excel Airways,United Kingdom,EXPO
EO,LHN,Express One International,United States,LONGHORN
XE,BTA,ExpressJet,United States,JET LINK
U2,EZY,easyJet,United Kingdom,EASY
EF,EFA,Far Eastern Air Transport,Taiwan,Far Eastern
AY,FIN,Finnair,Finland,FINNAIR
FC,WBA,Finncomm Airlines,Finland,WESTBIRD
FY,FFM,Firefly,Malaysia,FIREFLY
7F,FAB,First Air,Canada,
DP,FCA,First Choice Airways,United Kingdom,JETSET
B5,FLT,Flightline,United Kingdom,FLIGHTLINE
RF,FWL,Florida West International Airways,United States,FLO WEST
D7,XAX,AirAsia X,Malaysia,XANADU
TE,LIL,FlyLal,Lithuania,LITHUANIA AIR
LF,NDC,FlyNordic,Sweden,NORDIC
F7,BBO,Flybaboo,Switzerland,BABOO
BE,BEE,Flybe,United Kingdom,JERSEY
B4,GSM,Flyglobespan,United Kingdom,GLOBESPAN
VY,FOS,Formosa Airlines,Taiwan,
FP,FRE,Freedom Air,United States,FREEDOM
F9,FFT,Frontier Airlines,United States,FRONTIER FLIGHT
2F,FTA,Frontier Flying Service,United States,FRONTIER-AIR
GT,GBL,GB Airways,United Kingdom,GEEBEE AIRWAYS
GA,GIA,Garuda Indonesia,Indonesia,INDONESIA
4G,GZP,Gazpromavia,Russia,GAZPROMAVIA
A9,TGZ,Georgian Airways,Georgia,TAMAZI
QB,GFG,Georgian National Airlines,Georgia,NATIONAL
ST,GMI,Germania,Germany,GERMANIA
4U,GWI,Germanwings,Germany,GERMAN WINGS
G0,GHB,Ghana International Airlines,Ghana,GHANA AIRLINES
G8,GOW,Go Air,India,GOAIR
G7,GJS,GoJet Airlines,United States,GATEWAY
DC,GAO,Golden Air,Sweden,GOLDEN
ZK,GLA,Great Lakes Airlines,United States,LAKES AIR
TA,TAT,Grupo TACA,Costa Rica,TACA-COSTARICA
GF,GBA,Gulf Air Bahrain,Bahrain,GULF BAHRAIN
H6,HAG,Hageland Aviation Services,United States,HAGELAND
HU,CHH,Hainan Airlines,China,HAINAN
2T,HAM,Haiti Ambassador Airlines,Haiti,
4R,HHI,Hamburg International,Germany,HAMBURG JET
X3,HLX,TUIfly,Germany,YELLOW CAB
HF,HLF,Hapagfly,Germany,HAPAG LLOYD
HA,HAL,Hawaiian Airlines,United States,HAWAIIAN
BH,,Hawkair,Canada,
8H,HFR,Heli France,France,HELIFRANCE
JB,JBA,Helijet,Canada,HELIJET
T4,HEJ,Hellas Jet,Greece,HELLAS JET
HW,FHE,Hello,Switzerland,FLYHELLO
2L,OAW,Helvetic Airways,Switzerland,HELVETIC
UD,HER,Hex'Air,France,HEX AIRLINE
HD,ADO,Hokkaido International Airlines,Japan,AIR DO
HX,CRK,Hong Kong Airlines,Hong Kong SAR of China,BAUHINIA
UO,HKE,Hong Kong Express Airways,Hong Kong SAR of China,HONGKONG SHUTTLE
QX,QXE,Horizon Air,United States,HORIZON AIR
BN,HZA,Horizon Airlines,Australia,
IB,IBE,Iberia Airlines,Spain,IBERIA
TY,IWD,Iberworld,Spain,
FW,IBX,Ibex Airlines,Japan,IBEX
FI,ICE,Icelandair,Iceland,ICEAIR
IK,ITX,Imair Airlines,Azerbaijan,IMPROTEX
6E,IGO,IndiGo Airlines,India,IFLY
IC,IAC,Indian Airlines,India,INDAIR
QZ,AWQ,Indonesia AirAsia,Indonesia,WAGON AIR
IO,IAA,Indonesian Airlines,Indonesia,INDO LINES
D6,ILN,Interair South Africa,South Africa,INLINE
ID,ITK,Interlink Airlines,South Africa,INTERLINK
3L,ISK,Intersky,Austria,INTERSKY
IR,IRA,Iran Air,Iran,IRANAIR
EP,IRC,Iran Aseman Airlines,Iran,
IA,IAW,Iraqi Airways,Iraq,IRAQI
IS,,Island Airlines,United States,
8L,CGP,Cargo Plus Aviation,United Arab Emirates,
IF,ISW,Islas Airways,Spain,PINTADERA
WC,ISV,Islena De Inversiones,Honduras,
6H,ISR,Israir,Israel,ISRAIR
GI,IKA,Itek Air,Kyrgyzstan,ITEK-AIR
JC,JEX,JAL Express,Japan,JANEX
JO,JAZ,JALways,Japan,JALWAYS
JL,JAL,Japan Airlines,Japan,JAPANAIR
EG,JAA,Japan Asia Airways,Japan,ASIA
NU,JTA,Japan Transocean Air,Japan,JAI OCEAN
J9,JZR,Jazeera Airways,Kuwait,JAZEERA
7C,JJA,Jeju Air,Republic of Korea,JEJU AIR
9W,JAI,Jet Airways,India,JET AIRWAYS
QJ,,Jet Airways,United States,
3K,JSA,Jetstar Asia Airways,Singapore,JETSTAR ASIA
LS,EXS,Jet2.com,United Kingdom,CHANNEX
8J,JFU,Jet4You,Morocco,ARGAN
B6,JBU,JetBlue Airways,United States,JETBLUE
JF,JAF,Jetairfly,Belgium,BEAUTY
JQ,JST,Jetstar Airways,Australia,JETSTAR
HO,DKH,Juneyao Airlines,China,JUNEYAO AIRLINES
KD,KNI,KD Avia,Russia,KALININGRAD AIR
WA,KLC,KLM Cityhopper,Netherlands,CITY
KL,KLM,KLM Royal Dutch Airlines,Netherlands,KLM
RQ,KMF,Kam Air,Afghanistan,KAMGAR
KV,MVD,Kavminvodyavia,Russia,AIR MINVODY
M5,KEN,Kenmore Air,United States,KENMORE
KQ,KQA,Kenya Airways,Kenya,KENYA
IT,KFR,Kingfisher Airlines,India,KINGFISHER
Y9,IRK,Kish Air,Iran,KISHAIR
7K,KGL,Kogalymavia Air Company,Russia,KOGALYM
KE,KAL,Korean Air,Republic of Korea,KOREANAIR
7B,KJC,Krasnojarsky Airlines,Russia,KRASNOJARSKY AIR
GW,KIL,Kuban Airlines,Russia,AIR KUBAN
KU,KAC,Kuwait Airways,Kuwait,KUWAITI
GO,KZU,Kuzu Airlines Cargo,Turkey,KUZU CARGO
LR,LRC,LACSA,Costa Rica,LACSA
LA,LAN,LAN Airlines,Chile,LAN
4M,DSM,LAN Argentina,Argentina,LAN AR
LU,LXP,LAN Express,Chile,LANEX
LP,LPE,LAN Peru,Peru,LANPERU
LO,LOT,LOT Polish Airlines,Poland,POLLOT
XO,LTE,LTE International Airways,Spain,FUN JET
L3,LTO,LTU Austria,Austria,BILLA TRANSPORT
QV,LAO,Lao Airlines,Lao Peoples Democratic Republic,LAO
NG,LDA,Lauda Air,Austria,LAUDA AIR
LI,LIA,Leeward Islands Air Transport,Antigua and Barbuda,LIAT
LN,LAA,Libyan Arab Airlines,Libya,LIBAIR
LM,LAM,Linhas A,Mozambique,MOZAMBIQUE
JT,LNI,Lion Mentari Airlines,Indonesia,LION INTER
HE,LGW,Luftfahrtgesellschaft Walter,Germany,WALTER
LH,DLH,Lufthansa,Germany,LUFTHANSA
CL,CLH,Lufthansa CityLine,Germany,HANSALINE
L5,LTR,Lufttransport,Norway,LUFT TRANSPORT
LG,LGL,Luxair,Luxembourg,LUXAIR
MJ,LPR,L,Argentina,LAPA
M7,MAA,MasAir,Mexico,MAS CARGA
IN,MAK,MAT Macedonian Airlines,Macedonia,MAKAVIO
OM,MGL,MIAT Mongolian Airlines,Mongolia,MONGOL AIR
MB,MNB,MNG Airlines,Turkey,BLACK SEA
DM,,Maersk,Denmark,
W5,IRM,Mahan Air,Iran,MAHAN AIR
MH,MAS,Malaysia Airlines,Malaysia,MALAYSIAN
TF,SCW,Malmö Aviation,Sweden,Scanwings
R5,MAC,Malta Air Charter,Malta,MALTA CHARTER
MA,MAH,Malév,Hungary,MALEV
RI,MDL,Mandala Airlines,Indonesia,MANDALA
AE,MDA,Mandarin Airlines,Taiwan,Mandarin
JE,MNO,Mango,South Africa,TULCA
MP,MPH,Martinair,Netherlands,MARTINAIR
8M,MXL,Maxair,Sweden,MAXAIR
MW,MYD,Maya Island Air,Belize,MYLAND
IG,ISS,Meridiana,Italy,MERAIR
MZ,MNA,Merpati Nusantara Airlines,Indonesia,MERPATI
YV,ASH,Mesa Airlines,United States,AIR SHUTTLE
XJ,MES,Mesaba Airlines,United States,MESABA
MX,MXA,Mexicana de Aviaci,Mexico,MEXICANA
ME,MEA,Middle East Airlines,Lebanon,CEDAR JET
JI,MDW,Midway Airlines,United States,MIDWAY
YX,MEP,Midwest Airlines,United States,
MY,MWA,Midwest Airlines (Egypt),Egypt,
2M,MDV,Moldavian Airlines,Moldova,MOLDAVIAN
8I,,Myway Airlines,Italy,
YM,MGX,Montenegro Airlines,Montenegro,MONTAIR
3R,GAI,Moskovia Airlines,Russia,GROMOV AIRLINE
M9,MSI,Motor Sich,Ukraine,MOTOR SICH
VZ,MYT,MyTravel Airways,United Kingdom,KESTREL
UB,UBA,Myanma Airways,Myanmar,UNIONAIR
UE,NAS,Nasair,Eritrea,NASAIRWAYS
NC,NJS,National Jet Systems,Australia,NATIONAL JET
CE,NTW,Nationwide Airlines,South Africa,NATIONWIDE
ON,RON,Nauru Air Corporation,Nauru,AIR NAURU
RA,RNA,Nepal Airlines,Nepal,ROYAL NEPAL
1I,EJA,NetJets,United States,EXECJET
EJ,NEA,New England Airlines,United States,NEW ENGLAND
2N,NTJ,NextJet,Sweden,NEXTJET
HG,NLY,Niki,Austria,FLYNIKI
DD,NOK,Nok Air,Thailand,NOK AIR
U7,,Northern Dene Airways,Canada,
NW,NWA,Northwest Airlines,United States,NORTHWEST
J3,PLR,Northwestern Air,Canada,POLARIS
DY,NAX,Norwegian Air Shuttle,Norway,NOR SHUTTLE
BJ,LBT,Nouvel Air Tunisie,Tunisia,NOUVELAIR
XY,KNE,Nas Air,Saudi Arabia,NAS EXPRESS
O8,OHK,Oasis Hong Kong Airlines,Hong Kong,OASIS
O6,ONE,Oceanair,Brazil,OCEANAIR
O2,,Oceanic Airlines,Guinea,
OA,OAL,Olympic Airlines,Greece,OLYMPIC
WY,OMA,Oman Air,Oman,OMAN AIR
OY,OAE,Omni Air International,United States,OMNI-EXPRESS
8Q,OHY,Onur Air,Turkey,ONUR AIR
R2,ORB,Orenburg Airlines,Russia,ORENBURG
OX,OEA,Orient Thai Airlines,Thailand,ORIENT THAI
QO,OGN,Origin Pacific Airways,New Zealand,ORIGIN
OL,OLT,Ostfriesische Lufttransport,Germany,OLTRA
OJ,OLA,Overland Airways,Nigeria,OVERLAND
O7,OZJ,Ozjet Airlines,Australia,AUSJET
PV,PNR,PAN Air,Spain,SKYJET
9Q,PBA,PB Air,Thailand,PEEBEE AIR
PU,PUA,PLUNA,Uruguay,PLUNA
U4,PMT,PMTair,Cambodia,MULTITRADE
BL,PIC,Jetstar Pacific,Vietnam,PACIFIC AIRLINES
8P,PCO,Pacific Coastal Airline,Canada,PASCO
Q8,PEC,Pacific East Asia Cargo Airlines,Philippines,PAC-EAST CARGO
LW,NMI,Pacific Wings,United States,TSUNAMI
PK,PIA,Pakistan International Airlines,Pakistan,PAKISTAN
I7,PMW,Paramount Airways,India,PARAWAY
PC,PGT,Pegasus Airlines,Turkey,SUNTURK
KS,PEN,Peninsula Airways,United States,PENINSULA
PR,PAL,Philippine Airlines,Philippines,PHILIPPINE
PI,PDT,Piedmont Airlines (1948-1989),United States,PIEDMONT
9E,FLG,Pinnacle Airlines,United States,FLAGSHIP
PH,PAO,Polynesian Airlines,Samoa,POLYNESIAN
PD,POE,Porter Airlines,Canada,PORTER AIR
NI,PGA,Portugalia,Portugal,PORTUGALIA
BK,PDC,Potomac Air,United States,DISTRICT
PW,PRF,Precision Air,Tanzania,PRECISION AIR
P0,,Proflight Commuter Services,Zambia,
QF,QFA,Qantas,Australia,QANTAS
QR,QTR,Qatar Airways,Qatar,QATARI
R6,,RACSA,Guatemala,
FN,,Regional Airlines,Morocco,
ZL,RXA,Regional Express,Australia,REX
RW,RPA,Republic Airlines,United States,BRICKYARD
RH,RPH,Republic Express Airlines,Indonesia,PUBLIC EXPRESS
R4,,Rossiya,Russia,
GZ,RAR,Air Rarotonga,Cook Islands,
AT,RAM,Royal Air Maroc,Morocco,ROYALAIR MAROC
BI,RBA,Royal Brunei Airlines,Brunei,BRUNEI
RJ,RJA,Royal Jordanian,Jordan,JORDANIAN
WB,RWD,Rwandair Express,Rwanda,RWANDAIR
RD,RYN,Ryan International Airlines,United States,RYAN INTERNATIONAL
FR,RYR,Ryanair,Ireland,RYANAIR
YS,RAE,Régional,France,REGIONAL EUROPE
S4,RZO,SATA International,Portugal,AIR AZORES
SA,SAA,South African Airways,South Africa,SPRINGBOK
