iata,icao,name,city,country,lat,lon,elevation_ft,type
YDN,CYDN,Dauphin Barker Airport,Dauphin,CA,51.1008,-100.052002,999.0,medium_airport
YEG,CYEG,Edmonton International Airport,Edmonton,CA,53.3097,-113.580002,2373.0,large_airport
YEV,CYEV,Inuvik Mike Zubko Airport,Inuvik,CA,68.30419921880001,-133.483001709,224.0,medium_airport
YFB,CYFB,Iqaluit Airport,Iqaluit,CA,63.756402,-68.555801,110.0,medium_airport
YFC,CYFC,Fredericton International Airport,Fredericton,CA,45.868697,-66.529891,68.0,medium_airport
YFS,CYFS,Fort Simpson Airport,Fort Simpson,CA,61.76020050048828,-121.23699951171876,555.0,medium_airport
YGL,CYGL,La Grande Rivière Airport,La Grande Rivière,CA,53.625301361083984,-77.7042007446289,639.0,medium_airport
YGP,CYGP,Michel-Pouliot Gaspé Airport,Gaspé,CA,48.774915,-64.481893,112.0,medium_airport
YGR,CYGR,Îles-de-la-Madeleine Airport,Les Îles-de-la-Madeleine,CA,47.425242,-61.778612,35.0,medium_airport
YGV,CYGV,Havre-Saint-Pierre Airport,Havre-Saint-Pierre,CA,50.281898,-63.611401,124.0,medium_airport
YGW,CYGW,Kuujjuarapik Airport,Kuujjuarapik,CA,55.28189849853515,-77.76529693603516,34.0,medium_airport
YHM,CYHM,John C. Munro Hamilton International Airport,Hamilton,CA,43.17348,-79.931185,780.0,medium_airport
YHU,CYHU,Montréal / Saint-Hubert Metropolitan Airport,Montréal,CA,45.517502,-73.416901,90.0,medium_airport
YHY,CYHY,Hay River / Merlyn Carter Airport,Hay River,CA,60.8396987915,-115.782997131,541.0,medium_airport
YHZ,CYHZ,Halifax / Stanfield International Airport,Halifax,CA,44.8807983398,-63.5085983276,477.0,large_airport
YIF,CYIF,St Augustin Airport,St-Augustin,CA,51.2117,-58.658298,20.0,medium_airport
YIV,CYIV,Island Lake Airport,Island Lake,CA,53.857200622558594,-94.65360260009766,770.0,medium_airport
YJT,CYJT,Stephenville Dymond International Airport,Stephenville,CA,48.54339,-58.552892,84.0,medium_airport
YKA,CYKA,Kamloops John Moose Fulton Field Regional Airport,Kamloops,CA,50.703038,-120.448641,1133.0,medium_airport
YKF,CYKF,Region of Waterloo International Airport,Breslau,CA,43.4608,-80.378601,1054.0,medium_airport
YKL,CYKL,Schefferville Airport,Schefferville,CA,54.805301666259766,-66.8052978515625,1709.0,medium_airport
YLL,CYLL,Lloydminster Airport,Lloydminster,CA,53.3092,-110.072998,2193.0,medium_airport
YLK,CYLS,Barrie-Lake Simcoe Regional Airport,Barrie,CA,44.485056,-79.554663,972.0,medium_airport
YLW,CYLW,Kelowna International Airport,Kelowna,CA,49.9561,-119.377998,1421.0,large_airport
YMM,CYMM,Fort McMurray International Airport,Fort McMurray,CA,56.653301,-111.222,1211.0,medium_airport
YMO,CYMO,Moosonee Airport,Moosonee,CA,51.29109954833984,-80.60780334472656,30.0,medium_airport
YMT,CYMT,Chapais Airport,Chibougamau,CA,49.77190017700195,-74.5280990600586,1270.0,medium_airport
YMX,CYMX,Montreal Mirabel International Airport,Montréal,CA,45.679501,-74.038696,270.0,medium_airport
YNA,CYNA,Natashquan Airport,Natashquan,CA,50.190114,-61.78898,39.0,medium_airport
YND,CYND,Ottawa / Gatineau Airport,Gatineau,CA,45.521702,-75.563599,211.0,medium_airport
YNL,CYNL,Points North Landing Airport,Points North Landing,CA,58.27669906616211,-104.08200073242188,1605.0,medium_airport
YOJ,CYOJ,High Level Airport,High Level,CA,58.62139892578125,-117.16500091552734,1110.0,medium_airport
YOW,CYOW,Ottawa Macdonald-Cartier International Airport,Ottawa,CA,45.322498,-75.669197,374.0,large_airport
YPA,CYPA,Prince Albert Glass Field,Prince Albert,CA,53.2141990662,-105.672996521,1405.0,medium_airport
YPE,CYPE,Peace River Airport,Peace River,CA,56.226898,-117.446999,1873.0,medium_airport
YPL,CYPL,Pickle Lake Airport,Pickle Lake,CA,51.4463996887207,-90.21420288085938,1267.0,medium_airport
YPN,CYPN,Port-Menier Airport,Port-Menier,CA,49.836399,-64.288597,167.0,medium_airport
YPQ,CYPQ,Peterborough Regional Airport,Peterborough,CA,44.232251,-78.362053,628.0,medium_airport
YPR,CYPR,Prince Rupert Airport,Prince Rupert,CA,54.2860984802,-130.445007324,116.0,medium_airport
YPW,CYPW,Powell River Airport,Powell River,CA,49.83420181274414,-124.5,425.0,medium_airport
YPX,CYPX,Puvirnituq Airport,Puvirnituq,CA,60.050598,-77.286903,74.0,medium_airport
YPY,CYPY,Fort Chipewyan Airport,Fort Chipewyan,CA,58.7672004699707,-111.11699676513672,761.0,medium_airport
YPZ,CYPZ,Burns Lake Airport,Burns Lake,CA,54.3764,-125.950996,2343.0,medium_airport
YQA,CYQA,Muskoka Airport,Gravenhurst,CA,44.975376,-79.306546,925.0,medium_airport
YQB,CYQB,Quebec Jean Lesage International Airport,Quebec,CA,46.7911,-71.393303,244.0,large_airport
YQD,CYQD,The Pas Airport,The Pas,CA,53.97140121459961,-101.09100341796876,887.0,medium_airport
YQG,CYQG,Windsor International Airport,Windsor,CA,42.2756,-82.955597,622.0,medium_airport
YQH,CYQH,Watson Lake Airport,Watson Lake,CA,60.116839,-128.821993,2255.0,medium_airport
YQK,CYQK,Kenora Airport,Kenora,CA,49.788299560546875,-94.36309814453124,1332.0,medium_airport
YQL,CYQL,Lethbridge County Airport,Lethbridge,CA,49.6302986145,-112.800003052,3048.0,medium_airport
YQM,CYQM,Greater Moncton Roméo LeBlanc International Airport,Moncton,CA,46.113189,-64.67719,232.0,medium_airport
YQN,CYQN,Nakina Airport,Nakina,CA,50.18280029296875,-86.69640350341797,1057.0,medium_airport
YQQ,CYQQ,Comox Valley International Airport / CFB Comox,Comox,CA,49.7108,-124.887001,84.0,medium_airport
YQR,CYQR,Regina International Airport,Regina,CA,50.431938,-104.660906,1894.0,medium_airport
YQT,CYQT,Thunder Bay International Airport,Thunder Bay,CA,48.371899,-89.323898,653.0,medium_airport
YQU,CYQU,Grande Prairie Airport,Grande Prairie,CA,55.1796989441,-118.885002136,2195.0,medium_airport
YQX,CYQX,Gander International Airport,Gander,CA,48.936258,-54.567719,496.0,medium_airport
YQY,CYQY,Sydney / J.A. Douglas McCurdy Airport,Sydney,CA,46.161072,-60.049759,203.0,medium_airport
YQZ,CYQZ,Quesnel Airport,Quesnel,CA,53.026100158691406,-122.51000213623048,1789.0,medium_airport
YRB,CYRB,Resolute Bay Airport,Resolute Bay,CA,74.7169036865,-94.9693984985,215.0,medium_airport
YRJ,CYRJ,Roberval Airport,Roberval,CA,48.519665,-72.265735,586.0,medium_airport
YRL,CYRL,Red Lake Airport,Red Lake,CA,51.066898345947266,-93.79309844970705,1265.0,medium_airport
YRO,CYRO,Ottawa / Rockcliffe Airport,Ottawa,CA,45.460496,-75.644001,188.0,medium_airport
YRT,CYRT,Rankin Inlet Airport,Rankin Inlet,CA,62.8114013672,-92.1157989502,94.0,medium_airport
YSB,CYSB,Sudbury Airport,Sudbury,CA,46.625,-80.79889678955078,1141.0,medium_airport
YSF,CYSF,Stony Rapids Airport,Stony Rapids,CA,59.250301361083984,-105.84100341796876,805.0,medium_airport
YSJ,CYSJ,Saint John Airport,Saint John,CA,45.31610107421875,-65.89029693603516,357.0,medium_airport
YSL,CYSL,Saint-Léonard Airport,Saint-Léonard,CA,47.157097,-67.836242,793.0,medium_airport
YSM,CYSM,Fort Smith Airport,Fort Smith,CA,60.020302,-111.961998,671.0,medium_airport
YCM,CYSN,Niagara District Airport,Niagara-on-the-Lake,CA,43.191598,-79.171686,321.0,medium_airport
YTH,CYTH,Thompson Airport,Thompson,CA,55.80110168457031,-97.86419677734376,729.0,medium_airport
YTS,CYTS,Timmins/Victor M. Power,Timmins,CA,48.5696983337,-81.376701355,967.0,medium_airport
YTZ,CYTZ,Billy Bishop Toronto City Airport,Toronto,CA,43.627852,-79.39553,252.0,medium_airport
YUL,CYUL,Montreal / Pierre Elliott Trudeau International Airport,Montréal,CA,45.467837,-73.742294,118.0,large_airport
YUX,CYUX,Hall Beach Airport,Sanirajak,CA,68.7761,-81.2425,30.0,medium_airport
YUY,CYUY,Rouyn Noranda Airport,Rouyn-Noranda,CA,48.20610046386719,-78.83560180664062,988.0,medium_airport
YVB,CYVB,Bonaventure Airport,Bonaventure,CA,48.071098,-65.460297,123.0,medium_airport
YVC,CYVC,La Ronge Airport,La Ronge,CA,55.1514015198,-105.262001038,1242.0,medium_airport
YVO,CYVO,Val-d'Or Airport,Val-d'Or,CA,48.0532989502,-77.7827987671,1107.0,medium_airport
YVP,CYVP,Kuujjuaq Airport,Kuujjuaq,CA,58.096099853515625,-68.4269027709961,129.0,medium_airport
YVQ,CYVQ,Norman Wells Airport,Norman Wells,CA,65.28160095214844,-126.7979965209961,238.0,medium_airport
YVR,CYVR,Vancouver International Airport,Vancouver,CA,49.193901,-123.183998,14.0,large_airport
YVV,CYVV,Wiarton Airport,Wiarton,CA,44.7458,-81.107201,729.0,medium_airport
YWG,CYWG,Winnipeg / James Armstrong Richardson International Airport,Winnipeg,CA,49.909999847399995,-97.2398986816,783.0,large_airport
YWK,CYWK,Wabush Airport,Wabush,CA,52.92190170288086,-66.8644027709961,1808.0,medium_airport
YWL,CYWL,Williams Lake Airport,Williams Lake,CA,52.1831016541,-122.054000854,3085.0,medium_airport
YXC,CYXC,Cranbrook/Canadian Rockies International Airport,Cranbrook,CA,49.610802,-115.781998,3082.0,medium_airport
YXE,CYXE,Saskatoon John G. Diefenbaker International Airport,Saskatoon,CA,52.170723,-106.700793,1653.0,large_airport
YXH,CYXH,Medicine Hat Regional Airport,Medicine Hat,CA,50.018902,-110.721001,2352.0,medium_airport
YXJ,CYXJ,Fort St John / North Peace Regional Airport,Fort Saint John,CA,56.238098,-120.739998,2280.0,medium_airport
YXK,CYXK,Rimouski Airport,Rimouski,CA,48.477644,-68.496323,82.0,medium_airport
YXL,CYXL,Sioux Lookout Airport,Sioux Lookout,CA,50.11389923095703,-91.9052963256836,1258.0,medium_airport
YXS,CYXS,Prince George (International) Airport,Prince George,CA,53.884311,-122.666554,2267.0,medium_airport
YXT,CYXT,Northwest Regional Airport Terrace-Kitimat,Terrace,CA,54.468498,-128.576009,713.0,medium_airport
YXU,CYXU,London International Airport,London,CA,43.032845,-81.149003,912.0,medium_airport
YXX,CYXX,Abbotsford International Airport,Abbotsford,CA,49.025299,-122.361,195.0,medium_airport
YXY,CYXY,Whitehorse / Erik Nielsen International Airport,Whitehorse,CA,60.708533,-135.065705,2317.0,medium_airport
YYB,CYYB,North Bay Jack Garland Airport,North Bay,CA,46.363602,-79.422798,1215.0,medium_airport
YYC,CYYC,Calgary International Airport,Calgary,CA,51.118822,-114.009933,3557.0,large_airport
YYD,CYYD,Smithers Airport,Smithers,CA,54.82469940185547,-127.18299865722656,1712.0,medium_airport
YYE,CYYE,Fort Nelson Airport,Fort Nelson,CA,58.8363990784,-122.597000122,1253.0,medium_airport
YYF,CYYF,Penticton Airport,Penticton,CA,49.46310043334961,-119.60199737548828,1129.0,medium_airport
YYG,CYYG,Charlottetown Airport,Charlottetown,CA,46.288911,-63.125174,160.0,medium_airport
YYJ,CYYJ,Victoria International Airport,Victoria,CA,48.647201,-123.427792,63.0,large_airport
YYL,CYYL,Lynn Lake Airport,Lynn Lake,CA,56.86389923095703,-101.07599639892578,1170.0,medium_airport
YYQ,CYYQ,Churchill Airport,Churchill,CA,58.739200592041016,-94.06500244140624,94.0,medium_airport
YYR,CYYR,Goose Bay Airport,Goose Bay,CA,53.3191986084,-60.4258003235,160.0,medium_airport
YYT,CYYT,St. John's International Airport,St. John's,CA,47.618599,-52.7519,461.0,large_airport
YYY,CYYY,Mont Joli Airport,Mont-Joli,CA,48.60860061645508,-68.20809936523438,172.0,medium_airport
YYZ,CYYZ,Toronto Pearson International Airport,Toronto,CA,43.675935,-79.629421,569.0,large_airport
YZF,CYZF,Yellowknife International Airport,Yellowknife,CA,62.462799,-114.440002,675.0,medium_airport
YZP,CYZP,Sandspit Airport,Sandspit,CA,53.25429916379999,-131.813995361,21.0,medium_airport
YZS,CYZS,Coral Harbour Airport,Coral Harbour,CA,64.1932983398,-83.3593978882,210.0,medium_airport
YZT,CYZT,Port Hardy Airport,Port Hardy,CA,50.68059921264648,-127.36699676513672,71.0,medium_airport
YZU,CYZU,Whitecourt Airport,Whitecourt,CA,54.143902,-115.787003,2567.0,medium_airport
YZV,CYZV,Sept-Îles Airport,Sept-Îles,CA,50.22330093383789,-66.2656021118164,180.0,medium_airport
ZBF,CZBF,Bathurst Airport,South Tetagouche,CA,47.6297,-65.738899,193.0,medium_airport
ZMT,CZMT,Masset Airport,Masset,CA,54.0275,-132.125,25.0,medium_airport
ZSJ,CZSJ,Sandy Lake Airport,Sandy Lake,CA,53.06420135498047,-93.34439849853516,951.0,medium_airport
BJA,DAAE,Soummam–Abane Ramdane Airport,Béjaïa,DZ,36.712547,5.069909,20.0,large_airport
ALG,DAAG,Houari Boumediene Airport,Algiers,DZ,36.693886,3.214531,82.0,large_airport
DJG,DAAJ,Tiska Djanet Airport,Djanet,DZ,24.285448,9.463652,3176.0,large_airport
VVZ,DAAP,Illizi Takhamalt Airport,Illizi,DZ,26.723499,8.62265,1778.0,medium_airport
QSF,DAAS,Ain Arnat Airport,Sétif,DZ,36.178488,5.329909,3360.0,medium_airport
TMR,DAAT,Aguenar – Hadj Bey Akhamok Airport,Tamanrasset,DZ,22.810992,5.450832,4518.0,large_airport
GJL,DAAV,Jijel Ferhat Abbas Airport,Tahir,DZ,36.794125,5.873652,36.0,large_airport
MZW,DAAY,Mecheria Airport,Mecheria,DZ,33.5359,-0.242353,3855.0,medium_airport
AAE,DABB,Annaba Rabah Bitat Airport,Annaba,DZ,36.826781,7.81334,16.0,large_airport
CZL,DABC,Mohamed Boudiaf International Airport,Constantine,DZ,36.276001,6.62039,2265.0,large_airport
TEE,DABS,Cheikh Larbi Tébessi Airport,Tébessi,DZ,35.4315986633,8.12071990967,2661.0,medium_airport
BLJ,DABT,Batna Mostefa Ben Boulaid Airport,Batna,DZ,35.752102,6.30859,2697.0,large_airport
TIN,DAOF,Tindouf Airport,Tindouf,DZ,27.7003993988,-8.167099952700001,1453.0,medium_airport
CFK,DAOI,Chlef Aboubakr Belkaid International Airport,Chlef,DZ,36.216614,1.341114,463.0,large_airport
TLM,DAON,Zenata – Messali El Hadj Airport,Zenata,DZ,35.012732,-1.457117,814.0,large_airport
ORN,DAOO,Oran Es-Sénia (Ahmed Ben Bella) International Airport,Es-Sénia,DZ,35.620648,-0.622486,295.0,large_airport
CBH,DAOR,Béchar Boudghene Ben Ali Lotfi Airport,Béchar,DZ,31.64570045471191,-2.269860029220581,2661.0,medium_airport
BMW,DATM,Bordj Badji Mokhtar Airport,Bordj Badji Mokhtar,DZ,21.3778,0.92698,1303.0,medium_airport
AZR,DAUA,Touat-Cheikh Sidi Mohamed Belkebir Airport,Adrar,DZ,27.837601,-0.186414,919.0,medium_airport
BSK,DAUB,Biskra - Mohamed Khider Airport,Biskra,DZ,34.79318,5.738899,289.0,large_airport
ELG,DAUE,El Golea Airport,El Menia,DZ,30.580732,2.861595,1306.0,medium_airport
GHA,DAUG,Noumérat - Moufdi Zakaria Airport,El Atteuf,DZ,32.384102,3.79411,1512.0,medium_airport
HME,DAUH,Hassi Messaoud-Oued Irara Krim Belkacem Airport,Hassi Messaoud,DZ,31.673,6.14044,463.0,medium_airport
INZ,DAUI,In Salah Airport,In Salah,DZ,27.250999,2.51202,896.0,medium_airport
TGR,DAUK,Touggourt Sidi Madhi Airport,Touggourt,DZ,33.067799,6.08867,279.0,medium_airport
LOO,DAUL,Laghouat - Molay Ahmed Medeghri Airport,Laghouat,DZ,33.7644,2.92834,2510.0,medium_airport
ELU,DAUO,Guemar Airport - مطار قمار بالوادي,Guemar,DZ,33.511398,6.77679,203.0,medium_airport
TMX,DAUT,Timimoun Airport,Timimoun,DZ,29.237101,0.276033,1027.0,medium_airport
OGX,DAUU,Ain Beida Airport,Ouargla,DZ,31.9172,5.41278,492.0,medium_airport
IAM,DAUZ,Zarzaitine - In Aménas Airport,In Aménas,DZ,28.0515,9.64291,1847.0,medium_airport
COO,DBBB,Cotonou Cadjehoun International Airport,Cotonou,BJ,6.35723,2.38435,19.0,large_airport
OUA,DFFD,Ouagadougou Thomas Sankara International Airport,Ouagadougou,BF,12.3532,-1.51242,1037.0,large_airport
BOY,DFOO,Bobo Dioulasso Airport,Bobo Dioulasso,BF,11.1601,-4.33097,1511.0,large_airport
ACC,DGAA,Kotoka International Airport,Accra,GH,5.605189800262451,-0.1667860001325607,205.0,large_airport
TML,DGLE,Yakubu Tali International Airport,Tamale,GH,9.553909,-0.86606,553.0,large_airport
KMS,DGSI,Prempeh I International Airport,Kumasi,GH,6.71456,-1.59082,942.0,large_airport
NYI,DGSN,Sunyani Airport,Sunyani,GH,7.36183,-2.32876,1014.0,medium_airport
TKD,DGTK,Takoradi Airport,Sekondi-Takoradi,GH,4.896059989929199,-1.7747600078582764,21.0,medium_airport
ABJ,DIAP,Félix-Houphouët-Boigny International Airport,Abidjan,CI,5.26139,-3.92629,21.0,large_airport
BYK,DIBK,Bouaké Airport,Bouaké,CI,7.7388,-5.07367,1230.0,medium_airport
HGO,DIKO,Korhogo Airport,Korhogo,CI,9.38718,-5.55666,1214.0,medium_airport
SPY,DISP,San Pedro Airport,,CI,4.74672,-6.66082,26.0,medium_airport
DKA,DNKT,Umaru Musa Yar'adua Airport,Katsina,NG,13.0078,7.66045,1660.0,medium_airport
ABV,DNAA,Nnamdi Azikiwe International Airport,Abuja,NG,9.00679,7.26317,1123.0,large_airport
QUO,DNAI,Akwa Ibom International Airport,Uyo,NG,4.8725,8.093,170.0,medium_airport
AKR,DNAK,Akure Airport,Akure,NG,7.246739864349365,5.3010101318359375,1100.0,medium_airport
ABB,DNAS,Asaba International Airport,Asaba,NG,6.204167,6.665278,305.0,large_airport
BCU,DNBC,Sir Abubakar Tafawa Balewa Bauchi State International Airport,Bauchi,NG,10.482833,9.744,1965.0,large_airport
BNI,DNBE,Benin Airport,Benin,NG,6.316979885101318,5.5995001792907715,258.0,medium_airport
CBQ,DNCA,Margaret Ekpo International Airport,Calabar,NG,4.976019859313965,8.347200393676758,210.0,medium_airport
ENU,DNEN,Akanu Ibiam International Airport,Enegu,NG,6.473718,7.560463,466.0,large_airport
GMO,DNGO,Gombe Lawanti International Airport,Gombe,NG,10.298889,10.9,1590.0,medium_airport
IBA,DNIB,Ibadan Airport,Ibadan,NG,7.362460136413574,3.97832989692688,725.0,medium_airport
ILR,DNIL,General Tunde Idiagbon International Airport,Ilorin/Ogbomosho,NG,8.44021,4.49392,1126.0,large_airport
QOW,DNIM,Sam Mbakwe International Cargo Airport,Owerri,NG,5.42706,7.20603,373.0,medium_airport
JOS,DNJO,Yakubu Gowon Airport,Jos,NG,9.639829635620115,8.869050025939941,4232.0,medium_airport
KAD,DNKA,Kaduna International Airport,Kaduna,NG,10.696,7.32011,2073.0,large_airport
